Name,Genus,Species,Synonym/Current Name,,,Algal Group
Thalassiosira cf. decipiens,Thalassiosira,decipiens,None,,,
cf. Tryblionella coarctata,Tryblionella,coarctata,None,,,
cf. Tryblionella sp.,Tryblionella,sp.,None,,,
Tryblionella cf. apiculata,Tryblionella,apiculata,None,,,
Tryblionella cf. hungarica,Tryblionella,hungarica,None,,,
Ulnaria cf. delicatissima,Ulnaria,delicatissima,None,,,
cf. Woronichinia elorantae,Woronichinia,elorantae,None,,,
cf. Xenococcus sp.,Xenococcus,sp.,None,,,
,,,,,,
Unknown Algae,Unknown,Unknown,None,,,Unknown
Unknown Banana Blue Green,Unknown,Unknown,Unknown cyanobacteria,,,cyanobacteria
Unknown centrales sp.,Unknown,Unknown,Unknown centric diatom,,,centric diatom
Unknown Centric diatom,Unknown,Unknown,Unknown centric diatom,,,centric diatom
Unknown centric sp.,Unknown,Unknown,Unknown centric diatom,,,centric diatom
Unknown Chlorophyte alga sp.,Unknown,Unknown,Unknown green algae,,,green algae
Unknown Chlorophyte filament,Unknown,Unknown,Unknown green algae,,,green algae
Unknown chrysophyte,Unknown,Unknown,None,,,chrysophyte
Unknown crysophyte,Unknown,Unknown,Unknown chrysophyte,,,chrysophyte
Unknown Cyanobacteria sp.,Unknown,Unknown,Unknown cyanobacteria,,,cyanobacteria
Unknown dinoflagellate sp.,Unknown,Unknown,Unknown dinoflagellate,,,dinoflagellate
Unknown Euglenoids,Unknown,Unknown,None,,,euglenoid
Unknown genus,Unknown,Unknown,Unknown,,,Unknown
Unknown girdle sp.,Unknown,Unknown,Unknown pennate diatom,,,pennate diatom
Unknown pennales sp.,Unknown,Unknown,Unknown pennate diatom,,,pennate diatom
Unknown pennate girdle sp.,Unknown,Unknown,Unknown pennate diatom,,,pennate diatom
small dinoflagellates,Unknown,Unknown,Unknown dinoflagellate,,,dinoflagellate
small nano-flagellates,Unknown,Unknown,Unknown nanoflagellate,,,nanoflagellate
LGBs,Unknown,Unknown,Little Green Balls,,,Unknown
