StationCode,SampleDate,SampleTime
SHR,7/20/2021,9:18
D6,7/21/2021,12:35
D7,7/21/2021,13:30
NZS42,7/21/2021,14:25
NZ032,7/21/2021,15:15
D41A,7/22/2021,11:00
D41,7/22/2021,12:45
NZ325,7/22/2021,13:35
NZ002,7/22/2021,13:50
NZ004,7/22/2021,14:05
LIS,8/2/2021,10:16
SHR,8/3/2021,8:50
STTD,8/3/2021,10:55
C3A,8/12/2021,7:30
C9,8/12/2021,9:30
C10A,8/12/2021,11:00
D12,8/13/2021,7:45
D16,8/13/2021,10:10
D19,8/13/2021,11:30
D28A,8/13/2021,12:15
D26,8/16/2021,10:45
MD10A,8/16/2021,12:00
P8,8/16/2021,13:30
LIS,8/16/2021,10:56
D4,8/17/2021,12:30
D22,8/17/2021,13:20
NZ068,8/17/2021,14:45
SHR,8/17/2021,7:55
STTD,8/17/2021,10:47
D6,8/18/2021,12:15
D8,8/18/2021,13:10
D10,8/18/2021,13:50
D7,8/19/2021,12:40
NZS42,8/19/2021,13:40
NZ032,8/19/2021,14:30
D41A,8/20/2021,11:00
D41,8/20/2021,11:40
NZ325,8/20/2021,12:20
NZ002,8/20/2021,12:40
NZ004,8/20/2021,12:50
LIS,8/30/2021,9:45
SHR,8/31/2021,8:06
STTD,8/31/2021,11:06
C3A,9/9/2021,6:15
C9,9/9/2021,8:00
C10A,9/9/2021,11:30
D26,9/9/2021,7:25
MD10A,9/10/2021,9:05
P8,9/10/2021,11:05
D12,9/13/2021,8:50
D16,9/13/2021,10:25
D19,9/13/2021,11:45
D28A,9/13/2021,12:35
LIS,9/13/2021,9:46
D4,9/14/2021,10:40
D22,9/14/2021,11:50
NZ068,9/14/2021,13:10
STTD,9/14/2021,11:34
SHR,9/14/2021,7:51
D6,9/15/2021,10:55
D8,9/15/2021,11:50
D10,9/15/2021,12:55
D7,9/16/2021,10:45
NZS42,9/16/2021,11:45
NZ032,9/16/2021,12:50
D41A,9/17/2021,9:40
D41,9/17/2021,11:20
NZ325,9/17/2021,12:05
NZ002,9/17/2021,12:20
NZ004,9/17/2021,12:40
LIS,9/27/2021,9:44
STTD,9/28/2021,11:25
SHR,9/28/2021,8:10
C3A,10/11/2021,9:15
C9,10/11/2021,11:10
C10A,10/11/2021,12:30
LIS,10/11/2021,9:34
STTD,10/12/2021,11:07
SHR,10/12/2021,8:24
D26,10/13/2021,11:20
MD10A,10/13/2021,12:55
P8,10/13/2021,14:25
D12,10/14/2021,12:25
D16,10/14/2021,14:20
D19,10/14/2021,16:25
D28A,10/14/2021,17:05
D6,10/15/2021,11:00
D8,10/15/2021,11:55
D10,10/15/2021,12:35
D7,10/18/2021,12:30
NZS42,10/18/2021,13:25
NZ032,10/18/2021,14:30
SHR,10/18/2021,8:23
D41A,10/19/2021,11:00
D41,10/19/2021,11:35
NZ325,10/19/2021,12:15
NZ002,10/19/2021,12:35
NZ004,10/19/2021,13:00
STTD,10/19/2021,8:13
LIS,10/19/2021,11:12
D4,10/22/2021,6:30
D22,10/22/2021,7:10
NZ068,10/22/2021,8:45
SHR,11/1/2021,8:31
STTD,11/2/2021,8:53
LIS,11/2/2021,12:38
D19,11/6/2021,12:00
C3A,11/8/2021,8:15
C9,11/8/2021,10:00
C10A,11/8/2021,11:15
D12,11/9/2021,8:50
D16,11/9/2021,10:40
D28A,11/9/2021,12:45
D26,11/10/2021,9:20
MD10A,11/10/2021,10:45
P8,11/10/2021,12:10
D4,11/12/2021,11:50
D22,11/12/2021,13:15
NZ068,11/12/2021,14:40
D6,11/15/2021,12:15
D8,11/15/2021,13:15
D10,11/15/2021,14:00
SHR,11/15/2021,10:05
D7,11/16/2021,11:35
