Station,Date,Time,SampleDescription,Flag,FlagDescription,FieldNotes,Weather,AirTemp,WindVelocity,WindDirection,NorthLat,WestLong,Chla_Sign,Chla,Pheophytin_Sign,Pheophytin,TotAlkalinity_Sign,TotAlkalinity,TotAmmonia_Sign,TotAmmonia,DissAmmonia_Sign,DissAmmonia,DissBromide_Sign,DissBromide,DissCalcium_Sign,DissCalcium,TotChloride_Sign,TotChloride,DissChloride_Sign,DissChloride,DissNitrateNitrite_Sign,DissNitrateNitrite,DOC_Sign,DOC,TOC_Sign,TOC,DON_Sign,DON,TON_Sign,TON,DissOrthophos_Sign,DissOrthophos,TotPhos_Sign,TotPhos,DissSilica_Sign,DissSilica,TDS_Sign,TDS,TSS_Sign,TSS,VSS_Sign,VSS,TKN_Sign,TKN,Depth,Secchi,Microcystis,LightExtinction,SpCndSurface,DOSurface,DOpercentSurface,WTSurface,TurbiditySurface_FNU,TurbiditySurface_NTU,pHSurface,SpCndBottom,DOBottom,DOpercentBottom,WTBottom,TurbidityBottom_FNU,TurbidityBottom_NTU,pHBottom
D41A,9/15/2020,10:40:00,NA,NA,NA,elevated fluorescence on the sonde but nothing observed on the surface of the water. Fluoroprobe was recording elevated levels (>10 ug/L) of green algae and diatoms,"Overcast, no waves/flat and no rain",59.4,2.6,NA,NA,NA,=,8.93,=,5.21,=,104,=,NA,<,0.05,=,43.65,=,276,=,NA,=,13761,=,0.182,=,1.1,=,1.1,=,0.1,=,NA,=,0.09,=,0.109,=,5.9,=,26100,=,22.4,=,7,=,0.3,7.9,76,1,NA,38727,8.04,101.3,19.47,10.8,NA,7.96,38707,8.04,101.2,19.44,10.8,NA,7.96
NZ002,9/15/2020,12:15:00,NA,NA,NA,"no zooplankton tow (Spec Cond > 20,000)","Overcast, no waves/flat, and no rain",64.4,11.6,NA,NA,NA,=,0.67,=,2.75,=,101,=,NA,=,0.1,=,40.55,=,250,=,NA,=,12393,=,0.254,=,1.3,=,1.2,<,0.1,=,NA,=,0.103,=,0.123,=,6.4,=,23800,=,41.3,=,6,=,0.3,59.1,56,1,NA,35451,7.13,88.7,19.53,18.1,NA,7.82,36794,7.04,88.1,19.53,14.9,NA,7.83
NZ325,9/15/2020,11:55:00,NA,NA,NA,"no zooplankton tow (Spec Cond > 20,000)","Overcast, no waves/flat and no rain",63.7,5.6,NA,NA,NA,=,1.7,=,1.46,=,102,=,NA,=,0.09,=,42.5,=,262,=,NA,=,12976,=,0.246,=,1,=,1.1,=,0.12,=,NA,=,0.1,=,0.104,=,5.9,=,28400,=,14,<,2.5,=,0.3,42.7,80,1,NA,36528,7.24,91.1,19.9,7.3,NA,7.84,41305,7.04,89.3,19.22,11.9,NA,7.85
D41,9/15/2020,11:20:00,NA,NA,NA,NA,"Overcast, no waves/flat and no rain",61.5,1.8,NA,NA,NA,=,1.78,=,3.69,=,110,=,NA,=,0.08,=,48.88,=,316,=,NA,=,15739,=,0.21,=,0.9,=,1,<,0.1,=,NA,=,0.091,=,0.1,=,4.3,=,30400,=,16,=,5,=,0.3,42.3,104,1,NA,43897,6.95,88.3,18.73,8.3,NA,7.84,43893,6.86,87,18.71,10.4,NA,7.84
D8,9/15/2020,13:35:00,NA,NA,NA,collected after San Pablo stations because of poor AQI earlier in month,"Overcast, ripples to small waves with no white caps and no rain",72.7,12.9,NA,NA,NA,=,1.07,=,3.12,=,83,=,NA,=,0.07,=,16.45,=,113,=,NA,=,5200,=,0.24,=,1.7,=,1.7,=,0.13,=,NA,=,0.097,=,0.109,=,10.9,=,9910,=,14.7,=,3,=,0.3,44.9,80,2,NA,16252,8.33,97.9,20.5,9.1,NA,7.91,19707,7.94,93.4,19.85,16.9,NA,7.85
D6,9/15/2020,12:40:00,NA,NA,NA,collected after San Pablo stations because of poor AQI earlier in month,"Overcast, ripples to small waves with no white caps, and no rain",69.1,16.7,NA,NA,NA,=,0.83,=,2.27,=,93,=,NA,=,0.1,=,31.02,=,192,=,NA,=,9266.5,=,0.255,=,1.5,=,1.5,=,0.3,=,NA,=,0.104,=,0.125,=,9.1,=,17800,=,38,=,5,=,0.7,46.3,56,1,NA,27704,7.64,92.3,19.65,21.2,NA,7.85,28728,7.45,90.1,19.54,37.2,NA,7.84
D10,9/15/2020,14:10:00,NA,NA,NA,collected after San Pablo stations because of poor AQI earlier in month,"Overcast, ripples to small waves with no white caps and no rain",73.2,11.6,NA,NA,NA,=,1.29,=,2.86,=,81,=,NA,=,0.06,=,13.37,=,93,=,NA,=,4201,=,0.24,=,1.7,=,1.7,<,0.1,=,NA,=,0.093,=,0.121,=,11.3,=,7850,=,26.8,=,4,=,0.3,36.1,60,2,NA,13317,8.41,96.9,20.08,17.8,NA,7.9,14517,8.18,94.4,19.95,18.6,NA,7.86
NZ004,9/15/2020,12:25:00,NA,NA,NA,"bottom readings taken at approx 81 ft due to cable not being long enough, and no zooplankton tow (Spec Cond > 20,000)","Overcast, ripples to small waves with no white caps, and no rain",66.4,24.5,NA,NA,NA,=,1.41,=,0.73,=,96.5,=,NA,=,0.094,=,33.35,=,218,=,NA,=,10674,=,0.26,=,1.3,=,1.3,=,0.13,=,NA,=,0.104,=,0.112,=,7.4,=,20600,=,16.7,=,3,=,0.2,19,84,1,NA,30816,7.49,91.8,19.78,8.7,NA,7.85,32684,7.14,87.8,19.54,28.2,NA,7.83
C3A,9/23/2020,10:30:00,NA,NA,NA,NA,"sunny; no waves, flat; no rain",79,10,NA,NA,NA,=,0.81,=,0.64,=,65,=,NA,=,0.4,<,0.05,=,10.9,=,NA,=,7,=,0.08,=,1.9,=,2,=,0.1,=,NA,=,0.081,=,0.07,=,15.9,=,95,=,2.8,<,2.5,=,0.6,14.6,NA,1,NA,162,8.58,95.1,20.33,2.1,NA,7.56,163,8.54,94.3,20.18,2.6,NA,7.53
C9,9/23/2020,12:10:00,NA,NA,NA,NA,"sunny; no waves, flat; no rain",88,9,NA,NA,NA,=,5.11,=,1.73,=,77,=,NA,<,0.05,=,0.37,=,16,=,NA,=,112,=,0.12,=,3.1,=,3.1,=,0.3,=,NA,=,0.076,=,0.08,=,11.7,=,330,=,6.5,<,2.5,=,0.4,15.8,NA,3,NA,591,8.17,95,22.78,3.6,NA,7.79,589,8.05,93.5,22.72,3.5,NA,7.76
