DWR_Site,EMP_Site,Lat,Lon,RepCont,Collection_Date,Collection_Month,Collection_ID,Survey_Year,field.PST,field.Water.temp,field.DO.mgL,field.DO.perc,field.Secchi,field.SC.uScm,field.Salinity,field.NTU,field.pH,field.Chla,field.Fluor,bryte.NH4.mgL,bryte.NO3.mgL,bryte.Chloride.mgL,bryte.Calcium.mgL,bryte.DOC.mgL,bryte.TOC.mgL,bryte.DON.mgL,bryte.total.kjeldahl.n.mgL,bryte.SRP.mgL,bryte.TP.mgL,bryte.SiO2.mgL,bryte.VSS.mgL,bryte.TDS.mgL,bryte.TSS.mgL,bryte.amb.Chla.ugL,bryte.amb.Pheo.ugL,bryte.towNet.Chla.ave.ugL,bryte.towNet.Chla.corrected,bryte.towNet.Pheo.uncorrected,bryte.towNet.Pheo.corrected,dwr.MIC_totbvL,ucd.qpcr.total.MIC,ucd.qpcr.toxin.MIC,ucd.qpcr.DOLICO,ucd.qpcr.APHA,ucd.qpcr.total.CYA,ucd.ppia.MC.total.ugL,ucd.elisa.STX.dissolved.ugL,ucd.elisa.ANA-a.dissolved.ugL
CV,D4,38.0602,-121.824,0,2014-07-28,7,2,2014,839,21.88,7.44,86.9,,7388,4.05,17.2,7.42,2.2,,0.04,0.37,1968,,2.3,2.5,0.4,,0.09,0.12,13.8,5,5040,24,,,6194.4,1.012491254,160.2,0.06776,8.16E+09,14500,5556,0,245,192272,0.29,0,0
FieldCont,,,,1,,7,2,2014,,,,,,,,,,,,0.01,,,,,,0.1,,,,,,,,,,,,,,,14,2,22,12,113,0,0,0
FT,D19,38.0468,-121.6192,0,2014-07-28,7,2,2014,1331,23.75,9.19,108.9,,679,0.31,4.7,8.31,1.2,,0.03,0.14,142,,2.7,2.8,0.2,,0.07,0.11,11.9,1,375,3,,,2264.16,1.063109071,105.73,0.04771,3.94E+10,90700,32215,2537,4800,284930,1.02,0,0
JP,,38.0517,-121.6953,0,2014-07-28,7,2,2014,1000,23.29,8.09,95.7,,1321,0.64,11.7,7.85,1.8,,0.03,0.28,322,,2.4,2.7,0.4,,0.08,0.11,14.4,4,741,17,,,2851.56,2.924261424,243.5,0.23461,1.64E+10,13900,10822,7,1170,135375,0.57,0,0
MI,,37.9952,-121.5222,0,2014-07-28,7,2,2014,1325,25.8,8.48,103.9,,475,0.21,0.5,8.22,2.6,,0.01,0.06,89,,3.6,3.7,0.3,,0.09,0.12,11.5,1,270,2,,,3225.36,1.249812572,93.98,0.05555,3.15E+09,85200,23227,3862,125181,1417001,1.01,0,0
OR,D28A,37.9706,-121.5725,0,2014-07-28,7,2,2014,1300,25.2,7.42,90.4,,688,0.32,4.6,7.78,2.3,,0.02,0.04,141,,3.4,3.5,0.3,,0.09,0.11,8,2,381,4,,,3236.04,1.621000181,277.68,0.1461,7.34E+09,112000,22956,2948,28900,468286,1.27,0,0
RR,P8,37.9633,-121.3663,0,2014-07-28,7,2,2014,1231,26.47,6.53,87.6,,1200,0.58,3,7.83,4.1,,0.07,1.24,253,,4.8,5.2,0.6,,0.4,0.5,12.1,2,675,6,,,7315.8,2.237035368,365.79,0.15197,3.51E+09,251000,13941,238,207684,858311,0.55,0,0
SJ,,38.0347,-121.4834,0,2014-07-28,7,2,2014,1152,25.26,6.58,80,,380,0.17,1.4,7.98,1.8,,0.03,0.16,61,,3.4,3.4,0.3,,0.08,0.11,13.2,2,211,4,,,2306.88,2.301079607,122.82,0.13756,1.02E+10,63500,16389,38127,125000,345078,0.47,0,0
VC,,37.872,-121.5277,0,2014-07-28,7,2,2014,1210,26.06,6.99,86.6,,525,0.24,6,7.65,4.4,,0.025,0.15,97,,4.3,4.6,0.4,,0.08,0.16,10.1,2,292,6,,,3374.88,1.91415053,183.7,0.13751,4.72E+09,287000,58455,982,202000,1096970,0.83,0,0
AT,D12,38.0232,-121.8071,0,2014-08-11,8,3,2014,836,22.08,8.08,93.8,,4448,2.35,16.8,7.75,6.5,,0.04,0.3,1233,,2.5,2.6,0.4,,0.09,0.13,13.4,4,2452,23,,,2776.8,0.606546246,318.26,0.06182,9.49E+09,36500,16333,0,3850,201637,0.42,0,0
BI,,38.1159,-121.6845,0,2014-08-11,8,3,2014,851,23.06,7.53,88.7,,1337,0.65,11.6,7.89,2.2,,0.02,0.39,326,,2.3,2.4,0.3,,0.08,0.11,13.9,2,739,11,,,2627.28,3.306457371,116.41,1.17809,5.63E+10,50600,24014,20407,18200,251964,0.41,0,0
CV,D4,38.0602,-121.824,0,2014-08-11,8,3,2014,917,21.48,8.12,93.9,,5983,3.23,14.3,7.79,2.1,,0.02,0.26,1668,,2.3,2.5,0.4,,0.07,0.12,12.9,4,3416,20,,,4085.1,0.507658105,232.29,0.03055,2.35E+09,95200,12896,0,1900,383814,2.87,0,0
FieldCont,,,,1,,8,3,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,9,116,0,0,0
FT,D19,38.0468,-121.6192,0,2014-08-11,8,3,2014,1257,23.3,8.78,103,,719,0.33,3.6,8.81,0.8,,0.02,0.13,150,,2.6,2.7,0.4,,0.08,0.11,12.2,1,401,2,,,1783.56,0.792809898,70.49,0.02601,1.20E+09,155049,5627,0,5510,234583,0,0,0
FTrep,D19,38.0468,-121.6192,1,2014-08-11,8,3,2014,,,,,,,,,,,,0.01,0.15,150,,2.6,2.6,0.3,,0.08,0.1,12.3,0,402,2,,,1869,,48.59,,8.38E+09,102000,14670,30918,291000,500408,0.45,0,0
JP,,38.0517,-121.6953,0,2014-08-11,8,3,2014,935,23.14,7.61,84.3,,1266,0.61,13.8,8,2.2,,0.02,0.28,329,,2.3,2.4,0.2,,0.08,0.11,14.3,2,710,19,,,3668.58,1.844606535,155.39,0.11787,3.77E+10,40000,30843,0,9030,196475,0,0,0
MI,,37.9952,-121.5222,0,2014-08-11,8,3,2014,1331,25.22,8.89,107.9,,426,0.19,-0.8,8.15,2.5,,0,0.08,76,,3.2,3.3,0.5,,0.09,0.12,12.2,1,238,2,,,3321.48,2.751660637,0,0.09946,1.93E+09,87400,11625,0,47700,904199,0.63,0,0
OR,D28A,37.9706,-121.5725,0,2014-08-11,8,3,2014,1229,25.09,6.85,83.2,,622,0.29,3.7,7.97,2.6,,0.02,0.05,125,,3.3,3.6,0.3,,0.1,0.12,10.3,1,348,3,,,2499.12,1.370802592,147.38,0.1678,3.95E+09,92300,13146,8129,24500,456682,0.48,0,0
RR,P8,37.9633,-121.3663,0,2014-08-11,8,3,2014,1227,27.3,8.14,104.2,,1314,0.64,2.3,7.96,4.5,,0.05,1.42,290,,5,5.4,0.6,,0.45,0.5,12.1,2,720,6,,,9078,4.561507857,509.97,0.21419,6.11E+09,283000,13152,0,290794,1581523,0.63,0,0
SJ,,38.0347,-121.4834,0,2014-08-11,8,3,2014,1143,25.12,7.06,85.6,,356,0.16,5.7,7.76,2.4,,0.02,0.14,57,,3.3,3.4,0.4,,0.075,0.12,14.3,2,197,6,,,1164.12,0.267591792,73.16,0.0918,3.32E+08,64200,12585,157,21600,347619,0.82,0,0
VC,,37.872,-121.5277,0,2014-08-11,8,3,2014,1155,25.4,6.64,81.7,,494,0.22,6.2,7.71,4.4,,0.04,0.17,88,,4.2,4.4,0.5,,0.09,0.12,11.6,1,291,4,,,4773.96,1.597621448,193.84,0.04399,1.19E+10,228000,37164,88,69600,939065,0.62,0,0
AT,D12,38.0232,-121.8071,0,2014-08-25,8,4,2014,840,21.15,8.35,95.2,,4164,2.19,13.1,8.03,1.6,,0.02,0.24,1188,,3,2.6,1.6,,0.06,0.12,13.7,3,2322,20,,,6381.3,1.080253151,403.17,0.079,6.76E+09,95500,72439,0,22200,293554,0,0,0
BI,,38.1159,-121.6845,0,2014-08-25,8,4,2014,852,21.88,8.42,96.4,,1290,0.62,9.8,7.85,2,,0.01,0.27,312,,3.1,2.6,0.2,,0.08,0.1,15,2,710,13,,,4485.6,1.149900157,149.52,0.04593,1.49E+09,165000,110334,0,46700,527331,0.65,0,0
CV,D4,38.0602,-121.824,0,2014-08-25,8,4,2014,918,20.62,8.45,95.8,,5954,3.21,10.8,7.94,1.2,,0.02,0.3,1629,,3,2.4,0.2,,0.06,0.12,14.1,3,3362,19,,,6167.7,0.284206494,224.28,0.00776,1.13E+09,102000,2224,0,6440,308638,0,0,0
FieldCont,,,,1,,8,4,2014,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,5,1,0,3,332,0,0,0
FT,D19,38.0468,-121.6192,0,2014-08-25,8,4,2014,1349,22.03,8.47,96.9,,784,0.37,5.5,8.08,1.9,,0.01,0.18,173,,2.7,2.8,0.2,,0.07,0.1,14.1,1,742,5,,,5553.6,1.207061006,165.54,0.03316,3.44E+08,197000,38797,323,116000,596147,0.74,0,0
JP,,38.0517,-121.6953,0,2014-08-25,8,4,2014,933,21.89,8.46,97,,1325,0.64,12.2,8.01,1.8,,0,0.26,310,,2.8,3.1,0.1,,0.07,0.11,15.4,2,729,13,,,4832.7,1.061353102,194.91,0.04681,2.92E+09,303000,222825,9090,52800,690749,0.81,0,0
MI,,37.9952,-121.5222,0,2014-08-25,8,4,2014,1306,23.76,8.96,105.5,,425,0.19,-0.1,8.18,2.3,,0,0.04,75,,3.4,3.6,0.2,,0.07,0.11,13.8,1,240,3,,,5046.3,1.95197145,56.07,0.07042,4.05E+09,164000,55888,3815,55900,742025,0.93,0,0
OR,D28A,37.9706,-121.5725,0,2014-08-25,8,4,2014,1308,24.11,7.57,90.2,,623,0.29,4.8,7.9,2.8,,0,0.02,129,,3.5,3.6,0.2,,0.08,0.11,11.7,1,349,4,,,5740.5,1.779127933,34.71,0.03609,5.25E+09,96300,34539,83,77300,510763,0.78,0,0
RR,P8,37.9633,-121.3663,0,2014-08-25,8,4,2014,1219,25.97,7.29,90,,1408,0.68,1.8,7.85,2.8,,0.04,1.3,321,,5.4,5.6,0.5,,0.41,0.52,13.3,2,785,6,,,7582.8,2.261780825,267,0.12465,3.52E+09,304000,14706,0,104000,1344624,0.64,0,0
SJ,,38.0347,-121.4834,0,2014-08-25,8,4,2014,1142,23.85,7.96,94.8,,370,0.16,1.2,8.07,2.2,,0,0.14,61,,3.3,3.6,0.3,,0.06,0.01,14.5,2,211,4,,,3524.4,1.583632613,45.39,0.03959,5.64E+09,177000,43821,75,96900,660859,0.7,0,0
VC,,37.872,-121.5277,0,2014-08-25,8,4,2014,1205,24.3,7.43,88.9,,487,0.22,8.3,7.82,3.7,,0.02,0.06,85,,4.1,4.5,0.5,,0.07,0.13,13,2,275,8,,,9745.5,3.818576901,477.93,0.15154,1.69E+10,370000,120246,0,121000,1317605,1.13,0,0
VCrep,,37.872,-121.5277,1,2014-08-25,8,4,2014,1206,24.27,7.33,87.8,,487,0.22,8.6,7.73,4.1,,0.01,0.06,85,,4.4,4.4,0.3,0.1,0.08,0.12,12.5,2,277,8,,,7823.1,5.141446344,176.22,,1.27E+10,355000,48653,1353,166000,997190,1.17,0,0
AT,D12,38.0232,-121.8071,0,2014-09-11,9,5,2014,924,20.65,8.25,93.4,,5404,2.89,21.2,7.83,2.3,,0.03,0.32,1492,,2.1,2.1,0.4,,0.09,0.12,13.5,5,3020,29,,,2330.18,0.881685193,170.88,0.06457,4.53E+09,13800,23857,0,6650,185442,1.06,0,0
BI,,38.1159,-121.6845,0,2014-09-11,9,5,2014,903,21.6,8.23,93.6,,945,0.45,14.6,7.73,1.6,,0.03,0.34,218,,1.9,2.2,0.5,,0.08,0.1,17,1,525,15,,,5024.45,3.075667662,548.56,0.20931,3.96E+09,90400,89988,0,22100,468285,1.14,0,0
BIrep,,38.1159,-121.6845,1,2014-09-11,9,5,2014,,,,,,,,,,,,0.03,0.33,210,,2.2,2.2,0.2,,0.08,0.1,16.9,2,526,14,,,6165.27,4.105790454,155.35,,2.41E+09,108000,92688,0,16800,400336,0,0,0
CV,D4,38.0602,-121.824,0,2014-09-11,9,5,2014,900,20.31,8.06,91.3,,7223,3.95,17.8,7.76,2.1,,0.03,0.35,2178,,1.8,2,0.4,,0.09,0.12,13.7,5,4008,25,,,1436.95,0.51182363,58.25,0.02267,3.41E+09,27300,12432,0,9390,279466,0.64,0,0
FieldCont,,,,1,,9,5,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,1,0,13,178,0,0,0
FT,D19,38.0468,-121.6192,0,2014-09-11,9,5,2014,1322,22.45,9.79,133.3,,751,0.35,4,8.44,1.8,,0.02,0.13,160,,2.5,2.5,0.2,,0.08,0.1,13.6,0,418,1,,,5242.91,3.342436936,177.19,0.09123,2.81E+09,135000,123744,0,16000,299095,0.86,0,0
JP,,38.0517,-121.6953,0,2014-09-11,9,5,2014,948,21.54,8.53,96.9,,1415,0.69,13.7,7.89,2.1,,0.02,0.25,345,,2.1,2.2,0.1,,0.08,0.1,15.4,2,799,14,,,4111.8,2.732259376,504.63,0.21857,4.75E+09,85800,43272,1224,23800,266277,1.06,0,0
MI,,37.9952,-121.5222,0,2014-09-11,9,5,2014,1317,23.95,9.7,115.2,,421,0.19,1,8.22,2.5,,0.01,0.06,68,,3.2,2.9,0.2,,0.08,0.1,14.7,1,234,2,,,4005,2.452298138,123.79,0.02237,6.07E+09,180000,97763,1400,53800,1122006,0.95,0,0
OR,D28A,37.9706,-121.5725,0,2014-09-11,9,5,2014,1251,22.8,8.32,96.5,,668,0.31,5.8,8.14,2.2,,0.01,0,136,,2.8,3.1,0.2,,0.09,0.1,12.5,1,372,2,,,5315.73,5.314093896,733.04,0.34691,2.16E+09,169000,114182,12652,98500,785708,1.27,0,0
RR,P8,37.9633,-121.3663,0,2014-09-11,9,5,2014,1230,25.7,8.43,103.6,,1421,0.69,3.1,7.75,3.4,,0.07,1.69,316,,4.8,5.1,0.5,,0.53,0.58,13.6,2,800,5,,,7802.33,3.027750545,89,0.04004,2.48E+09,354000,33933,1460,28800,1242328,0.63,0,0
SJ,,38.0347,-121.4834,0,2014-09-11,9,5,2014,1155,23.21,7.93,92.7,,381,0.17,1.4,8.11,2.4,,0.02,0.12,59,,2.9,3.2,0.3,,0.08,0.1,15.7,1,220,3,,,4450,1.802021531,77.13,0.06352,1.24E+09,130000,47145,5455,32700,688974,1.13,0,0
VC,,37.872,-121.5277,0,2014-09-11,9,5,2014,1215,23.97,7.92,94,,489,0.22,5.9,7.94,3.8,,0.02,0.03,84,,3.7,3.9,0.2,,0.09,0.11,13.4,2,270,5,,,4746.67,5.42048483,29.67,0.03681,3.10E+09,196000,97728,22824,83700,823052,1.39,0,0
AT,D12,38.0232,-121.8071,0,2014-09-29,9,6,2014,847,20.75,8.05,91.8,,7295,4,8.2,8.02,1.8,,0.05,0.34,2057,,2.4,2.5,0.4,,0.1,0.11,13.9,2,4112,10,,,5874,0.791009009,106.8,0.01653,8.51E+08,16000,5472,0,3830,59495,0.64,0,0
BI,,38.1159,-121.6845,0,2014-09-29,9,6,2014,843,21.22,8.1,91.7,,1509,0.74,13.1,7.86,1.9,,0.04,0.34,371,,2.4,2.6,0.3,,0.09,0.11,17.5,1,831,12,,,4757.45,2.974305141,288.85,0.13245,3.13E+09,107000,8832,0,15600,254691,5.22,0,0
CV,D4,38.0602,-121.824,0,2014-09-29,9,6,2014,928,20.71,8.16,94.2,,10107,5.68,8.9,7.82,1.8,,0.03,0.39,3056,,2.2,2.3,0.3,,0.1,0.11,13.8,2,5656,10,,,2621.45,0.460842343,182.05,0.02456,5.15E+08,25600,17082,0,4710,177163,0.7,0,0
FieldCont,,,,1,,9,6,2014,,,,,,,,,,,,,,,,,,0.3,,,,,,,,,,,,,,,1,0,0,3,119,0,0,0
FT,D19,38.0468,-121.6192,0,2014-09-29,9,6,2014,1315,21.83,10.08,115.4,,909,0.43,3.9,8.58,1.2,,0.02,0.18,206,,2.6,2.7,0.3,,0.09,0.1,14.4,0,508,2,,,5388.55,1.415673312,31.55,0.01132,1.20E+09,108000,16612,45,26400,316526,1.55,0,0
JP,,38.0517,-121.6953,0,2014-09-29,9,6,2014,919,21.23,8.29,94.1,,2048,1.02,10.1,8.1,2.1,,0.02,0.26,526,,2.6,2.7,0.4,,0.09,0.11,15.5,2,1140,8,,,7840.09,2.19105791,587.4,0.16116,1.31E+09,80500,8388,0,24400,264534,1.59,0,0
MI,,37.9952,-121.5222,0,2014-09-29,9,6,2014,1345,22.41,8.52,98.1,,438,0.2,1,7.93,3.1,,0.02,0.13,72,,2.9,3.1,0.3,,0.09,0.1,15.9,1,243,2,,,4456.85,1.376878951,100.64,0.03526,1.93E+09,56000,7604,95,38500,534055,0,0,0
MIrep,,37.9952,-121.5222,1,2014-09-29,9,6,2014,1349,22.3,8.32,96.5,,439,0.2,0.8,7.83,2.9,,0.02,0.14,72,,2.9,3.2,0.2,,0.08,0.1,15.3,1,243,2,,,4806,1.168322961,168.42,,1.34E+09,72300,6288,2130,47300,533259,0.32,0,0
OR,D28A,37.9706,-121.5725,0,2014-09-29,9,6,2014,1245,22.04,7.89,90.5,,758,0.35,4.1,8.11,1,,0.02,0.05,158,,3,3,0.3,,0.09,0.1,12.2,0,422,2,,,5298.92,1.594932698,0,0.00073,7.40E+08,85000,10032,210,27100,265201,0.99,0,0
RR,P8,37.9633,-121.3663,0,2014-09-29,9,6,2014,1246,24.17,8.51,102.3,,1590,0.78,2.6,7.58,3.9,,0.12,2.17,373,,5,5.4,0.7,,0.53,0.62,13.4,1,918,4,,,4272,1.20646633,0,0.00927,3.16E+08,42900,13536,0,5300,229375,0.32,0,0
SJ,,38.0347,-121.4834,0,2014-09-29,9,6,2014,1200,21.92,7.64,87.5,,393,0.17,12.8,8.17,3.3,,0.02,0.18,60,,3.1,3.2,0.3,,0.09,0.12,16.1,4,218,17,,,7476,3.569950362,373.8,0.21469,1.34E+09,56200,1141,0,28400,364664,0.29,0,0
VC,,37.872,-121.5277,0,2014-09-29,9,6,2014,1203,22.37,7.17,88.9,,482,0.22,5.2,8.06,2.5,,0.03,0.08,83,,3.5,3.6,0.2,,0.1,0.11,15,1,268,2,,,3717.46,1.69889506,106.8,0.03089,1.14E+09,80600,7223,0,30800,388956,0.62,0,0
AT,D12,38.0232,-121.8071,0,2014-10-13,10,7,2014,853,20.34,8.04,91.6,,7682,4.23,7.3,7.86,1.4,,0.04,0.36,1850,,2.1,2.1,0.3,,0.11,0.11,14.6,4,4232,14,,,1270.92,0.313113899,37.38,0.01881,5.97E+08,20600,2008,0,10900,186415,0.31,0,0
BI,,38.1159,-121.6845,0,2014-10-13,10,7,2014,918,20.32,8.22,91.8,,2869,1.47,17,7.69,1.9,,0.04,0.4,624,,2.3,2.4,0.2,,0.09,0.11,17.1,2,1613,14,,,1602,1.229908779,80.1,0.0556,9.95E+08,50100,22289,547,18200,163581,0,0,0
CV,D4,38.0602,-121.824,0,2014-10-13,10,7,2014,934,20.16,8.56,97.7,,10834,6.12,6.4,7.84,2.1,,0.03,0.43,3205,,1.8,2.1,0.3,,0.11,0.11,14,4,6224,13,,,833.04,0.246099879,52.87,0.02025,6.20E+08,14300,194,0,2710,138998,0.3,0,0
CVrep,,38.0602,-121.824,1,2014-10-13,10,7,2014,,,,,,,,,,,,0.02,0.44,3263,,2.1,2.1,0.3,,0.11,0.12,,4,6116,14,,,704.88,0.235638143,72.62,,1.71E+09,7780,950,0,1370,114082,0,0,0
FieldCont,,,,1,,10,7,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,1,0,35,98,0,0,0
FT,D19,38.0468,-121.6192,0,2014-10-13,10,7,2014,1400,21.52,9.91,112.8,,1165,0.56,3,8.21,1.2,,0.02,0.26,271,,2.3,2.4,0.2,,0.09,0.1,16.2,1,651,2,,,875.76,1.15472498,32.57,0.05773,3.37E+08,55700,10080,0,27700,224385,0,0,0
JP,,38.0517,-121.6953,0,2014-10-13,10,7,2014,953,20.78,8.59,96.6,,2686,1.37,8.1,7.89,0.9,,0.02,0.34,717,,2.2,2.3,0.2,,0.09,0.1,16.4,2,1501,10,,,2552.52,4.282759986,71.56,0.25716,1.40E+10,69600,24141,2978,38600,350409,0.29,0,0
MI,,37.9952,-121.5222,0,2014-10-13,10,7,2014,1229,22.18,8.19,93.5,,505,0.23,-0.1,8.33,2.2,,0.02,0.18,85,,2.7,2.8,0.2,,0.08,0.1,16.2,1,289,2,,,4218.6,0.620572922,304.38,0.0495,1.17E+09,25000,1632,0,9290,176460,0,0,0
OR,D28A,37.9706,-121.5725,0,2014-10-13,10,7,2014,1330,21.63,7.71,87.8,,726,0.34,3.6,7.76,2.4,,0.02,0.06,153,,2.8,3,0.2,,0.08,0.09,13.2,1,408,4,,,820.22,1.036354717,55.96,0.06051,4.33E+08,46000,5506,0,23800,364707,0.3,0,0
RR,P8,37.9633,-121.3663,0,2014-10-13,10,7,2014,1333,22.8,7.86,91.6,,1596,0.78,4.4,7.92,3.9,,0.11,2.39,360,,4.5,4.5,0.5,,0.47,0.47,15.2,2,904,7,,,1687.44,0.239169162,114.28,0.01119,8.33E+08,15200,12096,0,11000,418360,0,0,0
SJ,,38.0347,-121.4834,0,2014-10-13,10,7,2014,1415,22.17,8.08,92.8,,530,0.24,0.9,8.16,3.5,,0.02,0.29,89,,3,3.2,0.2,,0.11,0.12,16.65,1,294,3,,,3595.96,1.125699453,223.53,0.05611,9.50E+08,73400,5818,843,22100,553400,0,0,0
VC,,37.872,-121.5277,0,2014-10-13,10,7,2014,1235,21.44,7.73,87.5,,547,0.25,4.7,7.83,2.6,,0.02,0.06,96,,3.3,3.4,0.2,,0.09,0.1,15,1,306,4,,,419.19,2.171936961,38.71,0.15926,6.07E+09,14300,4416,0,10400,319069,0.3,0,0
AT,D12,38.0232,-121.8071,0,2014-10-27,10,8,2014,847,18.62,8.41,92.5,,8249,4.56,5.9,7.54,1.6,,0.05,0.41,2287,,2.2,2.3,0.2,,0.1,0.11,14.5,2,4660,9,,,918.48,0.350172354,59.38,0.02076,9.88E+08,12500,6836,0,5890,175330,0,0,0
BI,,38.1159,-121.6845,0,2014-10-27,10,8,2014,854,18.78,8.35,90.2,,2303,1.16,9.7,7,1.8,,0.1,0.49,563,,2.2,2.4,0.1,,0.09,0.11,17.1,2,1301,12,,,3022.44,0.829993893,102.53,0.02825,2.07E+08,30700,5232,1798,12300,130039,0,0,0
