cond((Int)),disp((Int)),cond(chlor2),cond(depth2),cond(DO2),cond(habitat),cond(month),cond(salinity2),cond(sediment),cond(turb2),cond(w_temp2),cond(year),df,logLik,AICc,delta,weight
7.21603286688129,+,,0.440055667272112,0.358866166566407,+,,0.151491372034051,+,-0.185093072066201,,,12,-1377.10017723994,2779.67902746566,4.98880435122874,0.00700552625702206
7.11772300240188,+,0.110686539022079,0.485790874616118,0.417169730321971,+,,,+,-0.20188499015348,,,12,-1377.22502654573,2779.92872607724,5.23850296280762,0.00618328693813702
7.54803200042921,+,0.108093593743083,0.510005037759881,0.366068398708809,+,,0.730929409150744,+,-0.187426749540459,,+,16,-1372.6728500464,2779.97371941648,5.28349630204639,0.00604573658825527
7.05494038691383,+,0.0733764849923504,0.460662350488575,0.406103737372674,,,0.180558131468839,+,,0.033880282142187,,11,-1378.45794510848,2780.16117323583,5.47095012140608,0.00550483291266768
7.57588274315788,+,,0.533687361941589,0.350343353482626,+,,0.765612020784365,+,-0.191763753318571,,+,15,-1373.94958192538,2780.20685615846,5.51663304402928,0.005380519637902
7.08271810103554,+,0.0738414790509259,0.467934846747136,0.393246905743057,,+,0.165808094203655,+,,,,11,-1378.49025427749,2780.22579157385,5.53556845942012,0.00532981883961372
7.17521488423265,+,,0.528075523149796,0.426932534918948,,,0.71425933433977,+,,0.0199536125114423,+,13,-1376.38192317536,2780.49717968405,5.80695656961825,0.00465351660856653
7.70222852527109,+,0.0791297478595364,0.664529616451557,,,+,0.84876436001813,+,-0.3044308339517,-0.263679766512151,+,15,-1374.11182907809,2780.53135046388,5.84112734944984,0.00457468481642611
7.03200293836243,+,,0.485236860521968,0.431903436707318,+,,,+,-0.203873125068924,,,11,-1378.69579329511,2780.63686960908,5.94664649465585,0.00433958287250337
6.94375976356757,+,0.137358191218238,0.441988916780253,0.364433776828611,,,,,-0.263847023495408,,,7,-1383.07387892086,2780.66627636025,5.97605324581627,0.0042762431506372
6.95229209133551,+,0.11894523064604,0.460057286908705,0.397183077727569,,,,+,-0.190538424542935,,+,13,-1376.48336522519,2780.70006378372,6.00984066928913,0.00420460832428073
7.31205203322071,+,0.111355777466739,0.443330116105712,0.338456308223114,+,+,0.163829880513166,+,-0.189927477224283,,,14,-1375.40752969554,2780.82462876907,6.13440565464271,0.00395072320162548
7.30524132371975,+,0.120107891754678,0.439041185829687,0.341176872050306,+,,0.153326726760841,+,-0.191674232693454,-0.0104384643699019,,14,-1375.44101494341,2780.89159926481,6.2013761503822,0.00382062263695482
7.08592301646093,+,,0.498550568795804,0.446429757144582,,,,+,,-0.0263726408756847,,9,-1381.04488840284,2780.930898301,6.24067518656966,0.00374628201394534
7.08832702719402,+,,0.50489554920609,0.459140853182904,,+,,+,,,,9,-1381.06088034086,2780.96288217704,6.27265906261118,0.00368684820172919
6.95987593772925,+,0.143805062329796,0.413801245154286,0.307549205408974,,,0.109892173182784,,-0.257237399783908,,,8,-1382.17420279763,2781.01817303713,6.32794992270146,0.00358631967732051
7.21044361158151,+,0.13243375741483,0.476962441335622,0.370722111225411,+,,,+,-0.217757603292252,-0.0805998622197508,,13,-1376.64706688331,2781.02746709996,6.33724398552749,0.00356969260031912
7.68459334489692,+,,0.560156950479138,0.311939463576841,+,+,0.819724432144774,+,-0.195146707455657,,+,16,-1373.21884805774,2781.06571543915,6.37549232472293,0.00350207383088646
7.16157374139226,+,0.0636438919865282,0.533313963400102,0.428698804327487,,+,0.721017520926169,+,,,+,14,-1375.53791458039,2781.08539853877,6.39517542433714,0.00346777704045792
7.25389615148828,+,,0.453459385748061,0.342966683006109,+,+,0.164315312607526,+,-0.188595231506947,,,13,-1376.76768652352,2781.26870638037,6.57848326594331,0.00316407212615642
7.1023921502524,+,,0.468658190894269,0.394851523098275,,+,0.187081533756594,+,,0.0363097565522839,,11,-1379.02826761865,2781.30181825618,6.61159514174824,0.0031121191959422
7.06364929328778,+,0.0876532058413465,0.495588244491113,0.442120571001456,,,,+,,-0.045460295126746,,10,-1380.18256894248,2781.39800173472,6.70777862028899,0.00296599384447233
7.09078546412344,+,0.081282755466385,0.516136700197332,0.450635036700901,,,0.685478466168827,+,,-0.00790317397172839,+,14,-1375.73144743509,2781.47246424817,6.78224113374017,0.00285759657066663
7.31928270762256,+,,0.440515551976443,0.378315181750021,+,,0.170041949436977,+,,,,11,-1379.12801473455,2781.50131248797,6.81108937354475,0.00281667409992007
7.31300731772826,+,,0.569389285979042,0.375680335359061,,+,0.770017697840338,+,,-0.0714388549557178,+,14,-1375.75296474444,2781.51549886687,6.82527575244194,0.00279676558781031
7.885488269497,+,,0.619662353807885,0.232120011498416,+,+,0.889379220794348,+,-0.242983172628575,-0.172076975334835,+,17,-1372.30473165344,2781.5803370933,6.8901139788677,0.00270755087214996
8.33792173354103,+,,0.66716262656864,,+,+,0.9591507019506,+,-0.28907361195415,-0.250337420622546,+,16,-1373.48344505356,2781.5949094308,6.90468631636895,0.00268789489493643
7.04746938935779,+,,0.467209149083644,0.380322314942521,,,,+,-0.200149594461349,,+,12,-1378.05997408144,2781.59862114866,6.90839803423569,0.00268291116716198
7.63970370675822,+,,0.622509680328735,,,+,0.802215117028228,+,-0.249913242992353,,+,13,-1376.9793316604,2781.69199665413,7.00177353970184,0.00256053112747935
7.04497321302384,+,0.0788106848687194,0.497597869562368,0.466192315875463,,+,,+,,,,10,-1380.37228517269,2781.77743419515,7.08721108072177,0.00245345181762445
7.20650652209745,+,,0.437755567810323,0.367167299914677,+,,0.171164136904697,+,-0.177189580009518,0.0333439573325596,,13,-1377.02698629257,2781.78730591847,7.09708280403766,0.00244137175614963
7.62663525134993,+,0.0902168736190625,0.53201438330026,0.337718811803783,+,+,0.775070217665486,+,-0.190067767211106,,+,17,-1372.41358675408,2781.79804729457,7.10782418014605,0.00242829505689159
7.84292156241156,+,0.10302810871871,0.597355653523275,0.255478465406544,+,+,0.854733721629144,+,-0.236872772062033,-0.186815064059786,+,18,-1371.32473684749,2781.98605906083,7.2958359463978,0.00221042212769301
7.55977719280119,+,0.122074056162002,0.516233380658825,0.360364967121501,+,,0.728050532772666,+,-0.19841589659923,-0.0527991147977865,+,17,-1372.50859000173,2781.98805378987,7.29783067544213,0.00220821863011166
7.35969550773044,+,0.0856364546453822,0.43033073422598,0.382606490975592,+,,0.17255347726437,+,,,,12,-1378.27004094128,2782.01875486835,7.32853175391847,0.00217458012849595
6.96183646692029,+,,0.42895952718801,0.369340947939902,,,,,-0.277312909651118,,,6,-1384.88677505017,2782.16064687453,7.47042376009858,0.00202564789684596
7.11641966596588,+,0.112039821308702,0.484595654369679,0.417795691278944,+,+,,+,-0.201789632230607,,,13,-1377.22318484086,2782.17970301505,7.48947990062288,0.0020064390383565
6.95213078810123,+,0.152774162931847,0.440967132921599,0.332214569966497,,,,,-0.276442244346004,-0.0570110862360562,,8,-1382.78241739627,2782.23460223439,7.5443791199632,0.00195211210759859
7.57158649553888,+,,0.525528946030858,0.401363108569844,+,,0.750954944337767,+,,,+,14,-1376.14081864838,2782.29120667475,7.60098356031631,0.00189763751310546
8.35009603168467,+,0.0943873827408306,0.65571844863393,,+,+,0.942009382002371,+,-0.288742312662625,-0.266081680519162,+,17,-1372.69292543529,2782.35672465698,7.6665015425524,0.00183648002071675
7.06268474276962,+,0.0722830270946092,0.462723936062891,0.403151720156845,,+,0.17917791091095,+,,0.0287387555594413,,12,-1378.45465653316,2782.38798605211,7.69776293767654,0.00180799773581858
7.57780825273589,+,,0.534681388020063,0.349332538518047,+,,0.765826699148139,+,-0.193111895365427,-0.00560657071622963,+,16,-1373.94758892525,2782.52319717417,7.83297405973872,0.00168980721527346
7.07709000922705,+,,0.480006182097286,0.40720654523874,+,,,+,-0.213162123336609,-0.0431186078047276,,12,-1378.52238291733,2782.52343882045,7.83321570602129,0.00168960305979114
6.95029588671028,+,0.134034690201567,0.464554295058069,0.39229054186075,,,,+,-0.20148710197346,-0.056079276099416,+,14,-1376.29700470111,2782.60357878021,7.913355665778,0.00162323917815181
7.55413011014578,+,,0.600912314976182,,,,0.71991236772097,+,-0.248575798798391,,+,12,-1378.58071132363,2782.64009563304,7.94987251860766,0.00159387031555939
7.04648947051213,+,,0.494184709811937,0.426694307441452,+,+,,+,-0.205035654097998,,,12,-1378.58656131236,2782.65179561051,7.96157249607859,0.00158457341207141
7.14641137825084,+,,0.509767268561158,0.418764573822169,,+,,+,,-0.0653020157447142,,10,-1380.81196864912,2782.656801148,7.96657803356857,0.00158061254989009
6.98906621705896,+,,0.40354210272487,0.311679811947345,,,0.104864154512934,,-0.263188619846833,,,7,-1384.0885627572,2782.69564403292,8.00542091848911,0.00155021095124818
6.92577579812143,+,0.143144739427072,0.438842704471576,0.368326162303172,,+,,,-0.262265500182786,,,8,-1383.03642383217,2782.74261510621,8.05239199177822,0.00151422761307966
7.27842094839809,+,0.122639316040656,0.489808147913806,0.337493456645738,+,+,,+,-0.227908889534257,-0.122732819600726,,14,-1376.36691872554,2782.74340682908,8.05318371464637,0.00151362830739407
7.1834587597917,+,0.132777523433612,0.509297605021725,,,,0.214120390634131,+,-0.242367894213497,,,10,-1380.94724527117,2782.92735439211,8.23713127768542,0.00138062437106994
7.21927522754127,+,0.0675869650519059,0.554158266521306,0.405432634867151,,+,0.739912142042583,+,,-0.0774543525529783,+,15,-1375.32639910053,2782.96049050874,8.27026739431358,0.00135793855487971
6.95546859400882,+,0.118038529341323,0.460794800155761,0.396118909181803,,+,,+,-0.190669528009145,,+,14,-1376.48264926168,2782.97486790134,8.28464478691376,0.00134821175042402
7.33833162556022,+,0.114887493898131,0.450619643000134,0.323177013670227,+,+,0.144540009444212,+,-0.199204874684471,-0.0397332197461274,,15,-1375.34359044161,2782.99487319091,8.30465007647763,0.00133479328912413
7.52398046442993,+,0.0836235990677213,0.497047583066008,0.427765872978431,+,,0.71822678455944,+,,,+,15,-1375.40733224699,2783.12235680167,8.43213368723764,0.00125236609098489
6.9604092767568,+,0.147194395450538,0.415482477060312,0.303651351871915,,,0.102641341747007,,-0.260548909275304,-0.0147732261120552,,9,-1382.15900581816,2783.15913313164,8.46891001721178,0.00122954781276017
6.94878069878494,+,0.146998065997092,0.412097008825898,0.310808909181354,,+,0.108849934866641,,-0.256040460427633,,,9,-1382.16154574248,2783.16421298029,8.47398986586131,0.0012264288170454
7.14649744180393,+,0.124085451118548,0.487830735137682,0.301614334904042,,,0.655363632945818,,-0.258374650757591,,+,11,-1379.97161569688,2783.18851441263,8.4982912982,0.00121161699792679
7.12547083746769,+,,0.489642489133403,0.45888118207701,+,,,+,,,,10,-1381.08394104648,2783.20074594272,8.51052282829323,0.00120422964572167
7.29210937360087,+,,0.435595905731098,0.393655593576323,+,,0.201261125078429,+,,0.056358915681295,,12,-1378.91450145056,2783.3076758869,8.61745277246882,0.00114153642044969
7.34582817999786,+,,0.450064860433625,0.369759459733501,+,+,0.178457388558828,+,,,,12,-1378.93140857765,2783.34149014109,8.65126702665748,0.00112239855812087
7.5949041617877,+,0.0562561406842307,0.620035940997611,,,+,0.778470213755107,+,-0.249625916375544,,+,14,-1376.67242902505,2783.35442742809,8.66420431365896,0.00111516159388835
7.49351034293362,+,0.0882807030217378,0.597845232400719,,,,0.684624447185866,+,-0.250893447352215,,+,13,-1377.81589210911,2783.36511755154,8.67489443711565,0.00110921688789536
7.10306999423053,+,0.08168029359426,0.502910471192959,0.425303860529319,,+,,+,,-0.0686580092804429,,11,-1380.09462904568,2783.43454111023,8.74431799580088,0.00107137458254673
6.99423382786276,+,0.109405881658881,,0.396255020867505,,,0.184495939182176,+,-0.192634688131851,,,10,-1381.22692014142,2783.4867041326,8.79648101816883,0.00104379276563844
7.08386219215219,+,,0.477546582064469,0.366686060328751,,+,,+,-0.202265768680089,,+,13,-1377.8767762082,2783.48688574973,8.79666263530589,0.00104369798461508
7.2647393230081,+,,0.456648327702509,0.336193946984167,+,+,0.155484113275122,+,-0.19347880096438,-0.0180268272429383,,14,-1376.75451920523,2783.51860778845,8.82838467402326,0.00102727446188911
7.18545180644752,+,,0.497782671431394,0.355968405331389,+,+,,+,-0.231468958918254,-0.107463561503958,,13,-1377.92756232434,2783.588457982,8.89823486757496,0.000992016086803727
7.65657312838222,+,,0.548348629209512,0.375484096653726,+,+,0.795031022777284,+,,,+,15,-1375.64348687163,2783.59466605095,8.90444293652081,0.000988941608784027
7.2387041725638,+,,0.494004922991081,0.279023658737614,,,0.702575636065852,,-0.267260289319508,,+,10,-1381.31323131121,2783.65932647219,8.96910335775829,0.00095748023505136
7.01961523546492,+,,0.453278754516332,0.432493561106705,,,,+,,,+,11,-1380.24586836925,2783.73701975737,9.04679664293781,0.000920998526173388
7.16814121859203,+,0.0806960211911784,0.481564744722675,0.461010897582448,+,,,+,,,,11,-1380.30275553546,2783.85079408978,9.16057097535577,0.000870067913241375
7.04806222763706,+,,0.467421113127996,0.379858211577033,,,,+,-0.200925571998032,-0.00324927625679856,+,13,-1378.05929308913,2783.8519195116,9.16169639717282,0.000869578454260305
6.9244796463215,+,0.098630901488936,0.437211851411348,0.458309158271915,,,,+,,,+,12,-1379.19908134755,2783.87683568088,9.18661256644918,0.000858812373892234
8.25805774289061,+,,0.599776810734011,,+,+,0.892452562639888,+,-0.235181693276926,,+,15,-1375.79454232408,2783.89677695585,9.20655384142447,0.000850292014336976
7.2364509360729,+,,0.502528326107867,,,,0.21999939220186,+,-0.22494337457675,,,9,-1382.58497494553,2784.01107138639,9.32084827196195,0.000803062562198964
7.34312161960221,+,0.0792253589287752,0.428302875506576,0.390327929771547,+,,0.190633671034358,+,,0.0322618975068834,,13,-1378.20156805088,2784.13646943509,9.44624632066098,0.000754257330672245
7.00894691459234,+,,,0.40751918897268,,,0.178987159248199,+,-0.201552947926055,,,9,-1382.65024807049,2784.1416176363,9.45139452186868,0.000752318293131425
6.96774443138881,+,,0.428042350911564,0.35575021980584,,,,,-0.282713957548109,-0.0233023345943642,,7,-1384.8367598641,2784.19203824671,9.50181513228517,0.00073358919443918
7.33979923285771,+,0.13894310090314,0.554639783465596,,,+,,+,-0.301912947281258,-0.235370447750199,,11,-1380.47789039213,2784.20106380313,9.51084068870432,0.000730286127717124
7.36928893724444,+,0.0801424706847178,0.435130033902225,0.378392560089508,+,+,0.176130966527351,+,,,,13,-1378.23657944866,2784.20649223065,9.51626911621997,0.000728306662623039
7.24029205118835,+,0.111519235511142,0.521221473101531,,,+,0.227026835329706,+,-0.243718202209316,,,11,-1380.493366157,2784.23201533286,9.54179221843197,0.00071907139344244
6.97542948538982,+,,0.43182731043006,0.365993301571418,,+,,,-0.279111447443952,,,7,-1384.8580393857,2784.23459728991,9.54437417548479,0.000718143686668156
7.32240289053346,+,0.154984572687054,0.366190303622087,0.279263219858299,+,,0.12726833799588,,-0.250908707167496,,,10,-1381.60313168883,2784.23912722743,9.54890411300039,0.000716518954332815
7.29792372340831,+,,0.519749620542452,,,+,0.236077521937654,+,-0.236470748396503,,,10,-1381.62657559617,2784.2860150421,9.5957919276716,0.000699916326019725
7.13524570896268,+,0.144497909344723,0.408875441902843,0.352323790727028,+,,,,-0.259808100295155,,,9,-1382.75538844799,2784.35189839131,9.66167527687821,0.000677235532789171
6.97250900279077,+,0.150057842976789,0.443889470216276,0.321031660546565,,+,,,-0.281089247437216,-0.0698392158837253,,9,-1382.75554033445,2784.35220216422,9.66197904979481,0.000677132677694008
7.29736634607628,+,0.124264583367324,0.535358523760458,,,+,0.140141269730812,+,-0.271623454409263,-0.148532101489039,,12,-1379.51736124732,2784.51339548042,9.82317236599101,0.000624699400276949
7.56495190323368,+,,0.522390764699203,0.404252139745007,+,,0.75116819448311,+,,0.0173674468784047,+,15,-1376.121838211,2784.55136872969,9.86114561525619,0.000612950357538608
8.21550338434962,+,,0.579939879574473,,+,,0.831677896673966,+,-0.23121576880779,,+,14,-1377.27791720269,2784.56540378337,9.87518066893881,0.000608664019289338
7.01141168182459,+,0.127746783754659,0.481588472998479,0.367998144115286,,+,,+,-0.212678116607823,-0.0977999312378198,+,15,-1376.14395543126,2784.59560317021,9.90538005577628,0.000599542419195813
7.18828253753445,+,0.146673413057324,0.512042104341188,,,,0.171335508628124,+,-0.254047452894824,-0.0667480439510175,,11,-1380.68580362815,2784.61689027516,9.92666716073154,0.000593194997474931
7.55767610622178,+,,0.604496137324799,,,,0.719946049162389,+,-0.256300540846645,-0.0399460208911444,+,13,-1378.48298171615,2784.69929676564,10.0090736512079,0.000569250129179386
7.00880417621403,+,,0.407124637845459,0.305290550641695,,+,0.106645157684843,,-0.266947250296496,,,8,-1384.03239072989,2784.73454890165,10.0443257872203,0.000559304397255814
6.9867446795507,+,,0.401582578972987,0.317622040210431,,,0.115268622036172,,-0.257900025520882,0.0216955515283274,,8,-1384.05457140068,2784.77891024321,10.0886871287853,0.000547035222826249
8.21569986859302,+,0.103761375677262,0.557621998459888,,+,,0.792824028934679,+,-0.237290776960862,,+,15,-1376.24027335645,2784.78823902059,10.0980159061646,0.000544489579470451
7.12266094584174,+,0.124084392308279,0.430043647124687,0.384332747975683,+,,,+,-0.189261754090308,,+,15,-1376.2825371774,2784.87276666249,10.1825435480628,0.000521956882264694
7.35047171293151,+,,0.529865684087424,,,+,0.159910746312156,+,-0.264558625832488,-0.129694817106415,,11,-1380.88188134104,2785.00904570095,10.3188225865183,0.0004875756530872
7.48857769680011,+,0.10482702823369,0.605019089307411,,,,0.67778803612782,+,-0.265452373717925,-0.0724623751698286,+,14,-1377.51009516246,2785.0297597029,10.339536588473,0.000482551892027835
7.59136460822245,+,0.0674496241218595,0.518511552955321,0.404929962873534,+,+,0.755460625091427,+,,,+,16,-1375.21250433839,2785.05302800044,10.3628048860128,0.000476970342770684
7.78311451369715,+,0.146457803299641,0.444487991976365,,+,,0.229956994240117,+,-0.232104786517507,,,12,-1379.78986892652,2785.05841083883,10.3681877243989,0.000475688341610762
7.33093559665101,+,,0.511216976990633,0.249135123605647,,+,0.744264441719496,,-0.27349113553439,,+,11,-1380.93489009655,2785.11506321197,10.4248400975384,0.00046240295536945
8.25905797427642,+,0.0740986305156793,0.583570477308822,,+,+,0.866075623540338,+,-0.236489096039579,,+,16,-1375.27551019462,2785.17903971292,10.488816598488,0.000447845567790059
7.13179058815376,+,0.135289671471092,0.492427008753873,0.300471344689834,,,0.655001175620538,,-0.26701293708454,-0.0411478285526983,+,12,-1379.86785859209,2785.21439016995,10.5241670555233,0.000439999341233774
7.19971303735822,+,0.114111774142368,0.497692771182171,0.285355485743031,,+,0.68199070500719,,-0.261279794398518,,+,12,-1379.89600015507,2785.27067329593,10.5804501814982,0.000427789677344534
7.15939032765611,+,,0.48703994230205,0.442484857465347,+,,,+,,-0.0277411272043058,,11,-1381.01274809931,2785.2707792175,10.5805561030675,0.000427767021867503
7.40051233624697,+,,0.549083284393618,,,+,,+,-0.304708456944464,-0.229788662669787,,10,-1382.13169131488,2785.29624647952,10.6060233650919,0.000422354527936166
7.42739809976252,+,0.121531821616652,,0.359112219793958,+,,0.200711060666298,+,-0.188640458330743,,,12,-1379.91222140095,2785.30311578768,10.6128926732481,0.000420906374610889
7.13416361350101,+,,0.494877628498754,0.45684714350897,+,+,,+,,,,11,-1381.03708489319,2785.31945280525,10.6292296908196,0.000417482201425959
6.95453751989422,+,0.147851845108378,0.414117378577666,0.306469542937721,,+,0.104246223937159,,-0.258952289865502,-0.0104226736518142,,10,-1382.15694466389,2785.34675317755,10.6565300631205,0.000411822209517676
7.13227118275677,+,,0.491884457289547,0.343686139215807,,+,,+,-0.221865678807875,-0.0716744487012579,+,14,-1377.69528249324,2785.40013436448,10.7099112500482,0.000400975822492526
7.52617046301828,+,0.0862530739501714,0.498098503627238,0.427130887548033,+,,0.716990714452455,+,,-0.0111763264077758,+,16,-1375.39978365648,2785.42758663664,10.7373635222066,0.000395509574841005
7.74985213400544,+,,0.578750844136863,0.34362383085266,+,+,0.82340187444822,+,,-0.0839221172150435,+,16,-1375.40939036794,2785.44680005956,10.7565769451317,0.000391728220745079
7.21623539038822,+,0.17244562880965,0.535504519756261,,,,,+,-0.288638644428658,-0.159110450818707,,10,-1382.20793787636,2785.44873960248,10.7585164880475,0.000391348518039526
7.31708093678595,+,,0.442972897772882,0.383226796614803,+,+,0.195776694739218,+,,0.037218167134067,,13,-1378.87219009645,2785.47771352623,10.7874904117994,0.000385719935945421
7.22961926629449,+,0.091769338565825,0.475820929524729,0.433893872396004,+,,,+,,-0.0490835101445342,,12,-1380.08334438195,2785.64536174967,10.955138635245,0.000354705348233449
6.98320307743373,+,0.113403533851497,,0.399562331682963,,+,0.181763753099864,+,-0.192125752174045,,,11,-1381.21038040373,2785.66604382633,10.9758207119057,0.000351056227001457
6.99553430622808,+,0.110760287894587,,0.394750191626004,,,0.181051587634187,+,-0.193985315588343,-0.00579104866188894,,11,-1381.22478710895,2785.69485723677,11.0046341223419,0.000346034920513953
7.04340631558614,+,,0.459992800168979,0.425308559915851,,+,,+,,,+,12,-1380.1635793082,2785.80583160217,11.1156084877443,0.000327357391226651
