cond((Int)),zi((Int)),disp((Int)),cond(chlor2),cond(depth2),cond(DO2),cond(habitat),cond(month),cond(salinity2),cond(sediment),cond(turb2),cond(w_temp2),cond(year),zi(depth2),zi(salinity2),df,logLik,AICc,delta,weight
9.1699766285638,-1.76531897196498,+,,1.48694143586298,-0.178587260548443,+,,1.59030015223977,,-0.0250752158237723,,+,-1.42644640482711,-1.05928170256942,15,-1350.85604268688,2734.01977768145,9.11572060609251,0.00241846443014643
8.92718885572931,-1.76532920865524,+,0.142805616470702,1.46265878872162,,+,,1.54051057957335,,-0.00681230615106064,,+,-1.42643479460753,-1.05928338149917,15,-1350.91128353477,2734.13025937723,9.22620230186703,0.00228848941976527
9.19131269018268,-1.76529705024461,+,,1.53617202969897,-0.0899384290992268,+,,1.66802867942949,,0.0174515230781602,0.268464613629474,+,-1.42642382753315,-1.05927846637198,16,-1349.79918331932,2734.22638596231,9.32232888694671,0.00218109853571294
10.0736869475454,-1.76532100448769,+,,1.61735307755866,-0.196232003095889,+,+,1.88656152105854,+,-0.202105334588381,,+,-1.42645967090908,-1.05927692294228,19,-1346.47580602052,2734.67710223712,9.77304516175582,0.00174101891981492
9.9964380578143,-1.76532464160806,+,0.0294051856584387,1.63644871540947,-0.143418753752617,+,+,1.83591774037674,+,,,+,-1.42645039686441,-1.05929033155208,19,-1346.68881872521,2735.10312764649,10.1990705711278,0.00140699724948667
10.0043691734694,-1.76532947586287,+,,1.63596470768579,-0.155562289833925,+,+,1.84109603139796,+,,0.00543100293226011,+,-1.42644245748537,-1.05930055162439,19,-1346.69851980654,2735.12252980915,10.2184727337903,0.00139341384810605
9.80514586410645,-1.7653281044636,+,0.105166648990861,1.61874533774501,,+,+,1.83847631251283,+,-0.136891895626482,,+,-1.42643347841753,-1.05928275307633,19,-1346.80952803138,2735.34454625885,10.4404891834847,0.00124700978945728
9.78862440317196,-1.76530650107393,+,0.0937526874610496,1.63393297631104,,+,+,1.8270698535898,+,,0.0571711690138305,+,-1.42643175097631,-1.05928553010322,19,-1346.87851834387,2735.48252688382,10.5784698084535,0.00116387878185842
9.76119210477268,-1.76530974505732,+,,1.61898774922949,,+,+,1.85361731983969,+,-0.105550808080799,0.0512584809678289,+,-1.42643411245341,-1.05928621751545,19,-1346.94836928915,2735.62222877439,10.718171699024,0.00108535514857032
8.8884660412418,-1.76532393494288,+,,1.46589212324079,,+,,1.51738487912509,+,,,+,-1.42646234097429,-1.05928427043709,16,-1350.65201599317,2735.93205131001,11.0279942346483,0.00092959710372098
9.06881870152856,-1.76532176045889,+,,1.54116546879792,,+,,1.66250361804089,+,,0.2782872695295,+,-1.42644052184226,-1.0592899932991,17,-1349.51030376714,2735.9914813207,11.0874242453333,0.000902380494282488
9.13394004660972,-1.76530307263381,+,0.097480864050458,1.47736728915521,-0.134192453185168,+,,1.57157757777579,,-0.0313531492289371,,+,-1.42645287876813,-1.05928496342585,16,-1350.74628308164,2736.12058548695,11.2165284115927,0.000845970240270308
9.17472974723573,-1.76532074615045,+,0.117583695135057,1.5361789138124,-0.0368154199691318,+,,1.66132048248607,,0.0120639865542503,0.27776428462785,+,-1.4264355190848,-1.05928326450129,17,-1349.63745614719,2736.2457860808,11.3417290054335,0.00079463579094174
10.0598829110171,-1.76531652738483,+,0.026692198498156,1.61763205049017,-0.183142320317209,+,+,1.88029052786982,+,-0.201601902185457,,+,-1.42644098707157,-1.05928626316163,20,-1346.46800227312,2737.07393558073,12.1698785053641,0.000525215752395809
10.0803169452497,-1.76533105015634,+,,1.61722076099179,-0.198866702632427,+,+,1.88538802006767,+,-0.203395695206436,-0.00902805741609654,+,-1.42645154879738,-1.05930154895099,20,-1346.47488854114,2737.08770811677,12.1836510414032,0.000521611400466814
6.41058855396012,-1.76530874241817,+,,1.43550454941317,,,,0.878035215881678,,,,+,-1.42642906500968,-1.05929018677714,11,-1356.98392142955,2737.21312587798,12.3090688026132,0.000489906220714866
6.63354995153908,-1.76531106915505,+,,1.52912890433312,,,+,0.998238399912796,,,,+,-1.42644935880469,-1.05927914851092,12,-1355.96982035792,2737.41831370162,12.5142566262575,0.000442137126392325
7.15406196395383,-1.76531980390576,+,,1.01484993783165,,+,,,,,,,-1.42644369420283,-1.05928402728492,9,-1359.3260938352,2737.49330916572,12.589252090359,0.000425864977847286
9.98664913301286,-1.76531451747386,+,0.0317247675379858,1.6364295141552,-0.139124121270561,+,+,1.83704858776862,+,,0.0119383308766588,+,-1.42643044252878,-1.05929295988984,20,-1346.68730327335,2737.51253758119,12.6084805058285,0.000421790242545735
9.79532939568613,-1.76530027554488,+,0.10694029825143,1.62121571408822,,+,+,1.8496218497609,+,-0.134866628348267,0.0551723805923261,+,-1.42641550874974,-1.05929098822342,20,-1346.77419486279,2737.68632076007,12.7822636847077,0.000386687373225811
9.16939812029262,-1.76531946175095,+,,1.49845010623638,-0.162394860194797,+,,1.57499486033328,+,,,+,-1.42645105519214,-1.05929222388491,17,-1350.38213390028,2737.73514158696,12.8310845116025,0.000377362450214403
8.94926929442644,-1.76531685633887,+,0.13132605327796,1.469154136532,,+,,1.51650089275229,+,,,+,-1.42644266403025,-1.05928591045352,17,-1350.39896261442,2737.76879901524,12.8647419398799,0.000371065062502482
9.14046866160848,-1.76530780928828,+,0.130816333713283,1.54899809170932,,+,,1.66523813630073,+,,0.277411959886648,+,-1.4264412136528,-1.05930449782216,18,-1349.2671066283,2737.87079862245,12.9667415470904,0.000352615283527679
5.85403887338072,-1.76530964041446,+,,1.18229561137962,,,,,,,,,-1.42642409446259,-1.05927171039022,7,-1361.79386578665,2738.10625009182,13.2021930164569,0.000313453768271513
9.20833373867824,-1.7653132598775,+,,1.54839098327956,-0.0950207598476383,+,,1.67566879442085,+,,0.258474440223026,+,-1.42643077987024,-1.05928574032334,18,-1349.40918773376,2738.15496083337,13.2509037580035,0.00030591170323588
7.29806518202737,-1.76535640770549,+,0.200815650988362,1.01832899324923,,+,,,,,,,-1.42647957903968,-1.05933009956999,10,-1358.60611927656,2738.24510240288,13.3410453275192,0.000292430117629085
8.89099391513925,-1.76533430724567,+,,1.46734504173078,,+,,1.51772264054201,+,0.00634352842677859,,+,-1.4264374810477,-1.05930728283686,17,-1350.65179259724,2738.27445898089,13.3704019055326,0.000288169092630103
9.07350344526138,-1.76534156411944,+,,1.54397018858847,,+,,1.66119740300494,+,0.0176714575371176,0.278169578187996,+,-1.42643381031058,-1.05928236341786,18,-1349.50846161887,2738.35350860359,13.4494515282304,0.000277001417549977
6.44823777551912,-1.76531369090097,+,,1.47939291416038,,,,0.922182655285373,,,0.139526819032974,+,-1.42643415578773,-1.05928808029103,12,-1356.71000573839,2738.89868446256,13.9946273871969,0.000210910673226297
6.34125479759703,-1.76531680752237,+,,1.42274675659707,0.131163744830606,,,0.913127592157448,,,,+,-1.4264506364114,-1.0592742740642,12,-1356.75213965228,2738.98295229035,14.0788952149842,0.000202208790577245
7.22211074261751,-1.76532105115025,+,,0.997969784080964,,+,,0.121829723126091,,,,,-1.42643833455956,-1.05927525075637,10,-1359.0087763414,2739.05041653256,14.1463594571937,0.000195501618702927
6.39519113052573,-1.76532823785763,+,,1.40455843029736,,,,0.880106799683043,,-0.169725747275735,,+,-1.42644302065964,-1.05928083990594,12,-1356.79992905955,2739.07853110487,14.1744740295121,0.000192772622582909
6.63524555056745,-1.76532384938451,+,,1.50101719322667,,,+,1.01879497756573,,-0.213029411546936,,+,-1.42644908901252,-1.05928980267813,13,-1355.67645248477,2739.08623830288,14.1821812275207,0.000192031183718049
6.39755716192474,-1.76531418772112,+,0.0682787259621721,1.43440423524188,,,,0.855737275980388,,,,+,-1.42643051194874,-1.05928073724221,12,-1356.9025520972,2739.28377718019,14.3797201048242,0.000173970950719044
6.56989836019793,-1.76530361598451,+,,1.51731460616972,0.113864723697379,,+,1.0351493428095,,,,+,-1.42644828010058,-1.05928393913306,13,-1355.7904841743,2739.31430168193,14.4102446065644,0.000171335921810472
7.23901421383264,-1.76532065095755,+,,1.04831852529779,,+,+,,,,,,-1.42645137337112,-1.05928192466546,10,-1359.18663031599,2739.40612448175,14.5020674063912,0.00016364749349943
7.11815037831351,-1.76531576274103,+,,0.987820612072349,,+,,,,-0.115221399737858,,,-1.42643942929976,-1.05928740302128,10,-1359.22615587445,2739.48517559866,14.5811185232992,0.000157305398012717
10.0630545150038,-1.76531651649672,+,0.0259194255201343,1.61755337813414,-0.184662266929028,+,+,1.87996141179739,+,-0.202189527570275,-0.00387878959973681,+,-1.42642077947825,-1.05928997734454,21,-1346.46784069855,2739.50993882285,14.6058817474845,0.00015536971178149
6.62314887364089,-1.76528942515748,+,0.0601214981867414,1.53020105308589,,,+,0.978372810241462,,,,+,-1.42641777911768,-1.05928027006445,13,-1355.90484521407,2739.54302376147,14.6389666861041,0.000152820655068443
7.16752097421111,-1.76529329668435,+,,1.03493524329028,,+,,,,,0.0437450442132592,,-1.42641157418021,-1.05927683293481,10,-1359.28014536529,2739.59315458034,14.6890975049823,0.0001490377508564
5.85262780182493,-1.76531569428468,+,0.129438213303809,1.18940298379395,,,,,,,,,-1.42644595471904,-1.05928437001153,8,-1361.48904960125,2739.64786664436,14.7438095690009,0.000145015930702284
6.63394474108946,-1.76533828479274,+,,1.52887493568634,,,+,0.998065468743248,,,-0.00272630234131416,+,-1.42645908973265,-1.0592821398032,13,-1355.96974779696,2739.67282892726,14.7687718518932,0.000143217214723618
7.1644288304773,-1.76531147387741,+,,1.01486559762297,-0.0100103948594816,+,,,,,,,-1.42643503641225,-1.05928581149508,10,-1359.32452874262,2739.68192133502,14.7778642596531,0.00014256759783064
7.37479613959246,-1.76531529184451,+,0.205838736653135,0.997868250021565,,+,,0.127784646839709,,,,,-1.42644309365689,-1.05930443172657,11,-1358.24510694603,2739.73549691092,14.831439835561,0.000138799225768149
9.13678116971347,-1.76532802302861,+,0.0936164561579708,1.49163577870856,-0.117811154571513,+,,1.55820717475256,+,,,+,-1.4264534469953,-1.0592958839729,18,-1350.28043816488,2739.89746169562,14.9934046202543,0.000128002024176211
5.82983600520195,-1.76531163052164,+,,1.14780590405718,,,,,,-0.140725855425905,,,-1.4264217487941,-1.05928131207333,8,-1361.64245743598,2739.95468231382,15.0506252384589,0.000124391738654351
5.83994460141582,-1.76533033386416,+,,1.17479994493635,0.0904770758285488,,,,,,,,-1.42646005024659,-1.05928184722597,8,-1361.65732260445,2739.98441265077,15.0803555754051,0.000122556310276874
5.91552644002595,-1.76531415074787,+,,1.21251055879728,,,+,,,,,,-1.42643731013438,-1.05928910542108,8,-1361.68605648721,2740.04188041627,15.1378233409087,0.000119084903957851
7.2560988892684,-1.76530190564806,+,0.217938186772695,0.97549713397768,,+,,,,-0.178362978686303,,,-1.42642959541315,-1.05928305381233,11,-1358.40124196616,2740.04776695119,15.1437098758306,0.000118734920535002
9.16525877566976,-1.76532260397577,+,,1.49068359329257,-0.169233190038965,+,,1.57694911344896,+,-0.0428848242572117,,+,-1.42644559749272,-1.05928114584067,18,-1350.37245867202,2740.08150270989,15.1774456345293,0.000116748911192796
8.94028586836038,-1.76532152906081,+,0.13348873804532,1.4635406874377,,+,,1.51480253809962,+,-0.0248863590239446,,+,-1.42642429363511,-1.05929650939432,18,-1350.39569327218,2740.12797191021,15.2239148348494,0.000114067567521269
5.85073952200295,-1.76529183916318,+,,1.17778394312591,,,,0.054340861575251,,,,,-1.42640854729736,-1.05929645023588,8,-1361.73035892714,2740.13048529615,15.2264282207871,0.000113924309645632
5.85935492893872,-1.76531068420045,+,,1.202760296851,,,,,,,0.0443914666096765,,-1.4264344550892,-1.05927623364082,8,-1361.74713373364,2740.16403490915,15.2599778337835,0.000112029190959902
7.37020109547526,-1.76531395690103,+,0.195592170487478,1.04967520963187,,+,+,,,,,,-1.42643932015716,-1.05928489710236,11,-1358.49133398123,2740.22795098132,15.3238939059611,0.000108505562051909
9.19089675676689,-1.76532268898013,+,0.116746859739279,1.55082042503579,-0.0396356223013813,+,,1.66989073468795,+,,0.269066505426377,+,-1.42645825087734,-1.05928648218829,19,-1349.25274019043,2740.23097057694,15.3269135015821,0.00010834186419832
9.13771345667394,-1.76530938834834,+,0.132055223025951,1.54702451146627,,+,,1.6660444002064,+,-0.0130396007132875,0.277523790670837,+,-1.42642096827351,-1.05928559680571,19,-1349.26614748485,2740.25778516578,15.3537280904211,0.000106898987079924
6.18884997164651,-1.76532362414208,+,,1.27023586316225,,,,,,,,+,-1.42644825888028,-1.05929218344554,10,-1359.62650332822,2740.28587050621,15.3818134308444,0.000105408330751954
7.33894297635908,-1.7653013007991,+,,1.06793823472765,,+,,0.237320074931159,,,0.175970608457922,,-1.42641964301187,-1.05928753407636,11,-1358.52938007917,2740.3040431772,15.3999861018397,0.000104454893479722
6.36513326110491,-1.76531542240664,+,,1.47657190901459,0.182187095030075,,,0.990099677993072,,,0.188878403751014,+,-1.42642483799148,-1.05927885263027,13,-1356.28872207211,2740.31077747756,15.4067204021981,0.000104103769641515
7.24889104430911,-1.76531390306133,+,0.215155266151291,1.0185905296539,0.0575266931749598,+,,,,,,,-1.426441164161,-1.05928069365652,11,-1358.55802853229,2740.36134008344,15.4572830080783,0.000101504880772999
7.30456697674926,-1.7653060443212,+,0.19823093721926,1.03153227117218,,+,,,,,0.0282066437718617,,-1.42642717375905,-1.05927850268816,11,-1358.58677906279,2740.41884114446,15.5147840690934,9.86281140433592e-05
9.20879032059323,-1.7653100500318,+,,1.54565080551303,-0.0987285392019465,+,,1.67786615826222,+,-0.0191067227414637,0.257973687373622,+,-1.42644033562183,-1.05929025272562,19,-1349.40720092041,2740.5398920369,15.6358349615339,9.28356668521683e-05
7.44482019917689,-1.76528089015514,+,,1.10625264741089,,+,,,,,,+,-1.42639919459182,-1.05929095815332,12,-1357.53090757286,2740.54048813151,15.6364310561471,9.28080015546938e-05
6.2777518165915,-1.76531590452283,+,0.14099555283431,1.41542497670708,0.202718380229514,,,0.883068410604163,,,,+,-1.4264341804797,-1.05928745100116,13,-1356.45263291619,2740.63859916572,15.7345420903534,8.83651218536426e-05
6.43435956099671,-1.76531921344387,+,,1.45048238989422,,,,0.926470510058885,,-0.160303142708501,0.133984286350648,+,-1.42645059175198,-1.05928935398403,13,-1356.54940595214,2740.83214523762,15.9280881622531,8.02145008130847e-05
7.32445490093142,-1.76528236195245,+,,1.03537502641591,,+,+,0.128900690566787,,,,,-1.42639741000523,-1.05927274237751,11,-1358.83338488386,2740.91205278658,16.0079957112193,7.7072807896125e-05
6.43765080470581,-1.7653129770635,+,0.059512778239597,1.47801774028271,,,,0.9020822869467,,,0.134435124766897,+,-1.4264328875424,-1.05930101739215,13,-1356.64949719272,2741.03232771877,16.1282706434063,7.25744597671045e-05
6.37488284658202,-1.76532570679995,+,0.0936111552406357,1.396658639067,,,,0.84841175747069,,-0.20436500810199,,+,-1.42645947493463,-1.05929216366547,13,-1356.65479639582,2741.04292612498,16.1388690496192,7.21908901686629e-05
6.34252604703611,-1.76531599316294,+,,1.40180899797138,0.105759892381123,,,0.906891276897291,,-0.125916275507137,,+,-1.42643705242712,-1.05928257866085,13,-1356.66134570542,2741.05602474417,16.1519676688054,7.17196345630579e-05
6.62124499176891,-1.76531726657775,+,0.0927422687561048,1.49851308059367,,,+,0.990933812636879,,-0.250173937177689,,+,-1.4264380480232,-1.05928139698192,14,-1355.53128902502,2741.07214742803,16.1680903526676,7.11438021749378e-05
6.51196790958961,-1.76530486336295,+,0.128419914728352,1.51429370461215,0.180470450616087,,+,1.01177017306554,,,,+,-1.42642773391023,-1.05929437330144,14,-1355.543597914,2741.09676520598,16.1927081306203,7.02734684219504e-05
5.82966365501922,-1.76531138703987,+,0.171604071470619,1.18074000384233,0.147250663532503,,,,,,,,-1.42643060716055,-1.05929321630254,9,-1361.1578055227,2741.15673254074,16.2526754653745,6.81976873950581e-05
7.28230306316147,-1.76530170464055,+,,0.997383136398719,-0.0513187334591724,+,,0.134517631508271,,,,,-1.42641638063872,-1.05927372647093,11,-1358.96946860856,2741.18422023599,16.2801631606271,6.72668004086341e-05
7.1940822060201,-1.76530335784832,+,,0.981279896325719,,+,,0.111921175475301,,-0.0733589330491752,,,-1.42642137613069,-1.05928438669878,11,-1358.9723418403,2741.18996669948,16.2859096241145,6.7073804695879e-05
7.46733707746781,-1.76534976257527,+,0.19418440660279,1.05962153862175,,+,,0.227604483020759,,,0.155135778573795,,-1.42647804919053,-1.05930237128718,12,-1357.86359190255,2741.20585679088,16.3017997155202,6.65430116318168e-05
6.59182395808617,-1.76531656663303,+,,1.49691355315308,0.0751184928537895,,+,1.03899438999042,,-0.179949341136819,,+,-1.42644372706743,-1.05928996974683,14,-1355.60550733224,2741.22058404247,16.3165269671035,6.60548134554144e-05
5.81907917377658,-1.7653215656542,+,0.149981741211507,1.14250845346371,,,,,,-0.190523734701174,,,-1.42643968218734,-1.05927099418816,9,-1361.24618570595,2741.33349290724,16.4294358318743,6.2429035013685e-05
6.63832746544007,-1.76531611902146,+,,1.49808582298776,,,+,1.01728206532779,,-0.215653955255601,-0.0224237939934791,+,-1.42644015081268,-1.05928707250503,14,-1355.67155599073,2741.35268135945,16.4486242840908,6.18329408396804e-05
7.20470191325182,-1.76530852778172,+,,1.02112069633081,,+,+,,,-0.123160696576341,,,-1.4264348723772,-1.05928113447004,11,-1359.07264376835,2741.39057055557,16.4865134802071,6.06725667435765e-05
7.55115506225806,-1.76527374481096,+,0.191824149144437,1.09830463459339,,+,,,,,,+,-1.42639812607352,-1.05926843681807,13,-1356.86234446655,2741.45802226644,16.5539651910776,5.86604533678959e-05
6.5524582443187,-1.76532711584166,+,,1.52117418858611,0.13028190549901,,+,1.04346845749077,,,0.053583224664487,+,-1.42640946925705,-1.05928136858761,14,-1355.76578740891,2741.54114419581,16.6370871204435,5.62724362135116e-05
7.26747247554653,-1.76531540027092,+,,1.04968683293913,-0.0242699457798832,+,+,,,,,,-1.42644025330829,-1.05928705992114,11,-1359.17760735219,2741.60049772324,16.6964406478778,5.46269889566974e-05
7.13109516718806,-1.76530448991956,+,,1.0082041588743,,+,,,,-0.116572584036229,0.0441206599866218,,-1.42643470950212,-1.05926330061636,11,-1359.17909253958,2741.60346809804,16.6994110226742,5.45459178588857e-05
7.23684904062379,-1.76531856139267,+,,1.05234358374865,,+,+,,,,0.0149668459496779,,-1.42643609225601,-1.05928506384937,11,-1359.18219961619,2741.60968225125,16.7056251758845,5.43767025322241e-05
7.36174569072688,-1.76531347284236,+,,0.981389580128219,,+,,,+,,,,-1.42643677036728,-1.05929064235819,12,-1358.07004719899,2741.61876738377,16.7147103084094,5.41302529384319e-05
5.91041986158975,-1.76532125686268,+,0.126012945186003,1.21839003734209,,,+,,,,,,-1.42643785262085,-1.05928460336298,9,-1361.3933957512,2741.62791299773,16.7238559223692,5.38832908253503e-05
7.14444768294456,-1.76532088949956,+,,0.986104228832343,-0.0275933020190955,+,,,,-0.123059530751921,,,-1.42642600443876,-1.05929545087683,11,-1359.21464159034,2741.67456619955,16.7705091241883,5.26409232445896e-05
7.46028916143714,-1.76532011629979,+,0.199396418745684,1.03298040711828,,+,+,0.132962583509577,,,,,-1.42644362446412,-1.05927943753461,12,-1358.10206008493,2741.68279315564,16.7787360802759,5.24248307132626e-05
5.84933824175678,-1.76529089613909,+,0.129838379757108,1.1836940547025,,,,0.0549617032772675,,,,,-1.42639743529248,-1.05925880626445,9,-1361.42271086478,2741.68654322489,16.7824861495274,5.23266244392804e-05
5.85676492762229,-1.76528817389092,+,0.126176243141974,1.20547315804752,,,,,,,0.0343703635538139,,-1.42640220370816,-1.05927672408965,9,-1361.46090416763,2741.76292983058,16.8588727552174,5.03657817109092e-05
7.33385564963888,-1.76530884819285,+,0.216945276954997,0.967939655297108,,+,,0.110904642296784,,-0.130403428017127,,,-1.42642937412846,-1.0592791247998,12,-1358.14422800812,2741.76712900202,16.8630719266616,5.02601453698276e-05
7.15491581805538,-1.76530326869335,+,,1.03690198045103,0.0134807406853104,+,,,,,0.0480104443247017,,-1.42642735510284,-1.05929179581184,11,-1359.27775610815,2741.80079523517,16.8967381598059,4.94211913988555e-05
