Program,Filename,Instrument_ID,Turbidity_Std,Turbidity_FNU,Type,Date,PostCalDate,Instrument ID,PostCalCentered,Std_prefix,Std_Age
WQA,NA,SM-RAM,24E24011758,120.74,postcal,1/31/2025,2025-01-31,NA,-3.260000000000005,24E,New
WQA,NA,SM-JOR,24E24011758,120.94,postcal,2/26/2025,2025-02-26,NA,-3.0600000000000023,24E,New
WQA,NA,SM-RAM,24E24011758,120.97,postcal,11/22/2024,2024-11-22,NA,-3.030000000000001,24E,New
WQA,NA,SM-RIC,24E24011758,121.1,postcal,12/30/2024,2024-12-30,NA,-2.9000000000000057,24E,New
WQA,NA,SM-29,24E24011758,122.51,postcal,10/10/2024,2024-10-10,NA,-1.4899999999999949,24E,New
WQA,NA,SM-28,24E24011758,122.67,postcal,11/14/2024,2024-11-14,NA,-1.3299999999999983,24E,New
WQA,NA,SM-20,24E24011758,123.02,postcal,9/18/2024,2024-09-18,NA,-0.980000000000004,24E,New
WQA,NA,SM-47,24E24011758,123.11,postcal,10/16/2024,2024-10-16,NA,-0.8900000000000006,24E,New
WQA,NA,SM-24,24E24011758,123.21,postcal,1/13/2025,2025-01-13,NA,-0.7900000000000063,24E,New
WQA,NA,SM-21,24E24011758,123.22,postcal,10/16/2024,2024-10-16,NA,-0.7800000000000011,24E,New
WQA,NA,SM-39,24E24011758,123.23,postcal,10/30/2024,2024-10-30,NA,-0.769999999999996,24E,New
WQA,NA,SM-52,24E24011758,123.32,postcal,1/23/2025,2025-01-23,NA,-0.6800000000000068,24E,New
WQA,NA,SM-54,24E24011758,123.38,postcal,12/12/2024,2024-12-12,NA,-0.6200000000000045,24E,New
WQA,NA,SM-22,24E24011758,123.39,postcal,10/4/2024,2024-10-04,NA,-0.6099999999999994,24E,New
WQA,NA,SM-34,24E24011758,123.41,postcal,8/29/2024,2024-08-29,NA,-0.5900000000000034,24E,New
WQA,NA,SM-22,24E24011758,123.73,postcal,11/14/2024,2024-11-14,NA,-0.269999999999996,24E,New
WQA,NA,SM-39,24E24011758,124,postcal,9/5/2024,2024-09-05,NA,0,24E,New
WQA,NA,SM-31,24E24011758,124.03,postcal,9/5/2024,2024-09-05,NA,0.030000000000001137,24E,New
WQA,NA,SM-31,24E24011758,124.2,postcal,10/30/2024,2024-10-30,NA,0.20000000000000284,24E,New
WQA,NA,SM-34,24E24011758,124.62,postcal,10/24/2024,2024-10-24,NA,0.6200000000000045,24E,New
WQA,NA,SM-29,24E24011758,125.02,postcal,9/12/2024,2024-09-12,NA,1.019999999999996,24E,New
WQA,NA,SM-45,24E24011758,125.07,postcal,10/4/2024,2024-10-04,NA,1.0699999999999932,24E,New
WQA,NA,SM-MAG,24E24011758,125.26,postcal,3/13/2025,2025-03-13,NA,1.2600000000000051,24E,New
WQA,NA,SM-29,24E24011758,125.34,postcal,11/7/2024,2024-11-07,NA,1.3400000000000034,24E,New
WQA,NA,SM-45,24E24011758,125.61,postcal,11/14/2024,2024-11-14,NA,1.6099999999999994,24E,New
WQA,NA,SM-34,24E24011758,125.72,postcal,9/26/2024,2024-09-26,NA,1.7199999999999989,24E,New
WQA,NA,SM-20,24E24011758,125.91,postcal,11/14/2024,2024-11-14,NA,1.9099999999999966,24E,New
WQA,NA,SM-49,24E24011758,126.53,postcal,1/23/2025,2025-01-23,NA,2.530000000000001,24E,New
WQA,NA,SM-53,24E24011758,127.35,postcal,12/13/2024,2024-12-13,NA,3.3499999999999943,24E,New
WQA,NA,SM-24,24E24011758,165.68,postcal,9/6/2024,2024-09-06,NA,41.68000000000001,24E,New
CEMP,POST_PPT_64_2024-07-10.pdf,RTM-64,24E24012288,110.3,postcal,7/11/2024,2024-07-11,NA,-13.700000000000003,24E,New
CEMP,POST_TWI_71_2024-07-10.pdf,RTM-71,24E24012288,112,postcal,7/11/2024,2024-07-11,NA,-12,24E,New
CEMP,POST_GZL_78_2024-07-19.pdf,RTM 78,24E24012288,112.04,postcal,7/19/2024,2024-07-19,NA,-11.959999999999994,24E,New
CEMP,POST_SSI_102_2024-07-10.pdf,RTM-102,24E24012288,112.2,postcal,7/10/2024,2024-07-10,NA,-11.799999999999997,24E,New
CEMP,POST_SJRA_106_2024-07-17.pdf,RTM-106,24E24012288,112.4,postcal,7/17/2024,2024-07-17,NA,-11.599999999999994,24E,New
CEMP,POST_ANHA_100_2024-07-17.pdf,RTM 100,24E24012288,112.92,postcal,7/18/2024,2024-07-18,NA,-11.079999999999998,24E,New
CEMP,POST_HON_79_2024-07-19.pdf,RTM 79,24E24012288,113.51,postcal,7/19/2024,2024-07-19,NA,-10.489999999999995,24E,New
CEMP,POST_MSDA_55_2024-07-17.pdf,RTM-55,24E24012288,113.55,postcal,7/17/2024,2024-07-17,NA,-10.450000000000003,24E,New
CEMP,POST_SRHA_105_2024-07-17.pdf,RTM-105,24E24012288,113.7,postcal,7/17/2024,2024-07-17,NA,-10.299999999999997,24E,New
CEMP,POST_SRHB_91_2024-07-17.pdf,RTM-91,24E24012288,113.8,postcal,7/17/2024,2024-07-17,NA,-10.200000000000003,24E,New
CEMP,POST_RVB_92_2024-07-30.pdf,RTM 92,24E24012288,114.44,postcal,7/30/2024,2024-07-30,NA,-9.560000000000002,24E,New
CEMP,POST_MSDB_65_2024-07-17.pdf,RTM-65,24E24012288,116.49,postcal,7/17/2024,2024-07-17,NA,-7.510000000000005,24E,New
CEMP,POST_SJRB_114_2024-07-17.pdf,RTM-114,24E24012288,116.7,postcal,7/17/2024,2024-07-17,NA,-7.299999999999997,24E,New
WQA,NA,SM-47,24J24014925,121.25,postcal,12/12/2024,2024-12-12,NA,-2.75,24J,New
WQA,NA,SM-31,24J24014925,122.24,postcal,12/12/2024,2024-12-12,NA,-1.7600000000000051,24J,New
WQA,NA,SM-21,24J24014925,122.73,postcal,12/12/2024,2024-12-12,NA,-1.269999999999996,24J,New
WQA,NA,SM-39,24J24014925,123.5,postcal,12/12/2024,2024-12-12,NA,-0.5,24J,New
WQA,NA,SM-29,24J24014925,124.34,postcal,1/3/2025,2025-01-03,NA,0.3400000000000034,24J,New
WQA,NA,SM-22,24J24014925,124.49,postcal,1/9/2025,2025-01-09,NA,0.4899999999999949,24J,New
WQA,NA,SM-20,24J24014925,124.74,postcal,1/9/2025,2025-01-09,NA,0.7399999999999949,24J,New
WQA,NA,SM-45,24J24014925,125.49,postcal,1/9/2025,2025-01-09,NA,1.4899999999999949,24J,New
WQA,NA,SM-28,24J24014925,126,postcal,1/9/2025,2025-01-09,NA,2,24J,New
