StationID,Region
C3A,North Delta
D24,North Delta
NZ068,North Delta
D10,Confluence
D12,Confluence
D22,Confluence
D4,Confluence
D16,Central Delta
D19,Central Delta
D26,Central Delta
D28A,Central Delta
C10A,South Delta
C9,South Delta
MD10A,South Delta
P8,South Delta
D6,Suisun & Grizzly Bays
D7,Suisun & Grizzly Bays
D8,Suisun & Grizzly Bays
NZ032,Suisun Marsh
NZS42,Suisun Marsh
NZ002,Carquinez
NZ004,Carquinez
NZ325,San Pablo Bay
D41,San Pablo Bay
D41A,San Pablo Bay
