Station Name,Station Number,Sample Date,Sample Code,Sample Depth,Sample Description,Sample Type,Parent Sample Code,Total Alkalinity mg/L as CaCO3 Std Method 2320 B 916 [1]*,Dissolved Ammonia mg/L as N EPA 350.1 (D) 925 [1]*,Dissolved Bromide mg/L EPA 300.0 356 [1]*,Dissolved Calcium mg/L EPA 200.7 (D) 130 [1]*,Dissolved Chloride mg/L EPA 300.0 356 [1]*,Chlorophyll a ug/L Std Method 10200 H 274 [1]*,Specific Conductance µmhos/cm@25°C Std Method 2510-B 917 [1]*,Dissolved Nitrate + Nitrite mg/L as N Std Method 4500-NO3-F 923 [1]*,Dissolved Organic Carbon mg/L as C Std Method 5310C (D) 920 [1]*,Total Organic Carbon mg/L as C Std Method 5310C (T) 919 [1]*,Dissolved Organic Nitrogen mg/L as N EPA 351.2/EPA 350.1 (D) 929 [1]*,Pheophytin a ug/L Std Method 10200 H 274 [1]*,Total Phosphorus mg/L as P EPA 365.4 928 [1]*,Dissolved Silica (SiO2) mg/L EPA 200.7 (D) 130 [1]*,Total Dissolved Solids mg/L Std Method 2540 C 203 [1]*,Total Suspended Solids mg/L Std Method 2540 D 918 [1]*,Volatile Suspended Solids mg/L Std Method 2540 E 317 [1]*,Total Kjeldahl Nitrogen mg/L as N EPA 351.2 927 [1]*,Dissolved ortho-Phosphate mg/L as P EPA 365.1 924 [1]*,pH pH Units Std Method 2320 B 916 [1]*,"(Bottom) Chlorophyll Fluorescence RFU Fluorescence, Sonde - [1]*","(Bottom) Chlorophyll Fluorescence ug/L of Chl Fluorescence, Sonde - [1]*","Chlorophyll Fluorescence RFU Fluorescence, Sonde - [1]*","Chlorophyll Fluorescence ug/L of Chl Fluorescence, Sonde - [1]*",Chlorophyll Volume mL Chlorophyll Volume Filtered - [1]*,(Bottom) Specific Conductance µmhos/cm@25°C EPA 120.1 (Field) - [1]*,Specific Conductance µmhos/cm@25°C EPA 120.1 (Field) - [1]*,Field Notes Notes (Field) - [1]*,Microcystis aeruginosa Field Observations (Water) - [1]*,(Bottom) Dissolved Oxygen % Saturation ASTM Method D888-09-C (Field) - [1]*,(Bottom) Dissolved Oxygen mg/L ASTM Method D888-09-C (Field) - [1]*,Dissolved Oxygen % Saturation ASTM Method D888-09-C (Field) - [1]*,Dissolved Oxygen mg/L ASTM Method D888-09-C (Field) - [1]*,Secchi Depth Centimeters Secchi Depth - [1]*,(Bottom) Water Temperature °C EPA 170.1 (Field) - [1]*,"Air Temperature °F Temperature, Air - [1]*",Water Temperature °C EPA 170.1 (Field) - [1]*,(Bottom) Turbidity F.N.U. EPA 180.1 (Field) - [1]*,Turbidity F.N.U. EPA 180.1 (Field) - [1]*,Water Depth at Station Feet Depth of Water Column - [1]*,Weather Observations Weather Observations - [1]*,Wind Velocity Miles/hr Wind Velocity - [1]*,(Bottom) pH pH Units EPA 150.1 (Field) - [1]*,pH pH Units EPA 150.1 (Field) - [1]*
D16 - San Joaquin River @ Twitchell Island,B9D80581401,6/9/2023 6:55,E0623B1255,3 Feet,NA,Normal Sample,0,32.2,<0.05,<0.1,6.89,7.01,1.16,104,0.115,"2.6,2.7**","2.5,2.6**",0.15,0.73,0.079,10.6,64,6.9,<2.5,0.204,0.076,N/A,0.4,1.82,0.38,1.74,500,107,108,N/A,1,92.5,8.41,93.7,8.54,96,19.97,54.5,19.88,6.1,6.2,35.1,"sunny, ripples to small waves, no white caps, no rain",24.9,7.39,7.42
D16 - San Joaquin River @ Twitchell Island,B9D80581401,7/11/2023 10:35,E0723B1568,3 Feet,NA,Normal Sample,0,41.7,<0.05,<0.1,8.68,8.53,1.72,128,0.126,3,2.5,0.12,0.71,0.061,12.8,85,4.2,<2.5,0.204,0.06,N/A,0.45,1.98,0.44,1.94,500,132,133,Little Microcystis on surface seen by some crew (confirmed by water surface sample),2,92.7,8.06,87.6,7.59,148,22.27,72.9,22.44,3.9,3.5,52.2,"sunny, ripples to small waves, no white caps, no rain",3,7.54,7.45
D16 - San Joaquin River @ Twitchell Island,B9D80581401,8/9/2023 10:20,E0823B1866,3 Feet,NA,Normal Sample,0,46.8,<0.05,<0.1,9.11,26.6,1.68,204,0.079,2.2,2.3,0.1,0.89,0.053,13.5,120,5.4,<2.5,0.169,0.058,N/A,0.49,2.23,0.47,2.12,500,212,209,MC not visible on surface but found in surface samples,2,93.5,7.89,94.7,8,136,23.85,65.8,23.8,6.2,4.9,48.2,"Cloudy,ripples to small waves, no whitecaps, no rain",4.5,7.56,7.6
D16 - San Joaquin River @ Twitchell Island,B9D80581401,9/6/2023 9:00,E0923B2199,3 Feet,NA,Normal Sample,0,56.3,<0.05,0.116,10.6,35.1,1.51,248,0.109,2.4,2.3,0.12,0.85,0.06,15,139,7.1,<2.5,0.141,0.06,N/A,0.25,1.02,0.25,1.04,500,268,250,N/A,3,90.7,7.84,91.5,7.9,146,22.6,60.6,22.62,5.5,4.5,50.2,"Sunny, large waves with frequent white caps, no rain",19,7.21,7.35
D16 - San Joaquin River @ Twitchell Island,B9D80581401,10/4/2023 8:15,E1023B2531,3 Feet,NA,Normal Sample,0,59.6,<0.05,0.127,10.6,37.1,1.96,273,0.116,2.5,2.4,0.13,0.86,0.052,14.7,155,7.8,<2.5,0.185,0.06,N/A,0.42,1.83,0.44,1.9,500,302,293,N/A,1,93.3,8.5,93.6,8.52,132,19.88,61.5,19.88,5.3,4.4,48.2,"sunny, ripples to small waves, no white caps, no rain",3.9,7.7,7.77
D16 - San Joaquin River @ Twitchell Island,B9D80581401,11/6/2023 11:35,E1123B2836,3 Feet,NA,Normal Sample,0,52.4,<0.05,<0.1,10.1,20,2.3,189,0.189,"2.6,2.6**","2.6,2.6**",0.12,0.59,0.051,14.7,113,3.6,<2.5,0.164,0.063,N/A,0.55,2.24,0.56,2.29,500,188,187,N/A,1,93.5,9.14,93.2,9.05,176,16.42,61.7,16.77,3.4,3,43.3,"cloudy, no waves, flat, no rain",13.1,7.58,7.69
D19 - Frank's Tract near Russo's Landing,B9D80261369,4/12/2023 9:55,E0423B0767,3 Feet,NA,Normal Sample,0,47.1,<0.05,<0.1,"11.5,11.6**",13.4,1.96,171,0.268,3.9,3.7,0.24,0.64,"0.073,0.075**","12.7,12.8**",104,6.5,<2.5,"0.277,0.282**",0.06,N/A,0.51,2.07,0.48,1.97,500,163,166,no zoop tow,1,95.2,9.61,95.3,9.6,78,14.92,51.3,15.03,7.3,7.5,25.6,"sunny; moderate wave, few white caps; no rain",16.1,7.5,7.49
D19 - Frank's Tract near Russo's Landing,B9D80261369,5/11/2023 9:50,E0523B1003,3 Feet,NA,Normal Sample,0,38,<0.05,<0.1,8.27,9.31,2.51,128,0.175,3.4,3.2,0.17,0.55,0.078,10.9,80,3.8,<2.5,0.249,0.069,N/A,0.69,2.68,0.77,2.96,500,124,127,N/A,1,95,9.25,96.9,9.34,136,16.63,56.8,17.11,5,4.6,16.7,"Sunny, ripples to small waves/no white caps, no rain",14.4,7.45,7.42
D19 - Frank's Tract near Russo's Landing,B9D80261369,6/8/2023 8:15,E0623B1239,3 Feet,NA,Normal Sample,0,33.1,"<0.05,<0.05**",<0.1,7.03,8.31,0.78,110,"0.104,0.105**","3,3**","2.8,2.9**",0.19,<0.5,0.079,10.4,66,5.2,<2.5,0.296,"0.075,0.076**",N/A,0.42,1.93,0.45,2.04,500,115,115,No zooplankton tow,1,91.5,8.33,92.7,8.43,96,19.93,59.4,20.02,6,5.6,23.3,"Sunny, Ripples to small waves, no white caps, No rain",14.3,7.39,7.4
D19 - Frank's Tract near Russo's Landing,B9D80261369,7/10/2023 11:45,E0723B1552,3 Feet,NA,Normal Sample,0,41.2,<0.05,<0.1,8.35,8.69,1.69,130,0.102,2.6,2.5,0.1,0.73,0.058,11.8,86,4.1,<2.5,0.205,0.061,N/A,0.47,2.04,0.47,2.03,500,133,133,N/A,1,95.9,8.38,96.4,8.43,122,21.97,68.5,22,3.6,3.6,7.2,"sunny, ripples to small waves, no white caps, no rain",10.5,7.64,7.74
