Station Name,Station Number,Sample Date,Sample Code,Sample Depth,Sample Description,Sample Type,Parent Sample Code,Total Alkalinity mg/L as CaCO3 Std Method 2320 B 916 [1]*,Dissolved Ammonia mg/L as N EPA 350.1 (D) 925 [1]*,Dissolved Bromide mg/L EPA 300.0 356 [1]*,Dissolved Calcium mg/L EPA 200.7 (D) 130 [1]*,Dissolved Chloride mg/L EPA 300.0 356 [1]*,Chlorophyll a ug/L Std Method 10200 H 274 [1]*,Specific Conductance µmhos/cm@25°C Std Method 2510-B 917 [1]*,Dissolved Nitrate + Nitrite mg/L as N Std Method 4500-NO3-F 923 [1]*,Dissolved Organic Carbon mg/L as C Std Method 5310C (D) 920 [1]*,Total Organic Carbon mg/L as C Std Method 5310C (T) 919 [1]*,Dissolved Organic Nitrogen mg/L as N EPA 351.2/EPA 350.1 (D) 929 [1]*,Pheophytin a ug/L Std Method 10200 H 274 [1]*,Total Phosphorus mg/L as P EPA 365.4 928 [1]*,Dissolved Silica (SiO2) mg/L EPA 200.7 (D) 130 [1]*,Total Dissolved Solids mg/L Std Method 2540 C 203 [1]*,Total Suspended Solids mg/L Std Method 2540 D 918 [1]*,Volatile Suspended Solids mg/L Std Method 2540 E 317 [1]*,Total Kjeldahl Nitrogen mg/L as N EPA 351.2 927 [1]*,Dissolved ortho-Phosphate mg/L as P EPA 365.1 924 [1]*,pH pH Units Std Method 2320 B 916 [1]*,"(Bottom) Chlorophyll Fluorescence RFU Fluorescence, Sonde - [1]*","(Bottom) Chlorophyll Fluorescence ug/L of Chl Fluorescence, Sonde - [1]*","Chlorophyll Fluorescence RFU Fluorescence, Sonde - [1]*","Chlorophyll Fluorescence ug/L of Chl Fluorescence, Sonde - [1]*",Chlorophyll Volume mL Chlorophyll Volume Filtered - [1]*,(Bottom) Specific Conductance µmhos/cm@25°C EPA 120.1 (Field) - [1]*,Specific Conductance µmhos/cm@25°C EPA 120.1 (Field) - [1]*,Field Notes Notes (Field) - [1]*,Microcystis aeruginosa Field Observations (Water) - [1]*,(Bottom) Dissolved Oxygen % Saturation ASTM Method D888-09-C (Field) - [1]*,(Bottom) Dissolved Oxygen mg/L ASTM Method D888-09-C (Field) - [1]*,Dissolved Oxygen % Saturation ASTM Method D888-09-C (Field) - [1]*,Dissolved Oxygen mg/L ASTM Method D888-09-C (Field) - [1]*,Secchi Depth Centimeters Secchi Depth - [1]*,(Bottom) Water Temperature °C EPA 170.1 (Field) - [1]*,"Air Temperature °F Temperature, Air - [1]*",Water Temperature °C EPA 170.1 (Field) - [1]*,(Bottom) Turbidity F.N.U. EPA 180.1 (Field) - [1]*,Turbidity F.N.U. EPA 180.1 (Field) - [1]*,Water Depth at Station Feet Depth of Water Column - [1]*,Weather Observations Weather Observations - [1]*,Wind Velocity Miles/hr Wind Velocity - [1]*,(Bottom) pH pH Units EPA 150.1 (Field) - [1]*,pH pH Units EPA 150.1 (Field) - [1]*
D22 - Sacramento River @ Emmaton,B9D80511443,10/5/2023 10:45,E1023B2560,3 Feet,NA,Normal Sample,0,54.6,<0.05,N/A,10.2,38.1,2.35,266,0.163,"2.1,2.2**","2.1,2.2**",0.14,<0.5,0.039,14.1,151,8.5,<2.5,0.23,<0.05,N/A,0.43,1.89,0.55,2.4,500,287,262,N/A,1,94,8.64,94.4,8.63,104,19.4,70.7,19.7,5.8,4.9,26.9,"Sunny, ripples to small waves, no whitecaps, no rain",9.1,7.69,7.91
D22 - Sacramento River @ Emmaton,B9D80511443,11/7/2023 13:55,E1123B2878,3 Feet,NA,Normal Sample,0,56,<0.05,N/A,12.9,161,2.56,721,0.202,2.3,2.1,0.13,0.91,0.07,14.7,383,12.5,<2.5,0.161,0.071,N/A,0.58,2.37,0.66,2.66,500,1340,684,N/A,1,93.7,9.11,92.4,9.03,76,16.54,59.7,16.36,10.1,8.5,32.5,"Partly cloudy, ripples to small waves no whitecaps, no rain",12.3,7.61,7.81
D26 - San Joaquin River @ Potato Point,B9D80461340,4/13/2023 9:20,E0423B0801,3 Feet,NA,Normal Sample,0,"45.7,45.9**","<0.05,<0.05**",N/A,"10.8,10.9**",10.1,2.05,"151,151**","0.202,0.203**","3.1,3.1**","3.1,3.2**",0.17,0.73,"0.064,0.065**","12.7,12.9**",94,9.2,<2.5,"0.219,0.234**","<0.05,0.05**",7.76,0.45,1.81,0.46,1.87,500,148,148,N/A,1,95.1,9.63,96,9.73,42,14.77,50.5,14.76,9.9,9.6,38.7,"Sunny, large waves with frequent white caps, no rain",26.9,7.31,7.37
D26 - San Joaquin River @ Potato Point,B9D80461340,5/12/2023 9:30,E0523B1037,3 Feet,NA,Normal Sample,0,36.8,<0.05,N/A,"7.8,7.81**",6.85,1.34,112,0.166,2.8,2.6,0.19,0.61,0.067,"11.8,11.9**",72,7,<2.5,0.233,0.061,N/A,0.53,2.01,0.55,2.1,500,110,113,N/A,1,94.1,9.19,95.2,9.24,124,16.51,61,16.81,8,5.1,40.7,"Sunny, ripples to small waves/no white caps, no rain",8.2,7.35,7.49
D26 - San Joaquin River @ Potato Point,B9D80461340,6/9/2023 7:45,E0623B1256,3 Feet,NA,Normal Sample,0,31.5,<0.05,N/A,"6.6,6.7**",5.95,0.97,96.9,0.104,2.6,2.5,0.16,0.77,0.082,"10.7,10.8**",62,7.5,<2.5,0.23,0.076,N/A,0.34,1.54,0.35,1.62,500,101,101,N/A,1,91.8,8.35,92.8,8.44,108,19.94,56.3,19.94,6.7,6.4,40.4,"sunny, ripples to small waves, no white caps, no rain",22.2,7.32,7.46
D26 - San Joaquin River @ Potato Point,B9D80461340,7/11/2023 11:35,E0723B1569,3 Feet,NA,Normal Sample,0,42.8,<0.05,N/A,"8.99,9.12**",8.23,1.57,128,0.133,3.4,2.5,0.17,0.58,0.051,"13.7,14**",82,3.6,<2.5,0.212,0.057,N/A,0.41,1.8,0.4,1.72,500,132,133,MC not readily visible on surface but was observed in surface water sample,2,91.4,7.91,85.2,7.34,120,22.53,76.5,22.76,4.4,3.2,39.7,"sunny, ripples to small waves, no white caps, no rain",4.4,7.49,7.45
D26 - San Joaquin River @ Potato Point,B9D80461340,8/9/2023 11:15,E0823B1867,3 Feet,NA,Normal Sample,0,46.1,<0.05,N/A,9.12,8.79,1.36,132,0.098,2,2.1,0.11,0.63,0.041,14,84,3.3,<2.5,0.148,0.05,N/A,0.34,1.58,0.34,1.57,500,133,138,N/A,2,93.3,7.92,93.1,7.89,140,23.54,68.7,23.6,4.4,3.5,38.7,"Sunny, ripples to small waves, no whitecaps, no rain",4.6,7.45,7.71
D26 - San Joaquin River @ Potato Point,B9D80461340,9/6/2023 9:55,E0923B2200,3 Feet,NA,Normal Sample,0,58.3,"<0.05,<0.05**",N/A,10.4,14.2,1.38,175,"0.126,0.126**","2.7,2.7**","2.5,2.6**",0.1,0.89,"0.058,0.058**",15.4,104,6,<2.5,"0.119,0.14**","0.061,0.062**",N/A,0.21,0.89,0.18,0.76,500,167,176,N/A,3,90.1,7.85,90.7,7.89,148,22.14,64.4,22.26,4.7,4,39,"Sunny, moderate waves with few white caps, no rain",15.2,7.08,7.24
D26 - San Joaquin River @ Potato Point,B9D80461340,10/4/2023 9:10,E1023B2532,3 Feet,NA,Normal Sample,0,56.1,"<0.05,<0.05**",N/A,"9.66,10.1**",16.8,1.74,181,"0.127,0.127**",2.3,2.4,0.14,0.52,0.052,"14.3,14.5**","107,110**",5.7,<2.5,0.147,"<0.05,<0.05**",N/A,0.43,1.88,0.38,1.66,500,193,201,N/A,1,94,8.58,93.9,8.56,130,19.77,66.4,19.85,5.1,3.8,40.7,"sunny, no waves, flat, no rain",0.5,7.72,7.8
D26 - San Joaquin River @ Potato Point,B9D80461340,11/6/2023 12:55,E1123B2837,3 Feet,NA,Normal Sample,0,51.5,<0.05,N/A,10.6,14.9,1.99,169,0.221,2.8,2.7,0.11,0.55,0.053,14.6,104,4,<2.5,0.165,0.063,N/A,0.62,2.52,0.57,2.32,500,167,168,N/A,1,93.8,9.18,93.1,9.1,188,16.39,63.5,16.47,3.7,2.9,39,"partly cloudy, no waves, flat, no rain",7.8,7.42,7.71
D28A - Old River @ Rancho Del Rio,B9D75821344,4/12/2023 10:40,E0423B0768,3 Feet,NA,Normal Sample,0,43.1,<0.05,N/A,11.2,"16.6,16.6**",0.86,181,0.22,3.9,3.8,0.24,0.97,0.084,10.1,109,"4.8,5.2**","<2.5,<2.5**",0.284,0.067,N/A,0.39,1.58,0.42,1.71,500,177,180,N/A,1,91.1,9.01,91.9,9.07,86,15.9,54,15.95,8.1,6.9,21.3,"sunny; ripples to small waves, no white caps; no rain",8.9,7.3,7.37
D28A - Old River @ Rancho Del Rio,B9D75821344,5/11/2023 10:55,E0523B1004,3 Feet,NA,Normal Sample,0,34.1,<0.05,N/A,7.79,9.36,0.82,122,0.195,3.8,3.4,0.23,0.7,0.083,10.7,79,5.1,<2.5,0.244,0.074,N/A,0.43,1.63,0.43,1.62,500,119,125,N/A,1,90.8,8.8,91.7,8.85,144,16.84,61.2,17.03,6,5.1,19.7,"Sunny, ripples to small waves/no white caps, no rain",13.5,7.26,7.34
D28A - Old River @ Rancho Del Rio,B9D75821344,6/8/2023 9:05,E0623B1240,3 Feet,NA,Normal Sample,0,29.7,0.052,N/A,6.59,8.45,1,109,0.11,3.1,3.2,0.19,0.92,0.094,9.04,68,5.3,<2.5,0.288,0.084,N/A,0.35,1.59,0.36,1.67,500,112,113,N/A,1,81.4,7.27,85.3,7.6,120,20.88,62.1,21,6.8,6.6,21,"Sunny, No waves, flat, No rain",6.2,7.09,7.36
D28A - Old River @ Rancho Del Rio,B9D75821344,7/10/2023 12:40,E0723B1553,3 Feet,NA,Normal Sample,0,38.5,<0.05,N/A,8.09,10.6,2.07,131,0.063,3.1,2.9,0.16,0.91,0.08,10.9,85,4.3,<2.5,0.241,0.086,N/A,0.57,2.49,0.61,2.64,500,133,134,N/A,1,85.4,7.32,90.6,7.72,144,23.01,73,23.33,3.4,7.3,17.7,"sunny, ripples to small waves, no white caps, no rain",11.4,7.31,7.66
D28A - Old River @ Rancho Del Rio,B9D75821344,8/8/2023 12:30,E0823B1766,3 Feet,NA,Normal Sample,0,46.2,<0.05,N/A,9.08,"18.4,18.4**",1.63,169,<0.05,3.6,2.8,0.21,<0.5,0.066,13,101,<2.5,<2.5,0.235,0.07,N/A,0.38,1.73,0.4,1.83,500,175,175,500,2,94.6,7.71,95.9,7.81,220,25.74,75.9,25.78,1.6,1.2,18.4,"Sunny, No waves, flat, No rain",8.5,7.68,7.76
D28A - Old River @ Rancho Del Rio,B9D75821344,9/5/2023 12:05,E0923B2135,3 Feet,NA,Normal Sample,0,55,<0.05,N/A,"10.9,11.3**",35,1.97,245,<0.05,3.1,3,0.1,0.59,0.094,"15.3,15.7**",140,<2.5,<2.5,0.156,0.067,N/A,0.46,1.89,0.5,2.05,500,255,249,N/A,3,92.6,7.89,91.9,7.8,212,23.33,74.1,23.53,1.6,1.6,18.4,"Sunny, Ripples to small waves, no white caps, No rain",4.7,7.64,7.64
D28A - Old River @ Rancho Del Rio,B9D75821344,10/3/2023 10:30,E1023B2499,3 Feet,NA,Normal Sample,0,62.2,<0.05,N/A,"10.6,10.7**",29.9,3.14,250,<0.05,"2.6,2.7**","2.8,3**",0.15,<0.5,0.047,"15,15.1**",148,<2.5,<2.5,0.225,0.062,N/A,0.42,1.82,0.41,1.8,500,269,269,N/A,2,95.3,8.63,95.8,8.67,262,20.15,69.3,20.16,0.4,0.4,19,"sunny, no waves, flat, no rain",3.2,7.89,7.95
D28A - Old River @ Rancho Del Rio,B9D75821344,11/3/2023 12:05,E1123B2724,3 Feet,NA,Normal Sample,0,56.1,<0.05,N/A,12,24.8,4.9,222,0.091,3.2,3.2,0.13,0.77,0.056,14.7,130,2.6,<2.5,0.236,0.061,N/A,0.81,3.27,0.7,2.84,500,220,220,N/A,3,88.3,8.62,88.5,8.63,212,16.48,67.5,16.55,1.5,1.2,19,"Sunny, ripples to small waves/no white caps, no rain",7.5,7.44,7.51
D4 - Sacramento River above Point Sacramento,B9D80381492,4/14/2023 10:25,E0423B0828,3 Feet,NA,Normal Sample,0,62.6,<0.05,N/A,13.8,11.4,3.43,193,0.253,3,3.1,0.16,0.97,0.06,14.5,118,11.3,<2.5,0.215,<0.05,N/A,0.66,2.68,0.55,2.21,500,191,190,N/A,1,96.5,9.83,99.4,10.23,65,14.49,53.1,14.05,11.3,10.7,38.7,"sunny; ripples to small waves, no white caps; no rain",12,7.7,7.76
D4 - Sacramento River above Point Sacramento,B9D80381492,5/15/2023 12:15,E0523B1064,3 Feet,NA,Normal Sample,0,47.5,<0.05,N/A,9.37,6.4,2.86,133,0.175,"2.4,2.5**","2.3,2.5**",0.11,0.7,0.055,14.6,87,14.1,<2.5,0.208,<0.05,N/A,1.14,4.44,0.98,3.83,500,131,132,N/A,1,98.8,9.47,100.1,9.6,44,17.36,61.7,17.36,10.3,9.5,38.1,"sunny; ripples to small waves, no white caps; no rain",20.4,7.8,8.04
D4 - Sacramento River above Point Sacramento,B9D80381492,6/12/2023 11:00,E0623B1280,3 Feet,NA,Normal Sample,0,38.5,<0.05,N/A,7.62,6.31,2.06,113,0.116,2.4,2.3,0.18,0.81,"0.062,0.063**",12.2,69,"9.5,9.8**","<2.5,<2.5**","0.247,0.251**",0.059,N/A,0.53,2.39,0.51,2.31,500,117,117,N/A,1,96.8,9.09,99.4,9.33,62,18.38,58.5,18.39,7.8,7.6,38.7,"Cloudy, Ripples to small waves, no white caps, No rain",22.8,7.59,7.74
D4 - Sacramento River above Point Sacramento,B9D80381492,7/12/2023 12:05,E0723B1593,3 Feet,NA,Normal Sample,0,44.9,<0.05,N/A,14.5,219,4.01,904,0.106,"2.6,2.6**","2.5,2.5**",0.22,2.16,0.08,12.6,"478,480**","23.3,25.3**","3.3,4**",0.283,0.065,N/A,0.91,3.95,0.78,3.4,500,932,908,N/A,1,94.2,8.42,92.6,8.25,44,20.74,67.8,20.88,21.2,14.8,38.1,"Sunny, large waves, frequent white caps, no rain",22.6,7.63,7.58
D4 - Sacramento River above Point Sacramento,B9D80381492,8/10/2023 12:40,E0823B1907,3 Feet,NA,Normal Sample,0,51.4,<0.05,N/A,26,811,2.78,2930,0.086,2.2,2.2,0.11,1.68,0.073,11.7,"1560,1570**",26.5,4,0.198,0.058,N/A,0.5,2.24,0.44,1.98,500,2950,2950,N/A,1,94,8.09,94.4,8.11,48,22.37,70.9,22.47,25.6,16.9,31.2,"Sunny, ripples to small waves, no whitecaps, no rain",13.3,7.62,7.61
D4 - Sacramento River above Point Sacramento,B9D80381492,9/7/2023 11:25,E0923B2234,3 Feet,NA,Normal Sample,0,58.8,<0.05,N/A,25.7,778,1.5,2730,0.114,"2.3,2.3**","2.4,2.4**",0.2,0.89,0.082,13.9,1440,18.6,2.7,0.243,0.069,N/A,0.32,1.3,0.3,1.26,500,2854,2800,N/A,2,92.4,8.06,93.2,8.11,60,21.71,62.6,21.77,15.7,12.1,34.1,"Sunny, moderate waves with few white caps, no rain",18.9,7.64,7.6
D4 - Sacramento River above Point Sacramento,B9D80381492,10/5/2023 9:45,E1023B2559,3 Feet,NA,Normal Sample,0,63.5,<0.05,N/A,26.3,697,1.25,2620,0.166,2,2,0.15,1.04,"0.077,0.08**",14.6,1380,26.9,3.3,"0.197,0.23**",0.069,N/A,0.41,1.78,0.39,1.7,500,2690,2641,N/A,1,90.7,8.2,90.7,8.19,42,19.87,72.7,19.93,22.9,18,32.2,"Sunny, ripples to small waves, no whitecaps, no rain",7.6,7.54,7.59
D4 - Sacramento River above Point Sacramento,B9D80381492,11/7/2023 12:20,E1123B2877,3 Feet,NA,Normal Sample,0,63.8,0.071,N/A,49.9,2100,1.05,6830,0.203,2.1,2.4,<0.1,0.51,0.08,13,"3820,3830**",19.1,2.7,0.208,0.077,N/A,0.48,1.94,0.46,1.88,500,7177,6807,MC seen in sample,2,90.4,8.6,91.9,8.72,64,16.61,58.1,16.77,21.8,10.8,33.5,"Sunny, ripples to small waves no whitecaps, no rain",10.8,7.54,7.56
MD10A - Disappointment Slough @ Bishop Cut,B9S80251252,4/13/2023 10:40,E0423B0802,3 Feet,NA,Normal Sample,0,54.2,<0.05,N/A,12.9,16.5,1.44,195,0.176,4.4,4.5,0.27,0.73,0.109,7.94,"112,113**",3,<2.5,0.332,0.093,N/A,0.49,1.98,0.49,2,500,192,193,N/A,1,94.4,9.26,95.8,9.42,106,16.25,55.2,16.15,4.9,5,13.5,"Sunny, ripples to small waves with no white caps, no rain",12.2,7.37,7.43
MD10A - Disappointment Slough @ Bishop Cut,B9S80251252,5/12/2023 11:15,E0523B1038,3 Feet,NA,Normal Sample,0,45.2,<0.05,N/A,9.61,12.6,1.01,152,0.116,3.6,3.9,0.26,0.52,0.115,8.67,91,2.7,<2.5,0.291,0.109,N/A,0.59,2.24,0.58,2.23,500,151,151,N/A,1,95.7,8.97,98.8,9.15,188,18.46,69.1,19.07,4.2,3.6,18.4,"Sunny, no waves/flat, no rain",10.5,7.52,7.6
MD10A - Disappointment Slough @ Bishop Cut,B9S80251252,6/9/2023 9:15,E0623B1257,3 Feet,NA,Normal Sample,0,40.9,<0.05,N/A,8.75,11,1.33,135,0.063,3.6,3.6,0.21,0.81,0.148,9.27,"78,80**",3.4,<2.5,0.29,0.139,N/A,0.47,2.13,0.53,2.4,500,139,139,"small green, spherical/round algae present in the zooplankton samples",1,82.5,7.29,88.4,7.82,152,21.43,60.1,21.37,3.8,3.8,19,"partly cloudy, no waves, flat, no rain",7.6,7.27,7.45
MD10A - Disappointment Slough @ Bishop Cut,B9S80251252,7/11/2023 12:55,E0723B1570,3 Feet,NA,Normal Sample,0,47.1,<0.05,N/A,11.2,16,2.86,164,<0.05,4.3,3.7,0.27,0.76,"0.111,0.117**",11,102,3,<2.5,"0.33,0.37**",0.111,N/A,0.7,3.06,0.83,3.62,500,169,169,N/A,1,76.5,6.33,81.5,6.64,136,24.9,82.4,25.73,1.7,1.3,17.1,"sunny, ripples to small waves, no white caps, no rain",6.4,7.21,7.22
MD10A - Disappointment Slough @ Bishop Cut,B9S80251252,8/9/2023 12:50,E0823B1868,3 Feet,NA,Normal Sample,0,45.4,<0.05,N/A,9.61,10.4,2.56,137,<0.05,"3.5,3.5**","3.3,3.4**",0.15,0.9,"0.074,0.078**",11.9,86,2.7,<2.5,"0.212,0.226**",0.08,N/A,0.62,2.81,0.66,2.94,500,143,144,N/A,1,77.4,6.27,81.1,6.56,155,26.07,74.7,26.18,1.4,1.4,12.5,"Sunny, no waves, flat, no rain",3.5,7.19,7.5
MD10A - Disappointment Slough @ Bishop Cut,B9S80251252,9/6/2023 11:20,E0923B2201,3 Feet,NA,Normal Sample,0,53.8,<0.05,N/A,10.2,9.86,5.81,151,<0.05,3.6,3.7,0.16,1.84,0.081,13.7,94,"3.3,3.5**","<2.5,<2.5**",0.246,0.068,N/A,0.59,2.41,0.7,2.84,500,154,154,N/A,2,79.7,6.77,83.9,7.09,204,23.52,70.9,23.78,2.7,2.3,17.4,"Sunny, ripples to small waves with no white caps, no rain",9.4,7.05,7.16
MD10A - Disappointment Slough @ Bishop Cut,B9S80251252,10/4/2023 10:55,E1023B2533,3 Feet,NA,Normal Sample,0,54.9,<0.05,N/A,10.4,9.6,5.15,151,<0.05,3.1,3.1,0.15,0.74,"0.06,0.068**",13.5,92,2.7,<2.5,"0.225,0.234**",0.059,N/A,0.76,3.3,0.74,3.22,500,167,168,N/A,2,84.6,7.55,87.3,7.73,242,20.91,73.8,21.33,0.9,0.7,17.1,"sunny, no waves, flat, no rain",1.3,7.46,7.48
MD10A - Disappointment Slough @ Bishop Cut,B9S80251252,11/6/2023 14:20,E1123B2838,3 Feet,NA,Normal Sample,0,53.3,<0.05,N/A,12.1,24.3,2.08,220,0.208,3.4,3.4,0.16,0.57,0.07,11.2,126,<2.5,<2.5,0.245,0.052,N/A,0.87,3.5,0.82,3.3,500,220,218,N/A,1,86.9,8.39,88.8,8.56,280,17,64.8,17.09,0.9,1,17.7,"partly cloudy, no waves, flat, no rain",11.6,7.27,7.47
NZ068 in Sacramento River,B9D80861414,4/14/2023 12:15,E0423B0830,3 Feet,NA,Normal Sample,0,70.6,<0.05,N/A,13.9,6.37,4.14,184,0.214,2.6,2.5,<0.1,1.14,0.046,16.3,112,15.6,2.6,0.158,<0.05,N/A,0.69,2.77,0.76,3.07,500,179,176,N/A,1,98.3,10.08,99,10.01,52,14.2,57.2,14.84,13.6,10.6,20,"sunny; ripples to small waves, no white caps; no rain",5.4,7.94,7.9
NZ068 in Sacramento River,B9D80861414,5/15/2023 14:00,E0523B1066,3 Feet,NA,Normal Sample,0,49.3,<0.05,N/A,9.89,3.58,3.24,123,0.169,2.3,2,0.12,0.6,0.031,15.7,"80,82**",6.8,<2.5,0.21,<0.05,N/A,0.88,3.41,0.73,2.8,500,117,123,N/A,1,101.1,9.7,102.5,9.78,66,17.3,71.2,17.61,5.7,5.4,18,"sunny; ripples to small waves, no white caps; no rain",14.8,7.95,8.11
NZ068 in Sacramento River,B9D80861414,6/12/2023 12:35,E0623B1282,3 Feet,NA,Normal Sample,0,44.3,<0.05,N/A,8.55,3.53,1.39,111,0.124,1.7,1.7,0.17,<0.5,0.036,14,70,4.2,<2.5,0.208,<0.05,N/A,0.28,1.31,0.23,1.09,500,112,115,N/A,1,98.7,9.44,99.9,9.47,93,17.46,64.6,17.91,4.5,4.3,17.7,"Cloudy, Ripples to small waves, no white caps, No rain",10.5,7.63,7.64
NZ068 in Sacramento River,B9D80861414,7/12/2023 13:40,E0723B1595,3 Feet,NA,Normal Sample,0,48.8,<0.05,N/A,9.48,7.35,1.96,137,0.115,2.4,2.2,0.13,0.65,0.046,14.2,84,6.2,<2.5,0.192,0.05,N/A,0.42,1.82,0.44,1.9,500,141,142,N/A,1,94.9,8.28,95.1,8.27,92,22.12,80.8,22.27,5.3,4.2,18.7,"Sunny, Ripples to small waves, no white caps, No rain",9.1,7.72,7.71
NZ068 in Sacramento River,B9D80861414,8/10/2023 14:20,E0823B1909,3 Feet,NA,Normal Sample,0,48.8,<0.05,N/A,"9.12,9.22**",4.3,2.28,121,0.114,2.3,2.1,0.12,<0.5,0.043,"14,14.1**",80,"3.3,3.4**","<2.5,<2.5**",0.141,<0.05,N/A,0.44,1.75,0.4,1.6,500,123,121,N/A,1,97,8.35,98,8.35,144,22.78,79.9,23.36,3.7,2.7,22,"Sunny, ripples to small waves, no whitecaps, no rain",12.1,7.66,7.69
NZ068 in Sacramento River,B9D80861414,9/7/2023 14:00,E0923B2236,3 Feet,NA,Normal Sample,0,61.5,<0.05,N/A,11.5,7.19,1.37,158,0.15,2.4,2.3,0.15,<0.5,0.036,17.1,"98,99**",3.3,<2.5,0.217,0.054,N/A,0.37,1.52,0.32,1.32,500,184,162,No horizontal sonde measurements recorded,1,95,8.48,96.2,8.53,156,20.95,78.1,21.28,3.1,2.8,19.4,"Sunny, ripples to small waves with no white caps, no rain",11.2,7.62,7.71
NZ068 in Sacramento River,B9D80861414,10/5/2023 11:55,E1023B2561,3 Feet,NA,Normal Sample,0,52.7,<0.05,N/A,9.68,15.4,1.37,169,0.169,2.3,2.2,<0.1,<0.5,0.034,14.6,103,<2.5,<2.5,0.122,<0.05,N/A,0.3,1.28,0.29,1.27,500,146,183,N/A,1,94.6,8.82,96.3,8.86,192,18.75,77.9,19.35,2.1,1.4,22.3,"Sunny, no waves, flat, no rain",5.1,7.63,7.76
NZ068 in Sacramento River,B9D80861414,11/7/2023 14:55,E1123B2879,3 Feet,NA,Normal Sample,0,55.7,<0.05,N/A,10.7,10.8,1.64,160,0.213,"2.2,2.3**","2.3,2.4**",0.13,<0.5,"0.054,0.055**",15.6,101,3,<2.5,"0.131,0.153**",0.063,N/A,0.45,1.82,0.43,1.74,500,159,160,N/A,1,97.9,9.74,93.9,9.34,204,15.6,59.2,15.65,2.3,7.2,17.7,"Sunny, ripples to small waves no whitecaps, no rain",16.6,7.63,7.94
P8 - San Joaquin River @ Buckley Cove,B9D75871229,4/13/2023 12:10,E0423B0803,3 Feet,NA,Normal Sample,0,40.8,<0.05,N/A,9.51,12,3.25,152,0.138,3.7,3.6,0.19,0.94,0.091,9.74,94,"11.1,11.3**","<2.5,<2.5**",0.285,0.066,N/A,0.6,2.42,0.72,2.91,500,152,149,N/A,1,93,9.31,95.7,9.56,56,15.27,57.9,15.42,13.3,10.2,36.4,"Sunny, moderate waves with few white caps, no rain",16,7.35,7.48
P8 - San Joaquin River @ Buckley Cove,B9D75871229,5/12/2023 13:00,E0523B1039,3 Feet,NA,Normal Sample,0,32.6,<0.05,N/A,7.1,10.6,3.31,119,0.112,3.2,3.2,0.22,1.48,0.102,9.82,74,"18.5,19.3**","3,3**",0.333,0.078,N/A,1.08,4.23,0.98,3.81,500,111,115,N/A,1,94.4,9.11,96.5,9.22,76,17.03,74.1,17.54,21.5,10.3,36.7,"Sunny, no waves/flat, no rain",8.5,7.34,7.55
P8 - San Joaquin River @ Buckley Cove,B9D75871229,6/9/2023 10:50,E0623B1258,3 Feet,NA,Normal Sample,0,26.2,<0.05,N/A,5.71,5.21,4.96,83.2,0.117,3,2.7,0.27,1.7,0.105,9.2,53,8.8,<2.5,0.376,0.082,N/A,0.76,3.41,0.83,3.68,500,88,88,N/A,1,86.8,7.96,91.3,8.28,74,19.56,63.3,20.08,14.9,7.5,38.4,"partly cloudy, no waves, flat, no rain",16.3,7.16,7.3
P8 - San Joaquin River @ Buckley Cove,B9D75871229,7/11/2023 14:35,E0723B1571,3 Feet,NA,Normal Sample,0,35.1,<0.05,N/A,9.33,15.4,10.1,151,0.364,3.4,2.9,0.17,2.83,0.115,10.1,93,10.5,<2.5,0.384,0.092,N/A,0.81,3.53,1.41,6.13,500,157,155,N/A,1,75.5,6.48,88.7,7.36,72,22.92,85.8,24.7,11.5,6.9,36.1,"sunny, ripples to small waves, no white caps, no rain",8.1,7.13,7.38
P8 - San Joaquin River @ Buckley Cove,B9D75871229,8/9/2023 14:30,E0823B1869,3 Feet,NA,Normal Sample,0,53.6,0.116,N/A,"13.4,13.5**",41.1,7.26,313,0.409,3.7,3.6,0.21,0.95,0.147,"11.1,11.1**",180,"5.7,5.8**","<2.5,<2.5**",0.475,0.133,N/A,0.56,2.53,1.53,6.76,500,319,321,N/A,1,77.5,6.38,91,7.35,96,25.13,78.8,26.19,7.4,3.4,37.4,"Sunny, ripples to small waves, no whitecaps, no rain",1.5,7.19,7.38
P8 - San Joaquin River @ Buckley Cove,B9D75871229,9/6/2023 13:10,E0923B2202,3 Feet,NA,Normal Sample,0,48.7,0.152,N/A,12.6,36.1,2.35,268,0.723,3.5,3.3,0.19,1.74,0.121,11.9,"152,153**",15.2,2.9,0.465,0.094,N/A,0.55,2.25,0.54,2.18,500,259,270,N/A,2,67.1,5.83,72.1,6.16,84,22.23,77.2,23.16,21.6,9.2,37.7,"Sunny, ripples to small waves with no white caps, no rain",8.6,7.14,7.34
P8 - San Joaquin River @ Buckley Cove,B9D75871229,10/4/2023 12:30,E1023B2534,3 Feet,NA,Normal Sample,0,61.9,<0.05,N/A,17.4,75.7,3.49,472,1.26,3.5,3.6,0.27,0.68,0.126,11.8,264,7.7,<2.5,0.354,0.119,N/A,0.43,1.85,0.72,3.12,500,494,491,N/A,1,73.2,6.42,79.6,6.85,84,21.77,78.1,22.8,12.6,5.3,37.4,"sunny, ripples to small waves, no white caps, no rain",5.1,7.25,7.33
