"","StationCode","DateTime","Study","Secchi","WTSurface","DOSurface","SpCndSurface","pHSurface","Microcystis","TurbiditySurface_FNU"
"241","D22",2021-08-17 13:20:00,"EMP",44,21.81,8.31,5507,7.98,2,12
"242","NZ068",2021-08-17 14:45:00,"EMP",76,22.85,8.26,901,8.05,2,3.8
"243","SHR",2021-08-17 07:55:00,"AEU",170,23.4,8.97,148,7.8,1,3.8
"244","STTD",2021-08-17 10:47:00,"AEU",77,22.8,7.72,229,8.29,1,10.4
"245","D6",2021-08-18 12:15:00,"EMP",40,20.51,7.69,31282,7.72,2,12.3
"246","D8",2021-08-18 13:10:00,"EMP",68,21.28,8.39,19289,7.87,2,6
"247","D10",2021-08-18 13:50:00,"EMP",60,21.13,8.37,15766,7.84,2,7.2
"248","D7",2021-08-19 12:40:00,"EMP",20,20.48,8.08,23576,7.97,2,27.5
"249","NZS42",2021-08-19 13:40:00,"EMP",30,21.18,7.42,20617,7.83,1,21.4
"250","NZ032",2021-08-19 14:30:00,"EMP",36,20.75,7.96,20924,7.94,1,11.4
"251","D41A",2021-08-20 11:00:00,"EMP",36,20.01,7.26,41184,7.93,1,26
"252","D41",2021-08-20 11:40:00,"EMP",40,19.3,7,45798,7.92,1,29
"253","NZ325",2021-08-20 12:20:00,"EMP",68,20.25,7.31,38738,7.94,1,6.4
"254","NZ002",2021-08-20 12:40:00,"EMP",40,20.08,7.19,37478,7.91,1,19.5
"255","NZ004",2021-08-20 12:50:00,"EMP",48,20.08,7.52,31887,7.94,1,8.6
"256","LIS",2021-08-30 09:45:00,"AEU",29,23,7.33,340,7.7,2,22.2
"257","SHR",2021-08-31 08:06:00,"AEU",210,22.8,8.14,190,7.59,1,3.4
"258","STTD",2021-08-31 11:06:00,"AEU",56,23.1,7.74,234,8.18,1,13.2
"259","C3A",2021-09-09 06:15:00,"EMP",NA,23.78,7.68,210,7.82,1,0.7
"260","C9",2021-09-09 08:00:00,"EMP",NA,24.62,5.94,544,7.57,2,4.6
"261","C10A",2021-09-09 11:30:00,"EMP",NA,24.8,9.05,266,7.9,1,0.9
"262","D26",2021-09-10 07:25:00,"EMP",100,22.93,7.61,621,7.73,2,6.6
"263","MD10A",2021-09-10 09:05:00,"EMP",204,24.48,6.33,359,7.35,1,1.4
"264","P8",2021-09-10 11:05:00,"EMP",NA,25.01,6.55,495,7.13,2,12.7
"265","D12",2021-09-13 08:50:00,"EMP",96,21.82,8.15,5341,7.86,2,5.4
"266","D16",2021-09-13 10:25:00,"EMP",104,22.97,7.78,953,7.88,2,5.5
"267","D19",2021-09-13 11:45:00,"EMP",128,23.39,7.59,688,7.95,2,4
"268","D28A",2021-09-13 12:35:00,"EMP",136,24.1,6.81,512,7.62,2,3.3
"269","LIS",2021-09-13 09:46:00,"AEU",49,23.5,3.01,416,7.33,1,14.2
"270","D4",2021-09-14 10:40:00,"EMP",92,21.56,8.09,10515,7.82,2,9.2
"271","D22",2021-09-14 11:50:00,"EMP",80,23.21,8.3,3387,7.97,2,6.8
"272","NZ068",2021-09-14 13:10:00,"EMP",152,23.47,8.05,793,8,2,4
"273","STTD",2021-09-14 11:34:00,"AEU",55,23.8,7.11,257,8.11,2,15.4
"274","SHR",2021-09-14 07:51:00,"AEU",210,23.3,7.87,188,7.71,1,3.5
"275","D6",2021-09-15 10:55:00,"EMP",92,20.46,7.74,30405,7.91,1,6.7
"276","D8",2021-09-15 11:50:00,"EMP",120,20.88,8.29,21240,7.88,1,4.6
"277","D10",2021-09-15 12:55:00,"EMP",44,20.58,8.28,16972,7.89,2,16.3
"278","D7",2021-09-16 10:45:00,"EMP",60,19.93,8.06,22539,7.88,1,14.1
"279","NZS42",2021-09-16 11:45:00,"EMP",36,21,7.36,14059,7.68,2,26.9
"280","NZ032",2021-09-16 12:50:00,"EMP",48,21.09,8.03,14533,7.84,1,11.5
"281","D41A",2021-09-17 09:40:00,"EMP",60,19.1,7.5,41353,7.93,1,9.5
"282","D41",2021-09-17 11:20:00,"EMP",110,18.95,7.35,45717,7.93,1,2.9
"283","NZ325",2021-09-17 12:05:00,"EMP",80,19.78,7.56,38754,7.93,1,6.1
"284","NZ002",2021-09-17 12:20:00,"EMP",84,19.83,7.42,38414,7.91,1,6
"285","NZ004",2021-09-17 12:40:00,"EMP",80,19.95,7.54,34883,7.91,1,5
"286","LIS",2021-09-27 09:44:00,"AEU",24,20.1,7.84,274,7.95,2,31
"287","STTD",2021-09-28 11:25:00,"AEU",75,19.1,8.08,143,8.36,1,13.8
