unknown_taxon
Unidentified Cyanobacteria sp.
cf. Gymnodinium
Staurosira cf.  venter
Unidentified dinoflagellate sp.
cf. Melosira sp.
Nitzschia cf. recta
Scenedesmus cf. acuminatus
cf. Cocconeis placentula
cf. Staurosirella sp.
cf. Gomphonema sp.
