"Longitude","Latitude","WT_C","SPC_uS.cm","PH_pH.Units","FNU_FNU","FLUOR_ug.L","FLUORRFU_RFU","DO_mg.L","DOSAT_..SAT","DateTime"
-121.81876667,38.06343333,22.43,1493,7.82,10.9,2.57,0.63,8.33,96.5,"2023-09-08 14:26:00"
-121.81795833,38.06326167,22.49,1481,7.82,10.9,2.44,0.6,8.34,96.7,"2023-09-08 14:27:00"
-121.81715833,38.06299,22.65,1516,7.83,10.5,2.86,0.7,8.36,97.2,"2023-09-08 14:28:00"
-121.816405,38.06280167,22.73,1579,7.83,9.8,2.69,0.66,8.36,97.4,"2023-09-08 14:29:00"
-121.81553667,38.06275,22.7,1629,7.83,9.4,2.65,0.65,8.35,97.3,"2023-09-08 14:30:00"
-121.81485667,38.06237833,22.53,1595,7.82,10.6,2.73,0.67,8.33,96.6,"2023-09-08 14:31:00"
-121.81402833,38.06226167,22.48,1614,7.81,10.3,2.54,0.62,8.33,96.6,"2023-09-08 14:32:00"
-121.813105,38.06224833,22.26,1568,7.8,10.7,2.41,0.59,8.3,95.8,"2023-09-08 14:33:00"
-121.81241333,38.061905,22.24,1503,7.81,10.5,2.62,0.64,8.31,95.9,"2023-09-08 14:34:00"
-121.81174667,38.061605,22.3,1480,7.81,10.5,2.51,0.62,8.32,96.1,"2023-09-08 14:35:00"
-121.81115833,38.061485,22.31,1450,7.81,10.5,2.45,0.6,8.33,96.2,"2023-09-08 14:36:00"
-121.810995,38.06098167,22.29,1408,7.81,10.7,2.38,0.58,8.33,96.1,"2023-09-08 14:37:00"
-121.81088833,38.06053667,22.3,1411,7.81,10.1,2.56,0.63,8.33,96.2,"2023-09-08 14:38:00"
-121.81080667,38.06047333,22.31,1405,7.81,10.3,2.6,0.64,8.33,96.2,"2023-09-08 14:39:00"
-121.81064667,38.06044833,22.32,1396,7.81,10.4,2.51,0.62,8.33,96.3,"2023-09-08 14:40:00"
-121.8105,38.06041,22.31,1382,7.81,10.5,2.58,0.63,8.33,96.2,"2023-09-08 14:41:00"
-121.81034333,38.06042167,22.29,1372,7.81,10.3,2.49,0.61,8.33,96.2,"2023-09-08 14:42:00"
-121.81025667,38.06052833,22.29,1359,7.81,10.3,2.59,0.64,8.33,96.2,"2023-09-08 14:43:00"
-121.81101,38.06083167,22.13,788,7.86,10.5,2.7,0.66,8.46,97.3,"2023-09-08 14:48:00"
-121.81418667,38.06130167,22.25,1347,7.79,10.7,2.62,0.64,8.35,96.3,"2023-09-08 14:49:00"
