"site","visit_date","visit_time","lname","sonde","sonde_loc","analyte_name","unit_name","rating","dirty_p","dirty_v","clean_p","clean_v","f_error","f_error_pct","post_lname","post_date","post_time","std1","rdg1","std2","rdg2","c_error1","c_error_pct1","c_error2","c_error_pct2","c_error_avg","c_error_pct_avg","total_error","total_error_pct","sonde_verif"
"HON","2023-04-19","09:02","TRAN","RTM-114","main","pH","pH Units","Excellent","7.91","7.9","7.91","7.88",0.02,"0.253","SIGURDSON",NA,"9:45","7.02","7.03","10.04","10.04",-0.01,"-0.142",0,"0","0.005","-0.071",0.025,"0.324","RTM-70"
"HON","2023-04-19","09:02","TRAN","RTM-114","main","Turbidity","FNU","Poor","42.62","38.12","58.45","45.35",8.6,"20.178","SIGURDSON",NA,"9:45","0","0","124","124.17",0,"0",-0.17,"-0.274","0.085","-0.137",8.685,"20.315","RTM-70"
"HON","2023-05-18","10:00","TRAN","RTM-68","main","Water Temperature","C","Excellent","17.88","18.03","17.99","18.1",0.04,"0.224","SIGURDSON",NA,"13:35","21","21.16",NA,NA,-0.16,"-0.762",NA,NA,NA,NA,0.2,"0.986","RTM-70"
"HON","2023-05-18","10:00","TRAN","RTM-68","main","SpC","uS/cm","Excellent","135","134","136","135",0,"0","SIGURDSON",NA,"13:35","1413","1416",NA,NA,-3,"-0.212",NA,NA,NA,NA,3,"0.212","RTM-70"
"HON","2023-05-18","10:00","TRAN","RTM-68","main","Dissolved Oxygen","mg/L","Excellent","9.73","9.56","9.7","9.54",-0.01,"-0.103","SIGURDSON",NA,"13:35","9.15","9.17",NA,NA,-0.02,"-0.219",NA,NA,NA,NA,0.03,"0.322","RTM-70"
"HON","2023-05-18","10:00","TRAN","RTM-68","main","pH","pH Units","Excellent","7.79","7.88","7.85","7.85",0.09,"1.155","SIGURDSON",NA,"13:35","7.02","7.09","10.05","10.05",-0.07,"-0.997",0,"0","0.035","-0.4985",0.125,"1.6535","RTM-70"
"HON","2023-05-18","10:00","TRAN","RTM-68","main","Turbidity","FNU","Good","54.93","47.17","65.43","60.34",-2.67,"-4.861","SIGURDSON",NA,"13:35","0","0.06","124","123.81",-0.06,"-1",0.19,"0.306","0.125","-0.347",2.795,"5.208","RTM-70"
"HON","2023-07-17","12:23","TRAN","RTM-101","main","Water Temperature","C","Excellent","23.54","23.57","23.88","23.97",-0.06,"-0.255","SIGURDSON",NA,"10:27","21.85","21.82",NA,NA,0.03,"0.137",NA,NA,NA,NA,0.09,"0.392","RTM-89"
"HON","2023-07-17","12:23","TRAN","RTM-101","main","SpC","uS/cm","Excellent","4852","4820","4865","4832",1,"0.021","SIGURDSON",NA,"10:27","1413","1422",NA,NA,-9,"-0.637",NA,NA,NA,NA,10,"0.658","RTM-89"
"HON","2023-07-17","12:23","TRAN","RTM-101","main","Dissolved Oxygen","mg/L","Excellent","8.6","8.5","8.57","8.47",0,"0","SIGURDSON",NA,"10:27","9.06","9.24",NA,NA,-0.18,"-1.987",NA,NA,NA,NA,0.18,"1.987","RTM-89"
"HON","2023-07-17","12:23","TRAN","RTM-101","main","pH","pH Units","Excellent","7.77","7.71","7.75","7.7",-0.01,"-0.129","SIGURDSON",NA,"10:27","7.02","6.98","10.04","10.04",0.04,"0.57",0,"0","0.02","0.285",0.03,"0.414","RTM-89"
"HON","2023-07-17","12:23","TRAN","RTM-101","main","Turbidity","FNU","Fair","22.79","25.65","40.72","40.79",2.79,"12.242","SIGURDSON",NA,"10:27","0","0.03","124","124.4",-0.03,"-1",-0.4,"-0.645","0.215","-0.8225",3.005,"13.0645","RTM-89"
"HON","2023-07-25","10:32","SIGURDSON","RTM-87","main","Water Temperature","C","Excellent","23.68","23.71","24.42","24.45",0,"0","SIGURDSON",NA,"10:30","21.32","21.35",NA,NA,-0.03,"-0.141",NA,NA,NA,NA,0.03,"0.141","RTM-89"
"HON","2023-07-25","10:32","SIGURDSON","RTM-87","main","SpC","uS/cm","Excellent","3868","3844","3872","3851",-3,"-0.078","SIGURDSON",NA,"10:30","10000","10018",NA,NA,-18,"-0.18",NA,NA,NA,NA,21,"0.258","RTM-89"
"HON","2023-07-25","10:32","SIGURDSON","RTM-87","main","Dissolved Oxygen","mg/L","Excellent","8.55","8.54","8.48","8.43",0.04,"0.468","SIGURDSON",NA,"10:30","9.25","9.23",NA,NA,0.02,"0.216",NA,NA,NA,NA,0.06,"0.684","RTM-89"
"HON","2023-07-25","10:32","SIGURDSON","RTM-87","main","pH","pH Units","Excellent","7.85","7.92","7.81","7.87",0.01,"0.127","SIGURDSON",NA,"10:30","7.02","6.94","10.05","9.95",0.08,"1.14",0.1,"1.99","0.09","1.565",0.1,"1.692","RTM-89"
"HON","2023-07-25","10:32","SIGURDSON","RTM-87","main","Turbidity","FNU","Excellent","11.84","14.75","21.99","24.94",-0.04,"-0.338","SIGURDSON",NA,"10:30","0","-0.98","124","122.54",0.98,"-1",1.46,"2.355","1.22","0.6775",1.26,"1.0155","RTM-89"
"HON","2023-08-30","08:35","NELSON","RTM-91","main","Water Temperature","C","Excellent","22.44","22.5","22.58","22.57",0.07,"0.312","SIGURDSON",NA,"14:47","20.86","20.89",NA,NA,-0.03,"-0.144",NA,NA,NA,NA,0.1,"0.456","RTM-89"
"HON","2023-08-30","08:35","NELSON","RTM-91","main","SpC","uS/cm","Excellent","7544","7562","7547","7563",2,"0.027","SIGURDSON",NA,"14:47","25000","24962",NA,NA,38,"0.152",NA,NA,NA,NA,40,"0.179","RTM-89"
"HON","2023-08-30","08:35","NELSON","RTM-91","main","Dissolved Oxygen","mg/L","Excellent","8.15","7.98","8.21","7.97",0.07,"0.859","SIGURDSON",NA,"14:47","9.18","9.55",NA,NA,-0.37,"-4.031",NA,NA,NA,NA,0.44,"4.89","RTM-89"
"HON","2023-08-30","08:35","NELSON","RTM-91","main","pH","pH Units","Excellent","7.68","7.68","7.71","7.7",0.01,"0.13","SIGURDSON",NA,"14:47","7.02","7.02","10.04","10.01",0,"0",0.03,"0.598","0.015","0.299",0.025,"0.429","RTM-89"
"HON","2023-08-30","08:35","NELSON","RTM-91","main","Turbidity","FNU","Fair","13.47","14.61","11.56","11.22",1.48,"10.987","SIGURDSON",NA,"14:47","0","0.1","124","122.94",-0.1,"-1",1.06,"1.71","0.58","0.355",2.06,"11.342","RTM-89"
"HON","2023-09-27","10:30","TRAN","RTM-71","main","Water Temperature","C","Excellent","19.68","19.69","19.72","19.73",0,"0","SIGURDSON",NA,"Parameter","20.55","20.55",NA,NA,0,"0",NA,NA,NA,NA,0,"0","RTM-89"
"HON","2023-09-27","10:30","TRAN","RTM-71","main","SpC","uS/cm","Excellent","2199","2202","2203","2203",3,"0.136","SIGURDSON",NA,"Parameter","25000","24975",NA,NA,25,"0.1",NA,NA,NA,NA,28,"0.236","RTM-89"
