"site","visit_date","visit_time","lname","sonde","sonde_loc","analyte_name","unit_name","rating","dirty_p","dirty_v","clean_p","clean_v","f_error","f_error_pct","post_lname","post_date","post_time","std1","rdg1","std2","rdg2","c_error1","c_error_pct1","c_error2","c_error_pct2","c_error_avg","c_error_pct_avg","total_error","total_error_pct","sonde_verif"
"HON","2023-10-26","11:05","TRAN","RTM-69","main","Turbidity","FNU","Excellent","37.05","34.84","43.32","40.12",0.99,"2.672","NEUMAYR",NA,"11:45","0","0.38","124","123.92",-0.38,"-1",0.08,"0.129","0.23","-0.4355",1.22,"3.1075","RTM-89"
"HON","2023-12-05","11:35","TRAN","RTM-99","main","Water Temperature","C","Excellent","13.57","13.56","13.64","13.69",-0.06,"-0.442","SIGURDSON",NA,"13:40","20.54","20.68",NA,NA,-0.14,"-0.682",NA,NA,NA,NA,0.2,"1.124","RTM-89"
"HON","2023-12-05","11:35","TRAN","RTM-99","main","SpC","uS/cm","Excellent","11508","11529","11513","11522",12,"0.104","SIGURDSON",NA,"13:40","25000","24932",NA,NA,68,"0.272",NA,NA,NA,NA,80,"0.376","RTM-89"
"HON","2023-12-05","11:35","TRAN","RTM-99","main","Dissolved Oxygen","mg/L","Excellent","9.67","9.7","9.67","9.68",0.02,"0.207","SIGURDSON",NA,"13:40","9.29","9.27",NA,NA,0.02,"0.215",NA,NA,NA,NA,0.04,"0.422","RTM-89"
"HON","2023-12-05","11:35","TRAN","RTM-99","main","pH","pH Units","Excellent","7.71","7.6","7.71","7.61",-0.01,"-0.13","SIGURDSON",NA,"13:40","7.02","6.99","10.05","10.07",0.03,"0.427",-0.02,"-0.398","0.025","0.0145",0.035,"0.1445","RTM-89"
"HON","2023-12-05","11:35","TRAN","RTM-99","main","Turbidity","FNU","Excellent","19.66","15.44","21.69","17.58",-0.11,"-0.56","SIGURDSON",NA,"13:40","0","-0.07","124","124.03",0.07,"-1",-0.03,"-0.048","0.05","-0.524",0.16,"1.084","RTM-89"
"HON","2024-01-18","11:22","NELSON","RTM-107","main","Water Temperature","C","Excellent","10.45","10.46","10.55","10.45",0.11,"96.746","NELSON",NA,"15:15","20.34","20.42",NA,NA,-0.08,"-0.393",NA,NA,NA,NA,0.19,"97.139","RTM-89"
"HON","2024-01-18","11:22","NELSON","RTM-107","main","SpC","uS/cm","Excellent","2812","2797","2810","2796",-1,"-0.036","NELSON",NA,"15:15","10000","9937.7",NA,NA,62.3,"0.623",NA,NA,NA,NA,63.3,"0.659","RTM-89"
"HON","2024-01-18","11:22","NELSON","RTM-107","main","Dissolved Oxygen","mg/L","Excellent","10.29","10.42","10.31","10.36",0.08,"0.777","NELSON",NA,"15:15","9.13","9.01",NA,NA,0.12,"1.314",NA,NA,NA,NA,0.2,"2.091","RTM-89"
"HON","2024-01-18","11:22","NELSON","RTM-107","main","pH","pH Units","Excellent","7.84","7.61","7.84","7.63",-0.02,"-0.255","NELSON",NA,"15:15","7.01","7.08","10.05","10.11",-0.07,"-0.999",-0.06,"-1.194","0.065","-1.0965",0.085,"1.3515","RTM-89"
"HON","2024-01-18","11:22","NELSON","RTM-107","main","Turbidity","FNU","Fair","29.35","33.71","38.19","39.3",3.25,"11.073","NELSON",NA,"15:15","0","-0.12","124","121.46",0.12,"-1",2.54,"4.097","1.33","1.5485",4.58,"12.6215","RTM-89"
"MAL","2023-01-26","11:03","NELSON","RTM-66","main","Water Temperature","C","Excellent","9.16","9.23","9.34","9.35",0.06,"0.655","NELSON",NA,"12:00","20.52","20.62",NA,NA,-0.1,"-0.487",NA,NA,NA,NA,0.16,"1.142","RTM-98"
"MAL","2023-01-26","11:03","NELSON","RTM-66","main","SpC","uS/cm","Excellent","234","235","236","239",-2,"-0.855","NELSON",NA,"12:00","24820","24735",NA,NA,85,"0.342",NA,NA,NA,NA,87,"1.197","RTM-98"
"MAL","2023-01-26","11:03","NELSON","RTM-66","main","Dissolved Oxygen","mg/L","Excellent","10.23","10.2","10.32","10.23",0.06,"0.587","NELSON",NA,"12:00","9.35","9.33",NA,NA,0.02,"0.214",NA,NA,NA,NA,0.08,"0.801","RTM-98"
"MAL","2023-01-26","11:03","NELSON","RTM-66","main","pH","pH Units","Excellent","7.47","7.38","7.48","7.4",-0.01,"-0.134","NELSON",NA,"12:00","7.01","7.01","10.05","10.15",0,"0",-0.1,"-1.99","0.05","-0.995",0.06,"1.129","RTM-98"
"MAL","2023-01-26","11:03","NELSON","RTM-66","main","Turbidity","FNU","Good","51.93","56.55","54.71","57.11",2.22,"4.275","NELSON",NA,"12:00","0","0.23","124","122.36",-0.23,"-1",1.64,"2.645","0.935","0.8225",3.155,"5.0975","RTM-98"
"MAL","2023-03-02","10:10","NELSON","RTM-80","main","Water Temperature","C","Excellent","8.84","8.88","8.77","8.83",-0.02,"-0.226","SIGURDSON",NA,"09:49","20.97","20.96",NA,NA,0.01,"0.048",NA,NA,NA,NA,0.03,"0.274","RTM-70"
"MAL","2023-03-02","10:10","NELSON","RTM-80","main","SpC","uS/cm","Excellent","411","412","420","420",1,"0.243","SIGURDSON",NA,"09:49","1413","1413",NA,NA,0,"0",NA,NA,NA,NA,1,"0.243","RTM-70"
"MAL","2023-03-02","10:10","NELSON","RTM-80","main","Dissolved Oxygen","mg/L","Excellent","11.11","11.14","11.17","11.13",0.07,"0.63","SIGURDSON",NA,"09:49","9.36","9.34",NA,NA,0.02,"0.214",NA,NA,NA,NA,0.09,"0.844","RTM-70"
"MAL","2023-03-02","10:10","NELSON","RTM-80","main","pH","pH Units","Excellent","7.83","7.84","7.85","7.86",0,"0","SIGURDSON",NA,"09:49","7.02","7.05","10.05","10.07",-0.03,"-0.427",-0.02,"-0.398","0.025","-0.4125",0.025,"0.4125","RTM-70"
"MAL","2023-03-02","10:10","NELSON","RTM-80","main","Turbidity","FNU","Good","18.99","18.78","23.95","21.97",1.77,"9.321","SIGURDSON",NA,"09:49","0","-0.12","124","123.5",0.12,"-1",0.5,"0.806","0.31","-0.097",2.08,"9.418","RTM-70"
"MAL","2023-04-27","10:10","NELSON","RTM-99","main","Water Temperature","C","Excellent","17.31","17.34","17.37","17.38",0.02,"0.116","SIGURDSON",NA,"10:06","21.33","21.34",NA,NA,-0.01,"-0.047",NA,NA,NA,NA,0.03,"0.163","RTM-98"
"MAL","2023-04-27","10:10","NELSON","RTM-99","main","SpC","uS/cm","Excellent","157","158","159","160",0,"0","SIGURDSON",NA,"10:06","6668","6658",NA,NA,10,"0.15",NA,NA,NA,NA,10,"0.15","RTM-98"
"MAL","2023-04-27","10:10","NELSON","RTM-99","main","Dissolved Oxygen","mg/L","Excellent","9.55","9.63","9.55","9.63",0,"0","SIGURDSON",NA,"10:06","9.17","8.99",NA,NA,0.18,"1.963",NA,NA,NA,NA,0.18,"1.963","RTM-98"
"MAL","2023-04-27","10:10","NELSON","RTM-99","main","pH","pH Units","Excellent","7.75","7.33","7.67","7.26",-0.01,"-0.129","SIGURDSON",NA,"10:06","7.02","7.1","10.04","10.05",-0.08,"-1.14",-0.01,"-0.199","0.045","-0.6695",0.055,"0.7985","RTM-98"
"MAL","2023-04-27","10:10","NELSON","RTM-99","main","Turbidity","FNU","MAL","7.1","9.07","12.31","11.38",2.9,"40.845","SIGURDSON",NA,"10:06","0","0.02","124","120.25",-0.02,"-1",3.75,"6.048","1.885","2.524",4.785,"43.369","RTM-98"
"MAL","2023-05-24","10:15","NELSON","RTM-59","main","Water Temperature","C","Excellent","18.7","18.72","18.53","18.57",-0.02,"-0.107","SIGURDSON",NA,"08:23","21.59","21.51",NA,NA,0.08,"0.371",NA,NA,NA,NA,0.1,"0.478","RTM-70"
"MAL","2023-05-24","10:15","NELSON","RTM-59","main","SpC","uS/cm","Excellent","114","114","114","114",0,"0","SIGURDSON",NA,"08:23","1413","1413",NA,NA,0,"0",NA,NA,NA,NA,0,"0","RTM-70"
"MAL","2023-05-24","10:15","NELSON","RTM-59","main","Dissolved Oxygen","mg/L","Excellent","9.1","8.97","9.11","8.93",0.05,"0.549","SIGURDSON",NA,"08:23","9","9.22",NA,NA,-0.22,"-2.444",NA,NA,NA,NA,0.27,"2.993","RTM-70"
"MAL","2023-05-24","10:15","NELSON","RTM-59","main","pH","pH Units","Excellent","7.65","7.55","7.7","7.6",0,"0","SIGURDSON",NA,"08:23","7.02","7.12","10.05","10.12",-0.1,"-1.425",-0.07,"-1.393","0.085","-1.409",0.085,"1.409","RTM-70"
"MAL","2023-05-24","10:15","NELSON","RTM-59","main","Turbidity","FNU","MAL","8.32","9.87","11.36","8.93",3.98,"47.837","SIGURDSON",NA,"08:23","0","0.19","124","124.3",-0.19,"-1",-0.3,"-0.484","0.245","-0.742",4.225,"48.579","RTM-70"
"MAL","2023-06-15","08:10","ALDRICH","RTM-93","main","Water Temperature","C","Good","18.84","18.84","18.58","18.76",-0.18,"-0.955","ALDRICH",NA,"10:50","21.53","21.59",NA,NA,-0.06,"-0.279",NA,NA,NA,NA,0.24,"1.234","RTM-89"
"MAL","2023-06-15","08:10","ALDRICH","RTM-93","main","SpC","uS/cm","Excellent","132","131","132","131",0,"0","ALDRICH",NA,"10:50","24820","25077",NA,NA,-257,"-1.035",NA,NA,NA,NA,257,"1.035","RTM-89"
"MAL","2023-06-15","08:10","ALDRICH","RTM-93","main","Dissolved Oxygen","mg/L","Excellent","9.04","8.85","9.12","8.8",0.13,"1.438","ALDRICH",NA,"10:50","9.11","9.38",NA,NA,-0.27,"-2.964",NA,NA,NA,NA,0.4,"4.402","RTM-89"
"MAL","2023-06-15","08:10","ALDRICH","RTM-93","main","pH","pH Units","Excellent","7.67","7.63","7.63","7.65",-0.06,"-0.782","ALDRICH",NA,"10:50","7.02","7.09","10.04","10.07",-0.07,"-0.997",-0.03,"-0.598","0.05","-0.7975",0.11,"1.5795","RTM-89"
"MAL","2023-06-15","08:10","ALDRICH","RTM-93","main","Turbidity","FNU","Good","10.33","10.17","12.64","11.74",0.74,"7.164","ALDRICH",NA,"10:50","0","-0.08","124","123.43",0.08,"-1",0.57,"0.919","0.325","-0.0405",1.065,"7.2045","RTM-89"
"MAL","2023-07-05","12:40","TRAN","RTM-90","main","Water Temperature","C","Excellent","20.36","20.45","20.25","20.33",0.01,"0.049","SIGURDSON",NA,"13:50","21.16","21.16",NA,NA,0,"0",NA,NA,NA,NA,0.01,"0.049","RTM-70"
"MAL","2023-07-05","12:40","TRAN","RTM-90","main","SpC","uS/cm","Excellent","729","735","730","736",0,"0","SIGURDSON",NA,"13:50","24820","24858",NA,NA,-38,"-0.153",NA,NA,NA,NA,38,"0.153","RTM-70"
"MAL","2023-07-05","12:40","TRAN","RTM-90","main","Dissolved Oxygen","mg/L","Excellent","8.49","8.5","8.5","8.52",-0.01,"-0.118","SIGURDSON",NA,"13:50","9.16","9.14",NA,NA,0.02,"0.218",NA,NA,NA,NA,0.03,"0.336","RTM-70"
"MAL","2023-07-05","12:40","TRAN","RTM-90","main","pH","pH Units","Good","8.13","7.66","8.12","7.67",-0.02,"-0.246","SIGURDSON",NA,"13:50","7.02","7.37","10.04","10.33",-0.35,"-4.986",-0.29,"-5.777","0.32","-5.3815",0.34,"5.6275","RTM-70"
"MAL","2023-07-05","12:40","TRAN","RTM-90","main","Turbidity","FNU","Fair","14.14","15.94","16.38","19.45",-1.27,"-8.982","SIGURDSON",NA,"13:50","0","-0.07","124","120.16",0.07,"-1",3.84,"6.194","1.955","2.597",3.225,"11.579","RTM-70"
"MAL","2023-07-27","09:43","TRAN","RTM-67","main","Water Temperature","C","Excellent","22.46","22.55","22.2","22.29",0,"0","NELSON",NA,"10:12","21.46","21.48",NA,NA,-0.02,"-0.093",NA,NA,NA,NA,0.02,"0.093","RTM-89"
"MAL","2023-07-27","09:43","TRAN","RTM-67","main","SpC","uS/cm","Excellent","3194","3176","3201","3181",2,"0.063","NELSON",NA,"10:12","1413","1411",NA,NA,2,"0.142",NA,NA,NA,NA,4,"0.205","RTM-89"
"MAL","2023-07-27","09:43","TRAN","RTM-67","main","Dissolved Oxygen","mg/L","Excellent","7.88","8.2","8.2","8.18",0.34,"4.315","NELSON",NA,"10:12","9.09","9.04",NA,NA,0.05,"0.55",NA,NA,NA,NA,0.39,"4.865","RTM-89"
"MAL","2023-07-27","09:43","TRAN","RTM-67","main","pH","pH Units","Excellent","7.71","7.83","7.82","7.83",0.11,"1.427","NELSON",NA,"10:12","7.01","7.09","10.05","10.07",-0.08,"-1.141",-0.02,"-0.398","0.05","-0.7695",0.16,"2.1965","RTM-89"
"MAL","2023-07-27","09:43","TRAN","RTM-67","main","Turbidity","FNU","Fair","9.28","12.56","13.24","15.55",0.97,"10.453","NELSON",NA,"10:12","0","0.32","124","122.8",-0.32,"-1",1.2,"1.935","0.76","0.4675",1.73,"10.9205","RTM-89"
"MAL","2023-08-24","11:20","NELSON","RTM-114","main","Water Temperature","C","Excellent","23.26","23.28","23.21","23.27",-0.04,"-0.172","SIGURDSON",NA,"14:40","21.13","21.01",NA,NA,0.12,"0.568",NA,NA,NA,NA,0.16,"0.74","RTM-98"
"MAL","2023-08-24","11:20","NELSON","RTM-114","main","SpC","uS/cm","Excellent","6642","6699","6649","6702",4,"0.06","SIGURDSON",NA,"14:40","10000","10036",NA,NA,-36,"-0.36",NA,NA,NA,NA,40,"0.42","RTM-98"
"MAL","2023-08-24","11:20","NELSON","RTM-114","main","Dissolved Oxygen","mg/L","Excellent","8.28","8.23","8.26","8.2",0.01,"0.121","SIGURDSON",NA,"14:40","9.24","9.36",NA,NA,-0.12,"-1.299",NA,NA,NA,NA,0.13,"1.42","RTM-98"
"MAL","2023-08-24","11:20","NELSON","RTM-114","main","pH","pH Units","Excellent","7.8","7.76","7.8","7.78",-0.02,"-0.256","SIGURDSON",NA,"14:40","7.02","7.03","10.04","10.07",-0.01,"-0.142",-0.03,"-0.598","0.02","-0.37",0.04,"0.626","RTM-98"
"MAL","2023-08-24","11:20","NELSON","RTM-114","main","Turbidity","FNU","Poor","9.69","8.64","13.76","10.51",2.2,"22.704","SIGURDSON",NA,"14:40","0","0.01","124","123.2",-0.01,"-1",0.8,"1.29","0.405","0.145",2.605,"22.849","RTM-98"
"MAL","2023-09-12","10:25","NELSON","RTM-75","main","Water Temperature","C","Excellent","21.24","21.3","21.05","21.18",-0.07,"-0.33","SIGURDSON",NA,"15:20","20.66","20.63",NA,NA,0.03,"0.145",NA,NA,NA,NA,0.1,"0.475","RTM-98"
"MAL","2023-09-12","10:25","NELSON","RTM-75","main","SpC","uS/cm","Excellent","1630","1625","1632","1627",0,"0","SIGURDSON",NA,"15:20","25000","25019",NA,NA,-19,"-0.076",NA,NA,NA,NA,19,"0.076","RTM-98"
"MAL","2023-09-12","10:25","NELSON","RTM-75","main","Dissolved Oxygen","mg/L","Excellent","8.33","8.26","8.31","8.24",0,"0","SIGURDSON",NA,"15:20","9.22","9.24",NA,NA,-0.02,"-0.217",NA,NA,NA,NA,0.02,"0.217","RTM-98"
"MAL","2023-09-12","10:25","NELSON","RTM-75","main","pH","pH Units","Excellent","7.76","7.8","7.77","7.81",0,"0","SIGURDSON",NA,"15:20","7.02","7.04","10.05","10.11",-0.02,"-0.285",-0.06,"-1.194","0.04","-0.7395",0.04,"0.7395","RTM-98"
"MAL","2023-09-12","10:25","NELSON","RTM-75","main","Turbidity","FNU","Poor","9.74","7.96","9.73","9.44",-1.49,"-15.298","SIGURDSON",NA,"15:20","0","-0.01","124","125.06",0.01,"-1",-1.06,"-1.71","0.535","-1.355",2.025,"16.653","RTM-98"
"MAL","2023-10-24","10:20","NELSON","RTM-59","main","Water Temperature","C","Excellent","18.46","18.56","18.26","18.38",-0.02,"-0.108","SIGURDSON",NA,"14:00","21.08","21.03",NA,NA,0.05,"0.237",NA,NA,NA,NA,0.07,"0.345","RTM-89"
"MAL","2023-10-24","10:20","NELSON","RTM-59","main","SpC","uS/cm","Excellent","4781","4744","4783","4744",2,"0.042","SIGURDSON",NA,"14:00","25000","25015",NA,NA,-15,"-0.06",NA,NA,NA,NA,17,"0.102","RTM-89"
"MAL","2023-10-24","10:20","NELSON","RTM-59","main","Dissolved Oxygen","mg/L","Excellent","8.71","8.67","8.75","8.66",0.05,"0.574","SIGURDSON",NA,"14:00","9.24","9.29",NA,NA,-0.05,"-0.541",NA,NA,NA,NA,0.1,"1.115","RTM-89"
"MAL","2023-10-24","10:20","NELSON","RTM-59","main","pH","pH Units","Excellent","7.88","7.86","7.92","7.87",0.03,"0.381","SIGURDSON",NA,"14:00","7.02","7.07","10.05","10.04",-0.05,"-0.712",0.01,"0.199","0.03","-0.2565",0.06,"0.6375","RTM-89"
"MAL","2023-10-24","10:20","NELSON","RTM-59","main","Turbidity","FNU","MAL","14.14","17.03","16.32","13.59",5.62,"39.745","SIGURDSON",NA,"14:00","0","-0.02","124","123.4",0.02,"-1",0.6,"0.968","0.31","-0.016",5.93,"39.761","RTM-89"
"MAL","2023-12-07","11:30","NELSON","RTM-73","main","Water Temperature","C","Excellent","12.82","12.83","12.83","12.86",-0.02,"-0.156","NELSON",NA,"16:05","21.31","21.37",NA,NA,-0.06,"-0.282",NA,NA,NA,NA,0.08,"0.438","RTM-89"
"MAL","2023-12-07","11:30","NELSON","RTM-73","main","SpC","uS/cm","Excellent","16013","16076","16010","16072",1,"0.006","NELSON",NA,"16:05","25000","24883",NA,NA,117,"0.468",NA,NA,NA,NA,118,"0.474","RTM-89"
"MAL","2023-12-07","11:30","NELSON","RTM-73","main","Dissolved Oxygen","mg/L","Good","9","9.71","9.42","9.42",0.71,"7.889","NELSON",NA,"16:05","9.16","9.31",NA,NA,-0.15,"-1.638",NA,NA,NA,NA,0.86,"9.527","RTM-89"
"MAL","2023-12-07","11:30","NELSON","RTM-73","main","pH","pH Units","Excellent","7.76","7.67","7.77","7.68",0,"0","NELSON",NA,"16:05","7.01","7.05","10.05","10.12",-0.04,"-0.571",-0.07,"-1.393","0.055","-0.982",0.055,"0.982","RTM-89"
"MAL","2023-12-07","11:30","NELSON","RTM-73","main","Turbidity","FNU","Good","10.62","7.89","11.49","9.65",-0.89,"-8.38","NELSON",NA,"16:05","0","0.14","124","122.28",-0.14,"-1",1.72,"2.774","0.93","0.887",1.82,"9.267","RTM-89"
"MAL","2024-01-31","11:25","NELSON","RTM-75","main","Water Temperature","C","Excellent","12.11","12.15","12.16","12.18",0.02,"0.165","NELSON","2024-01-31","15:35","20.92","21.04",NA,NA,-0.12,"-0.574",NA,NA,NA,NA,0.14,"0.739","RTM-89"
"MAL","2024-01-31","11:25","NELSON","RTM-75","main","SpC","uS/cm","Excellent","305","307","306","307",1,"0.328","NELSON","2024-01-31","15:35","25000","25035",NA,NA,-35,"-0.14",NA,NA,NA,NA,36,"0.468","RTM-89"
"MAL","2024-01-31","11:25","NELSON","RTM-75","main","Dissolved Oxygen","mg/L","Excellent","9.23","9.29","9.37","9.26",0.17,"1.842","NELSON","2024-01-31","15:35","9.2","9.22",NA,NA,-0.02,"-0.217",NA,NA,NA,NA,0.19,"2.059","RTM-89"
"MAL","2024-01-31","11:25","NELSON","RTM-75","main","pH","pH Units","Excellent","7.64","7.25","7.61","7.27",-0.05,"-0.654","NELSON","2024-01-31","15:35","7.01","7.05","10.06","10.06",-0.04,"-0.571",0,"0","0.02","-0.2855",0.07,"0.9395","RTM-89"
"MAL","2024-01-31","11:25","NELSON","RTM-75","main","Turbidity","FNU","MAL","22.74","21.1","31.08","22.39",7.05,"31.003","NELSON","2024-01-31","15:35","0","0.11","124","122.54",-0.11,"-1",1.46,"2.355","0.785","0.6775",7.835,"31.6805","RTM-89"
"MRZ","2023-01-03","11:15","NELSON","RTM-87","main","Water Temperature","C","Excellent","9.61","9.57","9.54","9.53",-0.03,"-0.312","NELSON",NA,"15:54","20.72","20.72",NA,NA,0,"0",NA,NA,NA,NA,0.03,"0.312","RTM-70"
"MRZ","2023-01-03","11:15","NELSON","RTM-87","main","SpC","uS/cm","Excellent","13188","13449","13196","13451",6,"0.045","NELSON",NA,"15:54","24820","24596",NA,NA,224,"0.902",NA,NA,NA,NA,230,"0.947","RTM-70"
"MRZ","2023-01-03","11:15","NELSON","RTM-87","main","Dissolved Oxygen","mg/L","Excellent","10.15","10.16","10.16","10.16",0.01,"0.099","NELSON",NA,"15:54","9.31","9.34",NA,NA,-0.03,"-0.322",NA,NA,NA,NA,0.04,"0.421","RTM-70"
"MRZ","2023-01-03","11:15","NELSON","RTM-87","main","pH","pH Units","Excellent","7.88","7.84","7.9","7.86",0,"0","NELSON",NA,"15:54","7.02","7.13","10.05","10.07",-0.11,"-1.567",-0.02,"-0.398","0.065","-0.9825",0.065,"0.9825","RTM-70"
"MRZ","2023-01-03","11:15","NELSON","RTM-87","main","Turbidity","FNU","Excellent","18.14","19.85","20.26","22.71",-0.74,"-4.079","NELSON",NA,"15:54","0","0.23","124","122.74",-0.23,"-1",1.26,"2.032","0.745","0.516",1.485,"4.595","RTM-70"
"MRZ","2023-02-09","11:28","NELSON","RTM-56","main","Water Temperature","C","Excellent","10.19","10.21","10.31","10.24",0.09,"0.883","SIGURDSON",NA,"15:09","21.04","21.1",NA,NA,-0.06,"-0.285",NA,NA,NA,NA,0.15,"1.168","RTM-70"
"MRZ","2023-02-09","11:28","NELSON","RTM-56","main","SpC","uS/cm","Excellent","5181","5140","5182","5142",-1,"-0.019","SIGURDSON",NA,"15:09","6668","6634",NA,NA,34,"0.51",NA,NA,NA,NA,35,"0.529","RTM-70"
"MRZ","2023-02-09","11:28","NELSON","RTM-56","main","Dissolved Oxygen","mg/L","Excellent","10.13","10.17","10.21","10.19",0.06,"0.592","SIGURDSON",NA,"15:09","9.41","9.45",NA,NA,-0.04,"-0.425",NA,NA,NA,NA,0.1,"1.017","RTM-70"
"MRZ","2023-02-09","11:28","NELSON","RTM-56","main","pH","pH Units","Excellent","7.69","7.56","7.72","7.59",0,"0","SIGURDSON",NA,"15:09","7.02","7.01","10.05","10.18",0.01,"0.142",-0.13,"-2.587","0.07","-1.2225",0.07,"1.2225","RTM-70"
"MRZ","2023-02-09","11:28","NELSON","RTM-56","main","Turbidity","FNU","Poor","31.99","29.09","32.99","35.72",-5.63,"-17.599","SIGURDSON",NA,"15:09","0","-1.05","124","122.25",1.05,"-1",1.75,"2.823","1.4","0.9115",7.03,"18.5105","RTM-70"
"MRZ","2023-03-16","08:45","NELSON","RTM-84","main","Water Temperature","C","Excellent","11.17","11.21","11.05","11.1",-0.01,"-0.09","NELSON",NA,"11:50","20.94","20.87",NA,NA,0.07,"0.334",NA,NA,NA,NA,0.08,"0.424","RTM-70"
"MRZ","2023-03-16","08:45","NELSON","RTM-84","main","SpC","uS/cm","Excellent","357","361","362","367",-1,"-0.28","NELSON",NA,"11:50","24820","24890",NA,NA,-70,"-0.282",NA,NA,NA,NA,71,"0.562","RTM-70"
"MRZ","2023-03-16","08:45","NELSON","RTM-84","main","Dissolved Oxygen","mg/L","Excellent","10.59","10.45","10.6","10.43",0.03,"0.283","NELSON",NA,"11:50","9.37","9.41",NA,NA,-0.04,"-0.427",NA,NA,NA,NA,0.07,"0.71","RTM-70"
"MRZ","2023-03-16","08:45","NELSON","RTM-84","main","pH","pH Units","Excellent","7.6","7.53","7.59","7.53",-0.01,"-0.132","NELSON",NA,"11:50","7.02","7.03","10.05","10.06",-0.01,"-0.142",-0.01,"-0.199","0.01","-0.1705",0.02,"0.3025","RTM-70"
"MRZ","2023-03-16","08:45","NELSON","RTM-84","main","Turbidity","FNU","Excellent","30.81","33.14","31.61","33.98",-0.04,"-0.13","NELSON",NA,"11:50","0","0.18","124","121.77",-0.18,"-1",2.23,"3.597","1.205","1.2985",1.245,"1.4285","RTM-70"
"MRZ","2023-04-13","09:50","NELSON","RTM-80","main","Water Temperature","C","Good","13.92","13.92","13.62","13.77",-0.15,"-1.078","NELSON",NA,"10:35","21.31","21.38",NA,NA,-0.07,"-0.328",NA,NA,NA,NA,0.22,"1.406","RTM-70"
"MRZ","2023-04-13","09:50","NELSON","RTM-80","main","SpC","uS/cm","Excellent","1337","1355","1342","1356",4,"0.299","NELSON",NA,"10:35","24820","24848.3",NA,NA,-28.3,"-0.114",NA,NA,NA,NA,32.3,"0.413","RTM-70"
"MRZ","2023-04-13","09:50","NELSON","RTM-80","main","Dissolved Oxygen","mg/L","Excellent","9.98","9.79","10.11","9.78",0.14,"1.403","NELSON",NA,"10:35","9.27","9.49",NA,NA,-0.22,"-2.373",NA,NA,NA,NA,0.36,"3.776","RTM-70"
"MRZ","2023-04-13","09:50","NELSON","RTM-80","main","pH","pH Units","Excellent","7.89","7.79","7.9","7.81",-0.01,"-0.127","NELSON",NA,"10:35","7.01","7.06","10.05","10.06",-0.05,"-0.713",-0.01,"-0.199","0.03","-0.456",0.04,"0.583","RTM-70"
"MRZ","2023-04-13","09:50","NELSON","RTM-80","main","Turbidity","FNU","Good","23.5","25.33","27.33","27.51",1.65,"7.021","NELSON",NA,"10:35","0","0.31","124","121.9",-0.31,"-1",2.1,"3.387","1.205","1.1935",2.855,"8.2145","RTM-70"
"MRZ","2023-05-18","10:50","NELSON","RTM-62","main","Water Temperature","C","Excellent","18.52","18.47","18.4","18.42",-0.07,"-0.378","SIGURDSON",NA,"14:02","21.02","21.05",NA,NA,-0.03,"-0.143",NA,NA,NA,NA,0.1,"0.521","RTM-98"
"MRZ","2023-05-18","10:50","NELSON","RTM-62","main","SpC","uS/cm","Excellent","156","155","169","169",-1,"-0.641","SIGURDSON",NA,"14:02","1413","1420",NA,NA,-7,"-0.495",NA,NA,NA,NA,8,"1.136","RTM-98"
"MRZ","2023-05-18","10:50","NELSON","RTM-62","main","Dissolved Oxygen","mg/L","Excellent","9.43","9.45","9.5","9.42",0.1,"1.06","SIGURDSON",NA,"14:02","9.14","9.23",NA,NA,-0.09,"-0.985",NA,NA,NA,NA,0.19,"2.045","RTM-98"
"MRZ","2023-05-18","10:50","NELSON","RTM-62","main","pH","pH Units","Excellent","7.86","7.4","7.85","7.48",-0.09,"-1.145","SIGURDSON",NA,"14:02","7.02","7.03","10.05","10.03",-0.01,"-0.142",0.02,"0.398","0.015","0.128",0.105,"1.273","RTM-98"
"MRZ","2023-05-18","10:50","NELSON","RTM-62","main","Turbidity","FNU","Fair","11.01","12.37","12.48","12.58",1.26,"11.444","SIGURDSON",NA,"14:02","0","0.08","124","125.29",-0.08,"-1",-1.29,"-2.081","0.685","-1.5405",1.945,"12.9845","RTM-98"
"MRZ","2023-06-13","07:40","ALDRICH","RTM-90","main","Water Temperature","C","Excellent","17.63","17.7","17.42","17.46",0.03,"0.17","ALDRICH",NA,"07:15","22.08","22.04",NA,NA,0.04,"0.181",NA,NA,NA,NA,0.07,"0.351","RTM-89"
"MRZ","2023-06-13","07:40","ALDRICH","RTM-90","main","SpC","uS/cm","Excellent","570","564","572","565",1,"0.175","ALDRICH",NA,"07:15","24820","25162",NA,NA,-342,"-1.378",NA,NA,NA,NA,343,"1.553","RTM-89"
"MRZ","2023-06-13","07:40","ALDRICH","RTM-90","main","Dissolved Oxygen","mg/L","Excellent","9.05","8.91","9.04","8.94",-0.04,"-0.442","ALDRICH",NA,"07:15","8.97","8.95",NA,NA,0.02,"0.223",NA,NA,NA,NA,0.06,"0.665","RTM-89"
"MRZ","2023-06-13","07:40","ALDRICH","RTM-90","main","pH","pH Units","Excellent","7.71","7.73","7.73","7.74",0.01,"0.13","ALDRICH",NA,"07:15","7.01","7.09","10.04","10.1",-0.08,"-1.141",-0.06,"-1.195","0.07","-1.168",0.08,"1.298","RTM-89"
