region,date,n,n.cen,median,mean,sd,analyte
San Pablo Bay,Jun 2019,6,0,20143,18400.833333333332,7930.7275685567865,SpCndSurface
San Pablo Bay,Jun 2020,6,0,30310,31423,6884.370995232606,SpCndSurface
San Pablo Bay,Mar 2019,6,0,8448,8856,5890.476381414324,SpCndSurface
San Pablo Bay,Mar 2020,6,0,31725,32917.5,5233.291268408438,SpCndSurface
San Pablo Bay,May 2019,6,0,17312,17364.166666666668,8476.073015652157,SpCndSurface
San Pablo Bay,Nov 2019,6,0,32322,33183.333333333336,5536.107429111781,SpCndSurface
San Pablo Bay,Nov 2020,6,0,36891,37326.5,5114.660526369271,SpCndSurface
San Pablo Bay,Oct 2019,6,0,29519,28108.666666666668,7786.892670806928,SpCndSurface
San Pablo Bay,Oct 2020,6,0,37318,36658.666666666664,5334.393411313667,SpCndSurface
San Pablo Bay,Sep 2019,6,0,26276,27370.833333333332,8164.850970266798,SpCndSurface
San Pablo Bay,Sep 2020,6,0,35451,35520.5,5739.290435236746,SpCndSurface
Southern Interior Delta,Apr 2019,4,0,191.5,192.17499999999927,9.09885523935236,SpCndSurface
Southern Interior Delta,Aug 2019,4,0,181.8000000000029,227.72500000000218,100.70608637680844,SpCndSurface
Southern Interior Delta,Aug 2020,4,0,353,371.75,146.04422846065046,SpCndSurface
Southern Interior Delta,Dec 2019,4,0,291,442.5499999999993,247.4929830655146,SpCndSurface
Southern Interior Delta,Dec 2020,2,0,NA,712.5,112.42997820866107,SpCndSurface
Southern Interior Delta,Feb 2019,4,0,279,326.9250000000029,63.92951196435324,SpCndSurface
Southern Interior Delta,Feb 2020,4,0,378,489.25,143.37683448405,SpCndSurface
Southern Interior Delta,Jan 2019,4,0,673,686.5,258.97812005392785,SpCndSurface
Southern Interior Delta,Jan 2020,4,0,411.8000000000029,514.4500000000007,173.04530235365092,SpCndSurface
Southern Interior Delta,Jul 2019,4,0,138.60000000000582,254.27500000000146,146.80725175094798,SpCndSurface
Southern Interior Delta,Jul 2020,4,0,261,336.25,120.50276621997799,SpCndSurface
Southern Interior Delta,Jun 2019,4,0,95,125.04999999999927,48.236189733432276,SpCndSurface
Southern Interior Delta,Jun 2020,4,0,300,340.25,116.93124760587594,SpCndSurface
Southern Interior Delta,Mar 2019,4,0,194,207.25,39.618724529361266,SpCndSurface
Southern Interior Delta,Mar 2020,4,0,416,446.25,58.55125959362445,SpCndSurface
Southern Interior Delta,May 2019,4,0,165.89999999999418,167.64999999999782,40.43187686302448,SpCndSurface
Southern Interior Delta,Nov 2019,4,0,269.8000000000029,292.6749999999993,74.66062661581674,SpCndSurface
Southern Interior Delta,Nov 2020,4,0,390,423.25,98.77373132569205,SpCndSurface
Southern Interior Delta,Oct 2019,4,0,146,151.79999999999927,28.62714329675844,SpCndSurface
Southern Interior Delta,Oct 2020,4,0,513,457.75,166.8080233881652,SpCndSurface
Southern Interior Delta,Sep 2019,4,0,196.1999999999971,203.54999999999927,39.3701663699814,SpCndSurface
Southern Interior Delta,Sep 2020,4,0,477,484,192.82634674753345,SpCndSurface
Suisun & Grizzly Bays,Apr 2019,4,0,168,554.75,497.10319183579304,SpCndSurface
Suisun & Grizzly Bays,Aug 2019,4,0,9379,9305.75,1242.9500861525642,SpCndSurface
Suisun & Grizzly Bays,Aug 2020,4,0,15138,16592.75,2505.0875400539067,SpCndSurface
Suisun & Grizzly Bays,Dec 2019,4,0,14403,14712,2795.763700076719,SpCndSurface
Suisun & Grizzly Bays,Feb 2019,4,0,228,588.25,476.50979353349425,SpCndSurface
Suisun & Grizzly Bays,Feb 2020,4,0,4932,7797,3711.310370565451,SpCndSurface
Suisun & Grizzly Bays,Jan 2019,4,0,7911,9889,3880.0751710931236,SpCndSurface
Suisun & Grizzly Bays,Jan 2020,4,0,5579,9447,5040.925642511833,SpCndSurface
Suisun & Grizzly Bays,Jul 2019,4,0,3961,5163.75,2501.2947813749047,SpCndSurface
Suisun & Grizzly Bays,Jul 2020,4,0,12772,14211.75,2955.3204422983754,SpCndSurface
Suisun & Grizzly Bays,Jun 2019,4,0,787,755.5,450.00851843789206,SpCndSurface
Suisun & Grizzly Bays,Jun 2020,4,0,8962,10003.75,1992.7820377552584,SpCndSurface
Suisun & Grizzly Bays,Mar 2019,4,0,189,490,403.00372206717896,SpCndSurface
Suisun & Grizzly Bays,Mar 2020,4,0,6902,10904.5,5014.952076873052,SpCndSurface
Suisun & Grizzly Bays,May 2019,4,0,276,576.25,442.73421296906037,SpCndSurface
Suisun & Grizzly Bays,Nov 2019,4,0,9795,11742.75,3425.8416362503776,SpCndSurface
Suisun & Grizzly Bays,Nov 2020,4,0,13849,16531.25,3607.1386975459277,SpCndSurface
Suisun & Grizzly Bays,Oct 2019,4,0,7593,8394,2583.9330486682506,SpCndSurface
Suisun & Grizzly Bays,Oct 2020,4,0,14744,16930,3197.6140063074113,SpCndSurface
Suisun & Grizzly Bays,Sep 2019,4,0,7172,6666.25,1981.7225461703765,SpCndSurface
Suisun & Grizzly Bays,Sep 2020,4,0,13740,15566,2815.078447693184,SpCndSurface
Central Delta,Apr 2019,4,0,4.699999999999989,4.849999999999994,0.7325753658611915,TurbiditySurface
Central Delta,Aug 2019,4,0,3.4000000000000057,3.924999999999997,1.6700798384109252,TurbiditySurface
Central Delta,Aug 2020,4,0,3.1999999999999886,4.224999999999994,1.477328670269413,TurbiditySurface
Central Delta,Dec 2019,4,0,7.900000000000006,11.575000000000003,6.836848689271986,TurbiditySurface
Central Delta,Dec 2020,3,0,1.9000000000000057,2.4000000000000057,1.7058722109232034,TurbiditySurface
Central Delta,Feb 2019,4,0,21.30000000000001,28.275,16.646996726136518,TurbiditySurface
Central Delta,Feb 2020,4,0,7.800000000000011,10.800000000000004,5.841803374529704,TurbiditySurface
