Date/Time	Green Algae	Bluegreen	Diatoms	Cryptophyta	Planktothrix	#6	#7	#8	#9	Turbidity	unbound Phycocyanin	Yellow substances	Total conc.	Depth	Temp. Sample	Green Algae	Bluegreen	Diatoms	Cryptophyta	Planktothrix	#6	#7	#8	#9	Turbidity	unbound Phycocyanin	Yellow substances	Total cell count	LED 1 [700 nm] det. 1	LED 3 [525 nm] det. 1	LED 4 [570 nm] det. 1	LED 5 [610 nm] det. 1	LED 6 [370 nm] det. 1	LED 7 [590 nm] det. 1	LED 8 [470 nm] det. 1	LED 1 [700 nm] det. 2	LED 3 [525 nm] det. 2	LED 4 [570 nm] det. 2	LED 5 [610 nm] det. 2	LED 6 [370 nm] det. 2	LED 7 [590 nm] det. 2	LED 8 [470 nm] det. 2	Pressure	Temp. LEDs	Temp. Sensor
date	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	µg/l	r.u.	µg/l	FTU	µg/l	r.u.	µg/l	m	°C	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	cells/ml	r.u.	cells/ml	FTU	cells/ml	r.u.	cells/ml	digits	digits	digits	digits	digits	digits	digits	digits	digits	digits	digits	digits	digits	digits	bar	°C	°C
10/13/2022 8:43:56 AM	1.60	0.00	1.18	0.00	0.00	0.00	0.00	0.00	0.00	8.31	1.48	0.51	2.78	0.10	9.76	848	0	532	0	0	0	0	0	0	0	0	0	1380	36.08	6.03	2.15	5.16	26.56	6.53	16.49	5.79	3.57	7.59	5.26	19.88	6.92	7.60	1.01	26.62	21.15
10/13/2022 8:43:59 AM	1.52	0.00	1.26	0.00	0.00	0.00	0.00	0.00	0.00	8.23	1.46	0.51	2.78	0.11	9.79	808	0	565	0	0	0	0	0	0	0	0	0	1373	35.73	6.16	2.19	5.26	26.63	6.38	16.60	5.88	3.81	7.47	5.40	19.81	6.71	7.82	1.01	26.64	21.20
10/13/2022 8:44:02 AM	1.48	0.00	1.24	0.00	0.00	0.00	0.00	0.00	0.00	8.11	1.48	0.51	2.72	0.10	9.79	783	0	558	0	0	0	0	0	0	0	0	0	1341	35.25	6.05	2.16	5.21	26.24	6.52	16.53	5.69	3.79	7.60	5.28	19.94	6.82	7.85	1.01	26.63	21.16
10/13/2022 8:44:04 AM	1.70	0.00	1.13	0.00	0.00	0.00	0.00	0.00	0.00	8.13	1.47	0.51	2.83	0.10	9.78	899	0	508	0	0	0	0	0	0	0	0	0	1407	35.34	6.01	2.15	5.42	26.64	6.14	16.71	5.84	3.66	7.62	5.65	20.02	6.61	7.70	1.01	26.63	21.22
10/13/2022 8:44:07 AM	1.62	0.00	1.17	0.00	0.00	0.00	0.00	0.00	0.00	8.16	1.48	0.51	2.78	0.11	9.80	856	0	525	0	0	0	0	0	0	0	0	0	1382	35.45	5.97	2.19	5.30	26.39	6.46	16.63	5.90	3.72	7.48	5.42	19.96	6.72	7.76	1.01	26.64	21.15
10/13/2022 8:44:10 AM	1.70	0.00	1.05	0.00	0.00	0.00	0.00	0.00	0.00	8.25	1.42	0.51	2.75	0.11	9.81	901	0	474	0	0	0	0	0	0	0	0	0	1375	35.82	5.81	2.00	5.05	26.03	6.03	16.34	5.81	3.65	7.31	5.41	19.64	6.63	7.72	1.01	26.63	21.22
10/13/2022 8:44:13 AM	1.76	0.00	0.96	0.00	0.00	0.00	0.00	0.00	0.00	8.22	1.43	0.51	2.72	0.10	9.81	934	0	430	0	0	0	0	0	0	0	0	0	1364	35.71	5.60	2.07	4.85	25.91	6.08	16.25	5.71	3.66	7.46	5.31	19.89	6.81	7.77	1.01	26.63	21.17
10/13/2022 8:44:15 AM	1.68	0.00	0.98	0.00	0.00	0.00	0.00	0.00	0.00	8.03	1.42	0.51	2.66	0.11	9.80	889	0	441	0	0	0	0	0	0	0	0	0	1330	34.92	5.63	1.95	4.97	25.61	6.03	15.98	5.54	3.58	7.56	5.35	19.71	6.57	7.81	1.01	26.63	21.19
10/13/2022 8:44:18 AM	1.53	0.00	1.03	0.00	0.00	0.00	0.00	0.00	0.00	8.09	1.43	0.50	2.56	0.10	9.84	811	0	465	0	0	0	0	0	0	0	0	0	1276	35.15	5.68	2.10	4.87	25.33	5.83	15.75	5.74	3.60	7.49	5.45	19.63	6.70	7.69	1.01	26.63	21.20
