"","DateTime","Latitude","Longitude","DO","DOSAT","FLUOR","FLUORRFU","FNU","PH","SPC","WT","GreenAlgae","Cyanobacteria","Diatoms","Cryptophytes","Total.Fluorescence"
"2",2022-08-23 10:09:00,38.0621731933333,-122.263854458333,8.24166666666667,106.191666666667,10.015,2.5125,6.74166666666667,8.01083333333333,34346,21.6625,4.79,0.1,14.74,0,19.63
"3",2022-08-23 10:10:00,38.0622296972727,-122.269294690909,8.22727272727273,105.945454545455,10.2518181818182,2.57363636363636,10.2363636363636,8.01181818181818,34702.1818181818,21.5290909090909,4.54,0.23,13.78,0,18.54
"4",2022-08-23 10:11:00,38.0622120841667,-122.2748207,8.61666666666667,111.208333333333,14.7116666666667,3.68833333333333,10.2416666666667,8.05666666666667,34982.5,21.6066666666667,6.12,0.08,18.62,0.02,24.83
"5",2022-08-23 10:12:00,38.0623880558333,-122.28063945,8.56083333333333,110.5,14.4283333333333,3.6175,14.1416666666667,8.055,35375.75,21.5258333333333,6.18,0.03,19.15,0,25.36
"6",2022-08-23 10:13:00,38.0623419441667,-122.286459425,8.61583333333333,111.333333333333,14.9941666666667,3.75916666666667,19.8833333333333,8.06583333333333,35823,21.4925,6.28,0.2,19.42,0,25.89
"7",2022-08-23 10:14:00,38.0619883333333,-122.292140691667,8.37833333333333,108.566666666667,14.5491666666667,3.64666666666667,31.7416666666667,8.0625,36583.0833333333,21.4783333333333,5.88,0.33,17.88,0,24.09
"8",2022-08-23 10:15:00,38.06152639,-122.297798608333,8.31333333333333,107.808333333333,15.48,3.87916666666667,66.225,8.09666666666667,37406.9166666667,21.3208333333333,6.68,1.03,18.97,0,26.68
"9",2022-08-23 10:16:00,38.0611901383333,-122.303724583333,8.73,113.158333333333,15.9516666666667,3.99833333333333,20.4833333333333,8.10166666666667,36609.6666666667,21.4875,6.67,0.51,19.74,0,26.92
"10",2022-08-23 10:17:00,38.0613298608333,-122.309939033333,9.00833333333333,116.766666666667,15.2825,3.83,10.0583333333333,8.12,36560.4166666667,21.4883333333333,6.73,0,20.92,0,27.65
"11",2022-08-23 10:18:00,38.061586945,-122.316229433333,9.07,117.683333333333,15.6175,3.915,9.625,8.1275,36890.75,21.4883333333333,6.76,0,21.07,0,27.83
"12",2022-08-23 10:19:00,38.0631159725,-122.322340975,9.0925,118.183333333333,14.5683333333333,3.65166666666667,9.53333333333333,8.13833333333333,37247,21.4866666666667,6.66,0,20.57,0,27.23
"13",2022-08-23 10:20:00,38.065115695,-122.328390983333,9.1075,118.483333333333,13.7608333333333,3.44833333333333,9.2,8.14666666666667,37354.5,21.5166666666667,6.28,0,18.56,0,24.84
"14",2022-08-23 10:21:00,38.0669543058333,-122.334646116667,9.16666666666667,119.275,14.6441666666667,3.67083333333333,10.0833333333333,8.15583333333333,37472.8333333333,21.495,6.67,0,19.57,0,26.24
"15",2022-08-23 10:22:00,38.0688268058333,-122.340850266667,9.1575,119.15,15.445,3.8725,11.125,8.16,37629,21.4666666666667,6.73,0,20.21,0,26.94
"16",2022-08-23 10:23:00,38.0707925008333,-122.34696,9.13833333333333,118.858333333333,17.1716666666667,4.30333333333333,12.6333333333333,8.16,37720.1666666667,21.4191666666667,7.23,0,21.94,0,29.17
"17",2022-08-23 10:24:00,38.0725890275,-122.353209016667,9.125,118.65,18.9658333333333,4.75083333333333,16.1583333333333,8.1675,37872.8333333333,21.3733333333333,7.73,0,24.15,0,31.88
"18",2022-08-23 10:25:00,38.0739451383333,-122.359571525,9.01333333333333,117.35,19.4908333333333,4.8825,23.0833333333333,8.16666666666667,38283.1666666667,21.3566666666667,7.85,0,24.23,0,32.08
"19",2022-08-23 10:26:00,38.0758327783333,-122.365744858333,9.16083333333333,119.408333333333,21.4316666666667,5.36833333333333,18.9,8.19333333333333,38636.4166666667,21.3241666666667,8.52,0,26.54,0,35.06
"20",2022-08-23 10:27:00,38.0778330895833,-122.371992842708,9.33416666666667,121.708333333333,26.3458333333333,6.59583333333333,14.3583333333333,8.22,39068.8333333333,21.2516666666667,9.58,0,30.54,0,40.12
"21",2022-08-23 10:28:00,38.0795119433333,-122.378304441667,9.52333333333333,124.275,29.76,7.44916666666667,13.8166666666667,8.25416666666667,39472.8333333333,21.2033333333333,11.34,0,36.44,0,47.78
"22",2022-08-23 10:29:00,38.08126861,-122.3846289,9.55833333333333,124.891666666667,26.3825,6.60416666666667,13.1666666666667,8.30333333333333,39764.75,21.2116666666667,11.98,0,36.08,0,48.05
"23",2022-08-23 10:30:00,38.0825311116667,-122.391157916667,9.51,124.408333333333,26.53,6.64416666666667,14.1583333333333,8.3425,40198.75,21.1791666666667,11.47,0,31.38,0,42.85
"24",2022-08-23 10:31:00,38.0834748608333,-122.396444458333,9.68083333333333,126.791666666667,31.51,7.88833333333333,14.525,8.3725,40559.1666666667,21.1566666666667,13.19,0,37.53,0,50.72
"25",2022-08-23 10:32:00,38.0835219441667,-122.397983325,9.77166666666667,127.983333333333,31.705,7.935,14.5583333333333,8.38833333333333,40696.9166666667,21.1275,14.22,0,41.16,0,55.38
"26",2022-08-23 10:33:00,38.0831033333333,-122.3979932,9.85,129.016666666667,30.5733333333333,7.65333333333333,13.6666666666667,8.3975,40729.4166666667,21.125,14.02,0,40.38,0,54.39
"27",2022-08-23 10:34:00,38.0827123616667,-122.39775195,9.85083333333333,129.033333333333,35.0141666666667,8.7625,13.8666666666667,8.3975,40704.5833333333,21.1266666666667,14.83,0,43.32,0,58.15
"28",2022-08-23 10:35:00,38.0826288891667,-122.397510416667,9.84916666666667,128.991666666667,31.5825,7.90583333333333,13.6083333333333,8.39083333333333,40679.1666666667,21.1375,14,0,40.97,0,54.97
"29",2022-08-23 10:36:00,38.08288223875,-122.39729026875,9.8775,129.408333333333,30.8175,7.715,13.2666666666667,8.4,40668.6666666667,21.15,13.75,0,40.14,0,53.88
"30",2022-08-23 10:37:00,38.0831954161364,-122.396973413636,9.87454545454545,129.363636363636,31.6645454545455,7.92636363636364,13.8909090909091,8.39909090909091,40671.5454545455,21.1454545454545,14.19,0,41.72,0,55.91
"31",2022-08-23 10:38:00,38.0834331941667,-122.396782775,9.91,129.791666666667,33.8358333333333,8.47,14.2666666666667,8.4,40675.5,21.1283333333333,14.55,0,42.64,0,57.19
"32",2022-08-23 10:39:00,38.0834680566667,-122.3967211,9.9075,129.7,35.8891666666667,8.98083333333333,14.1333333333333,8.4,40681.9166666667,21.1016666666667,15.13,0,45,0,60.13
"33",2022-08-23 10:40:00,38.0836113891667,-122.3965325,9.85666666666667,129.016666666667,33.9483333333333,8.49666666666667,14.425,8.4,40683.8333333333,21.1041666666667,14.71,0,43.87,0,58.58
"34",2022-08-23 10:41:00,38.0837547220833,-122.396345966667,9.86083333333333,129.2,31.7433333333333,7.945,14.1333333333333,8.4,40683.0833333333,21.1408333333333,13.96,0,40.79,0,54.75
"35",2022-08-23 10:42:00,38.083967430625,-122.396133714583,9.8575,129.158333333333,34.4566666666667,8.62416666666667,14.8083333333333,8.4,40684.25,21.1466666666667,14.58,0,42.54,0,57.12
"36",2022-08-23 10:43:00,38.0840948616667,-122.395908741667,9.90083333333333,129.725,29.505,7.385,13.8,8.4,40686.25,21.1516666666667,13.81,0,39.92,0,53.73
"37",2022-08-23 10:44:00,38.0841265275,-122.39567,9.96166666666667,130.516666666667,30.4358333333333,7.61833333333333,13.675,8.40833333333333,40680.1666666667,21.145,14.07,0,40.68,0,54.75
"38",2022-08-23 10:45:00,38.0840834725,-122.395484025,9.92916666666667,130.083333333333,30.5258333333333,7.6425,14.0833333333333,8.40583333333333,40673.0833333333,21.1441666666667,13.8,0,39.71,0,53.52
"39",2022-08-23 10:46:00,38.0840508325,-122.395262625,10.0058333333333,131.116666666667,30.7691666666667,7.7025,13.5416666666667,8.41,40658.3333333333,21.1633333333333,14.28,0,41.47,0,55.74
"40",2022-08-23 10:47:00,38.0839902766667,-122.3951203,9.9425,130.258333333333,29.875,7.47833333333333,13.7333333333333,8.40666666666667,40654.5833333333,21.1558333333333,13.56,0,39.18,0,52.74
"41",2022-08-23 10:48:00,38.0839259725,-122.394905283333,10.015,131.208333333333,30.885,7.73,13.4666666666667,8.41,40638.4166666667,21.1516666666667,14.19,0,41.24,0,55.43
"42",2022-08-23 10:49:00,38.0838579166667,-122.394667358333,10.0233333333333,131.416666666667,30.2925,7.58166666666667,13.05,8.41,40626,21.1866666666667,13.96,0,40.47,0,54.43
"43",2022-08-23 10:50:00,38.0838679166667,-122.394416941667,9.98833333333333,130.891666666667,29.6191666666667,7.41583333333333,13.0916666666667,8.41,40614.75,21.1766666666667,13.5,0,39.1,0,52.6
"44",2022-08-23 10:51:00,38.0839329175,-122.394170816667,9.995,130.966666666667,29.29,7.33083333333333,12.9166666666667,8.41,40610.0833333333,21.1783333333333,13.49,0,39.51,0,53
"45",2022-08-23 10:52:00,38.0840844785417,-122.393922779167,9.975,130.708333333333,28.635,7.1675,13.225,8.41,40604.75,21.1708333333333,13.23,0,38.48,0,51.71
"46",2022-08-23 10:53:00,38.0841756941667,-122.393646516667,9.97083333333333,130.658333333333,28.4141666666667,7.1125,13.225,8.41,40606.4166666667,21.175,13.19,0,37.85,0,51.03
"47",2022-08-23 10:54:00,38.08390389,-122.393537375,10.035,131.558333333333,30.4625,7.6275,13.15,8.41,40592.75,21.1983333333333,13.54,0,39.01,0,52.54
"48",2022-08-23 10:55:00,38.0835166658333,-122.393489308333,9.9975,131.066666666667,32.2083333333333,8.06166666666667,13.7,8.41,40577.3333333333,21.2108333333333,13.88,0,39.49,0,53.38
"49",2022-08-23 10:56:00,38.0831265275,-122.393410266667,10.0808333333333,132.25,31.4708333333333,7.8775,12.9,8.41,40549.8333333333,21.2483333333333,14.78,0,42.65,0,57.42
"50",2022-08-23 10:57:00,38.0827693058333,-122.393178741667,10.0458333333333,131.766666666667,32.5291666666667,8.14166666666667,13.05,8.41,40533.1666666667,21.2516666666667,14.53,0,41.39,0,55.91
"51",2022-08-23 10:58:00,38.082386805,-122.392973058333,9.99583333333333,131.133333333333,31.4341666666667,7.86833333333333,13.325,8.40666666666667,40521.3333333333,21.2533333333333,13.89,0,39.66,0,53.55
"52",2022-08-23 10:59:00,38.0819886116667,-122.392744033333,10.0516666666667,131.933333333333,34.0133333333333,8.51333333333333,13.1416666666667,8.40916666666667,40528.75,21.2858333333333,14.82,0,42.22,0,57.04
"53",2022-08-23 11:00:00,38.0815972225,-122.392518758333,9.94416666666667,130.441666666667,32.4466666666667,8.12166666666667,13.2333333333333,8.40333333333333,40520.6666666667,21.2525,14,0,38.95,0,52.95
"54",2022-08-23 11:01:00,38.0812215275,-122.392157633333,10.02,131.541666666667,31.8433333333333,7.9725,13.1166666666667,8.41083333333333,40551.75,21.3016666666667,14.54,0,40.6,0,55.13
"55",2022-08-23 11:02:00,38.0808457581818,-122.391890136364,9.90636363636364,129.981818181818,27.0463636363636,6.77090909090909,13.1,8.40363636363636,40522.4545454545,21.2681818181818,13.09,0,35.97,0,49.07
"56",2022-08-23 11:03:00,38.0804313891667,-122.3916436,9.91,130.1,30.0016666666667,7.51083333333333,13.3083333333333,8.40916666666667,40567.8333333333,21.2908333333333,13.45,0,36.64,0,50.09
"57",2022-08-23 11:04:00,38.0800251383333,-122.391388341667,9.78666666666667,128.441666666667,24.9175,6.24,13.6416666666667,8.39833333333333,40578,21.2716666666667,12.16,0,32.28,0,44.44
"58",2022-08-23 11:05:00,38.0795904158333,-122.391135,9.84083333333333,129.225,27.3216666666667,6.84166666666667,13.375,8.4,40598.75,21.2958333333333,12.42,0,32.97,0,45.38
"59",2022-08-23 11:06:00,38.0791683316667,-122.390886675,9.91833333333333,130.308333333333,26.3291666666667,6.5925,13.15,8.4,40584.25,21.3208333333333,12.22,0,32.75,0,44.97
"60",2022-08-23 11:07:00,38.0787152427083,-122.390679577083,10.025,131.625,29.9066666666667,7.48666666666667,13.4416666666667,8.3925,40531.8333333333,21.3158333333333,12.77,0,35.26,0,48.03
"61",2022-08-23 11:08:00,38.0784545833333,-122.390524166667,10.1175,132.741666666667,27.7858333333333,6.95583333333333,13.8916666666667,8.38583333333333,40449,21.2675,13.15,0,37.86,0,51.02
"62",2022-08-23 11:09:00,38.0785433341667,-122.390375133333,10.1683333333333,133.375,25.3366666666667,6.345,12.85,8.38,40404.5833333333,21.2791666666667,11.72,0,34.09,0,45.81
"63",2022-08-23 11:10:00,38.0787991658333,-122.390238341667,10.1391666666667,133.025,27.4233333333333,6.865,12.5083333333333,8.38,40411.9166666667,21.2808333333333,12.18,0,35.8,0,47.98
"64",2022-08-23 11:11:00,38.0790612508333,-122.390097916667,10.1041666666667,132.516666666667,27.5741666666667,6.9025,13.1583333333333,8.38,40430.0833333333,21.2566666666667,12.43,0,36.9,0,49.33
"65",2022-08-23 11:12:00,38.079389096875,-122.389931010417,10.06,131.916666666667,25.1,6.285,13.4333333333333,8.38416666666667,40454,21.25,11.79,0,33.65,0,45.44
"66",2022-08-23 11:13:00,38.0796651391667,-122.389687625,10.0075,131.25,21.4616666666667,5.37416666666667,13.6666666666667,8.39,40480.3333333333,21.2491666666667,10.83,0,30.39,0,41.22
"67",2022-08-23 11:14:00,38.0799240283333,-122.389434566667,10.0325,131.6,24.945,6.24583333333333,13.2,8.39,40490.25,21.2608333333333,11.29,0,31.78,0,43.07
"68",2022-08-23 11:15:00,38.0801529166667,-122.389246258333,10.055,131.966666666667,26.1475,6.545,13,8.39,40497.3333333333,21.2908333333333,12.07,0,34.42,0,46.49
"69",2022-08-23 11:16:00,38.080353195,-122.389059033333,10.055,131.966666666667,25.0908333333333,6.28166666666667,13.0083333333333,8.395,40501.0833333333,21.2958333333333,11.82,0,33.64,0,45.46
"70",2022-08-23 11:17:00,38.08055111,-122.388910825,10.0425,131.816666666667,24.62,6.16583333333333,13,8.4,40501.3333333333,21.2883333333333,11.72,0,33.1,0,44.83
"71",2022-08-23 11:18:00,38.0807348625,-122.388838466667,10.0466666666667,131.891666666667,24.6291666666667,6.1675,12.6333333333333,8.4,40502.8333333333,21.2941666666667,11.82,0,32.92,0,44.74
"72",2022-08-23 11:19:00,38.0803295833333,-122.389001941667,10.0558333333333,132.058333333333,24.0008333333333,6.01083333333333,12.9666666666667,8.4,40511.1666666667,21.3175,11.73,0,32.94,0,44.66
"73",2022-08-23 11:20:00,38.0788647225,-122.388610425,10.1166666666667,132.808333333333,30.725,7.69166666666667,12.9833333333333,8.39583333333333,40452.8333333333,21.3091666666667,12.45,0,35.01,0,47.46
"74",2022-08-23 11:21:00,38.0770074991667,-122.387850825,10.205,133.833333333333,35.735,8.94333333333333,13.5416666666667,8.36333333333333,40243.8333333333,21.2991666666667,13.96,0,42.12,0,56.07
"75",2022-08-23 11:22:00,38.0746634716667,-122.386915841667,10.0833333333333,132.025,33.7458333333333,8.445,15.0666666666667,8.32333333333333,40016.8333333333,21.2641666666667,13.62,0,43.57,0,57.2
"76",2022-08-23 11:23:00,38.0720996882292,-122.386231734375,10.1458333333333,132.816666666667,33.3833333333333,8.355,13.4416666666667,8.32,39931.25,21.275,13.23,0,42.57,0,55.8
"77",2022-08-23 11:24:00,38.0695149991667,-122.38519555,10.2316666666667,134.025,32.425,8.11666666666667,12.4166666666667,8.32083333333333,39951.1666666667,21.2966666666667,12.91,0,41.89,0,54.8
"78",2022-08-23 11:25:00,38.0669131941667,-122.384142775,10.2108333333333,133.758333333333,32.7708333333333,8.20333333333333,12.2583333333333,8.32083333333333,40007.6666666667,21.3066666666667,12.78,0,41.2,0,53.99
"79",2022-08-23 11:26:00,38.0642124991667,-122.383208608333,10.0966666666667,132.325,29.375,7.355,13.2,8.31583333333333,40064.8333333333,21.3016666666667,12.62,0,40.62,0,53.24
"80",2022-08-23 11:27:00,38.0613837508333,-122.382120425,10.0058333333333,131.233333333333,30.0275,7.51666666666667,13.575,8.31,40171.5,21.3175,11.36,0,35.98,0,47.33
"81",2022-08-23 11:28:00,38.05854890125,-122.381037186364,9.99090909090909,131.036363636364,26.7,6.68545454545455,13.8272727272727,8.31090909090909,40194.8181818182,21.31,12.28,0,38.89,0,51.17
"82",2022-08-23 11:29:00,38.0557083333333,-122.380084033333,9.99333333333333,131.166666666667,28.8208333333333,7.215,14.2916666666667,8.31666666666667,40425.1666666667,21.32,12.18,0,37.6,0,49.79
"83",2022-08-23 11:30:00,38.0517177775,-122.378676533333,9.83,129.175,29.6175,7.41583333333333,17.6416666666667,8.32,40908.8333333333,21.2558333333333,11.83,0,35.74,0,47.57
"84",2022-08-23 11:31:00,38.0467044441667,-122.376677925,10.3516666666667,136.833333333333,41.2091666666667,10.3133333333333,14.7583333333333,8.40166666666667,42388.0833333333,21.24,16.19,0,47.42,0,63.61
"85",2022-08-23 11:32:00,38.0417413875,-122.374555,10.58,139.883333333333,39.5008333333333,9.88583333333333,15.35,8.43583333333333,43736.5833333333,20.9525,18.39,0,53.17,0,71.57
"86",2022-08-23 11:33:00,38.0369715291667,-122.372545408333,10.2591666666667,135.291666666667,30.0441666666667,7.52083333333333,12.1416666666667,8.42083333333333,44517.9166666667,20.6125,15.59,0,43.63,0,59.22
"87",2022-08-23 11:34:00,38.032479445,-122.370206675,9.88916666666667,129.95,28.1825,7.05666666666667,10.7083333333333,8.405,44961.25,20.3191666666667,13.16,0,36.98,0,50.15
"88",2022-08-23 11:35:00,38.0280273608333,-122.367943758333,10.2708333333333,135.116666666667,29.5525,7.39833333333333,7.5,8.43166666666667,44714.0833333333,20.4433333333333,16.29,0,44.23,0,60.53
"89",2022-08-23 11:36:00,38.0234141658333,-122.3663682,10.5125,138.358333333333,37.48,9.37916666666667,8.29166666666667,8.42916666666667,44058.5,20.625,14.82,0,40.61,0,55.44
"90",2022-08-23 11:37:00,38.0193591666667,-122.364995266667,11.2733333333333,149,39.7008333333333,9.935,8.15833333333333,8.46166666666667,42813.4166666667,21.1441666666667,21.18,0,61.05,0,82.23
"91",2022-08-23 11:38:00,38.0173830558333,-122.364130966667,10.6666666666667,140.625,35.3275,8.84166666666667,8.55833333333333,8.42583333333333,42808.0833333333,21.0066666666667,15.94,0,43.64,0,59.58
"92",2022-08-23 11:39:00,38.0159986116667,-122.363921683333,11.4366666666667,150.975,48.8408333333333,12.2191666666667,8.28333333333333,8.465,42377.3333333333,21.1791666666667,19.62,0,56,0,75.62
"93",2022-08-23 11:40:00,38.0156936116667,-122.363976675,12.2766666666667,162.5,60.3591666666667,15.0991666666667,8.2,8.515,42257,21.3516666666667,24.96,0,73.22,0,98.18
"94",2022-08-23 11:41:00,38.0156984733333,-122.363910008333,12.1266666666667,160.391666666667,50.9616666666667,12.75,8.20833333333333,8.52,42608.75,21.2325,24.61,0,70.77,0,95.38
"95",2022-08-23 11:42:00,38.0157009725,-122.363938333333,12.04,159.208333333333,51.4833333333333,12.8808333333333,8.49166666666667,8.52166666666667,42585.9166666667,21.2183333333333,22.92,0,64.92,0,87.84
"96",2022-08-23 11:43:00,38.0156791675,-122.364009716667,12.3608333333333,163.65,50.945,12.745,8.19166666666667,8.5325,42335.0833333333,21.3433333333333,24.64,0,70.72,0,95.36
"97",2022-08-23 11:44:00,38.015691805,-122.3640189,12.7183333333333,168.666666666667,44.9816666666667,11.255,7.9,8.54,42207.5833333333,21.4641666666667,21.91,0,63.1,0,85.01
"98",2022-08-23 11:45:00,38.0156197216667,-122.3640025,12.7416666666667,168.958333333333,47.5458333333333,11.8958333333333,7.95833333333333,8.5425,42214.5833333333,21.4591666666667,24.01,0,70.16,0,94.17
"99",2022-08-23 11:46:00,38.015609305,-122.364017216667,12.785,169.716666666667,45.3916666666667,11.3583333333333,7.7,8.54916666666667,42229,21.515,21.45,0,61.27,0,82.71
"100",2022-08-23 11:47:00,38.0156383341667,-122.363967783333,12.9075,171.475,45.8633333333333,11.4766666666667,7.64166666666667,8.55333333333333,42222.0833333333,21.5525,22.9,0,66.92,0,89.81
"101",2022-08-23 11:48:00,38.0156871711458,-122.36393375,12.5783333333333,166.816666666667,54.0216666666667,13.5158333333333,7.96666666666667,8.54,42339.3333333333,21.4358333333333,24.35,0,70.71,0,95.06
"102",2022-08-23 11:49:00,38.0157405566667,-122.363942375,12.6983333333333,168.366666666667,62.9333333333333,15.7425,7.9,8.54166666666667,42224.3333333333,21.4541666666667,26.61,0,78.68,0,105.29
"103",2022-08-23 11:50:00,38.0157397225,-122.363961525,12.8175,170.125,59.6016666666667,14.91,7.85833333333333,8.54833333333333,42214.3333333333,21.5091666666667,26.08,0,79.36,0,105.44
"104",2022-08-23 11:51:00,38.0157212491667,-122.364005266667,12.8233333333333,170.3,43.735,10.9433333333333,7.66666666666667,8.5475,42206.6666666667,21.5441666666667,23.64,0,68.98,0,92.62
"105",2022-08-23 11:52:00,38.0156908341667,-122.364033616667,12.7858333333333,169.858333333333,43.0891666666667,10.7816666666667,7.63333333333333,8.55,42212.1666666667,21.5566666666667,22.07,0,62.86,0,84.93
"106",2022-08-23 11:53:00,38.0157108333333,-122.364022575,12.91,171.608333333333,42.0325,10.5191666666667,7.58333333333333,8.5575,42200.75,21.5958333333333,20.82,0,59.72,0,80.55
"107",2022-08-23 11:54:00,38.0158157572727,-122.364011518182,12.8427272727273,170.618181818182,52.37,13.1027272727273,7.80909090909091,8.55,42210.1818181818,21.5663636363636,23.41,0,69.37,0,92.77
"108",2022-08-23 11:55:00,38.0159436108333,-122.364013333333,12.8433333333333,170.625,52.7066666666667,13.1866666666667,7.775,8.55,42213.8333333333,21.5658333333333,24.47,0,72.29,0,96.76
"109",2022-08-23 11:56:00,38.0168687491667,-122.364641533333,12.7441666666667,169.308333333333,51.9875,13.0075,7.85833333333333,8.54583333333333,42249.6666666667,21.545,25.34,0,73.78,0,99.12
"110",2022-08-23 11:57:00,38.0186416675,-122.36596555,11.595,153.35,35.4033333333333,8.86083333333333,8.25,8.49083333333333,42594.6666666667,21.2225,19.22,0,52.28,0,71.49
"111",2022-08-23 11:58:00,38.0204866666667,-122.367279308333,11.12,146.908333333333,32.645,8.17166666666667,8.44166666666667,8.46666666666667,42921.5833333333,21.0891666666667,17.1,0,45.48,0,62.57
"112",2022-08-23 11:59:00,38.0225320833333,-122.368184447917,10.945,144.541666666667,39.2858333333333,9.8325,8.39166666666667,8.45833333333333,43057.9166666667,21.0425,17.35,0,47.02,0,64.37
"113",2022-08-23 12:00:00,38.0244883325,-122.369261808333,11.6475,154.2,48.2341666666667,12.0691666666667,8.01666666666667,8.49666666666667,42923.9166666667,21.2083333333333,21.54,0,55.77,0,77.3
