StationID,Latitude,Longitude,Component
C10A,37.67934,-121.2647,"Discrete (WQ, P, Z)"
C3A,38.36771,-121.5205,"Discrete (WQ, P, Z)"
C9,37.83095,-121.554,"Discrete (WQ, P, Z)"
D10,38.04631,-121.9183,"Discrete (WQ, P, Z)"
D12,38.02161,-121.8063,"Discrete (WQ, P, Z)"
D16,38.0969,-121.6691,"Discrete (WQ, P, Z)"
D19,38.04376,-121.6148,"Discrete (WQ, P, Z)"
D22,38.08453,-121.7391,"Discrete (WQ, P, Z)"
D26,38.07664,-121.5669,"Discrete (WQ, P, Z)"
D28A,37.97048,-121.573,"Discrete (WQ, P, Z)"
D4,38.06248,-121.8205,"Discrete (WQ, P, Z)"
D41 ,38.03022,-122.3729,"Discrete (WQ, P, Z)"
D41A,38.08472,-122.3907,"Discrete (WQ, P, Z)"
D6,38.04436,-122.1177,"Discrete (WQ, P, Z)"
D7,38.11714,-122.0397,"Discrete (WQ, P, Z)"
D8,38.05992,-121.99,"Discrete (WQ, P, Z)"
MD10A,38.04226,-121.4199,"Discrete (WQ, P, Z)"
NZ002,38.06529,-122.2152,"Discrete (WQ, P, Z)"
NZ004,38.03576,-122.1616,"Discrete (WQ, P, Z)"
NZ032,38.16991,-122.0211,"Discrete (WQ, P, Z)"
NZ068,38.14272,-121.6895,"Discrete (WQ, P, Z)"
NZ325,38.05798,-122.2919,"Discrete (WQ, P, Z)"
NZS42,38.18045,-122.0476,"Discrete (WQ, P, Z)"
P8,37.97817,-121.3823,"Discrete (WQ, P, Z)"
D41-C,38.0160546,-122.3647171,Benthic
D41A-C,38.0847167,-122.3906667,Benthic
C9-L,37.8271721,-121.5522898,Benthic
D7-C,38.1171292,-122.0395539,Benthic
D4-L,38.0581151,-121.8193499,Benthic
D16-L,38.093031,-121.6697445,Benthic
D24-L,38.1547193,-121.6814495,Benthic
D6-R,38.0577031,-122.1149585,Benthic
P8-R,37.9778522,-121.3799929,Benthic
D28A-L,37.9701652,-121.5741188,Benthic
C2,38.073981,-121.850123,Continuous WQ
C3A,38.367981,-121.519958,Continuous WQ
C4,38.103301,-121.591315,Continuous WQ
C5,37.99495,-121.702809,Continuous WQ
C6,37.865,-121.3231,Continuous WQ
C7A,37.786,-121.306,Continuous WQ
C8,37.822101,-121.37499,Continuous WQ
C9,37.8316,-121.554,Continuous WQ
C10A,37.67929,-121.26511,Continuous WQ
C13,38.1061,-121.5711,Continuous WQ
C14,38.056788,-121.999971,Continuous WQ
C19,38.2918,-121.742,Continuous WQ
D6A,38.027637,-122.140488,Continuous WQ
D7A,38.12425,-122.038117,Continuous WQ
D8A,38.083971,-121.995878,Continuous WQ
D9A,38.0724,-121.9392,Continuous WQ
D10A,38.042805,-121.92009,Continuous WQ
D11A,38.074097,-121.761736,Continuous WQ
D12A,38.01783,-121.802963,Continuous WQ
D15,38.052,-121.689,Continuous WQ
D16A,38.0969,-121.6691,Continuous WQ
D19A,38.046417,-121.5981,Continuous WQ
D22,38.084272,-121.738924,Continuous WQ
D24A,38.159737,-121.686355,Continuous WQ
D28A,37.969368,-121.57222,Continuous WQ
D29,38.066,-121.562,Continuous WQ
DMC1,37.781567,-121.590239,Continuous WQ
P8A,37.963,-121.365,Continuous WQ
P12,37.80481,-121.449562,Continuous WQ
S21,38.185,-122.083,Continuous WQ
S35,38.118,-122.095,Continuous WQ
S42,38.181,-122.046,Continuous WQ
S49,38.1869,-121.9708,Continuous WQ
S64,38.1221,-121.8881,Continuous WQ
S97,38.157,-122.113,Continuous WQ
SLBAR3,38.2759,-121.7965,Continuous WQ
TRN,37.9928,-121.4542,Continuous WQ
FPT,38.456112,-121.5003,Continuous WQ
ROR,38.0931,-121.8875,Continuous WQ
