region,analyte,date,n,n.cen,median,mean,sd,RL
San Pablo Bay,dissAmmonia,12/1/2019,6,0,0.27,0.255,0.032710854,
San Pablo Bay,dissAmmonia,2/1/2018,6,0,0.13,0.13,0.029664794,
San Pablo Bay,dissAmmonia,2/1/2019,6,0,0.104,0.1035,0.009544632,
San Pablo Bay,dissAmmonia,1/1/2018,6,0,0.17,0.175,0.023452079,
San Pablo Bay,dissAmmonia,1/1/2019,6,0,0.187,0.18783333,0.02638497,
San Pablo Bay,dissAmmonia,7/1/2018,6,0,0.07,0.07833333,0.011690452,
San Pablo Bay,dissAmmonia,7/1/2019,6,0,0.083,0.08183333,0.004215052,
San Pablo Bay,dissAmmonia,6/1/2018,6,0,0.05,0.05333333,0.021602469,
San Pablo Bay,dissAmmonia,6/1/2019,6,1,0.06,0.06,0.00559017,
San Pablo Bay,dissAmmonia,3/1/2018,6,0,0.1,0.11,0.021908902,
San Pablo Bay,dissAmmonia,3/1/2019,6,0,NA,0.07966667,0.015513435,
San Pablo Bay,dissAmmonia,5/1/2018,6,0,NA,0.06,0.016733201,
San Pablo Bay,dissAmmonia,5/1/2019,6,0,NA,0.08333333,0.008164966,
San Pablo Bay,dissAmmonia,11/1/2018,3,0,0.087,0.104,0.031192948,
San Pablo Bay,dissAmmonia,11/1/2019,6,1,0.15,0.146,0.028565714,
San Pablo Bay,dissAmmonia,10/1/2018,6,0,0.08,0.07666667,0.038297084,
San Pablo Bay,dissAmmonia,10/1/2019,6,6,NA,0,0,0.2
San Pablo Bay,dissAmmonia,9/1/2018,6,0,NA,0.07666667,0.020655911,
San Pablo Bay,dissAmmonia,9/1/2019,6,1,0.077,0.07266667,0.016029487,
Southern Interior Delta,dissAmmonia,4/1/2018,4,1,NA,0.065,0.018371173,
Southern Interior Delta,dissAmmonia,4/1/2019,4,4,NA,0,0,0.05
Southern Interior Delta,dissAmmonia,8/1/2018,4,1,0.03,0.04625,0.019906814,
Southern Interior Delta,dissAmmonia,8/1/2019,4,4,NA,0,0,0.05
Southern Interior Delta,dissAmmonia,12/1/2018,4,0,0.057,0.088,0.052249402,
Southern Interior Delta,dissAmmonia,12/1/2019,4,2,0.16,0.1775,0.04286607,
Southern Interior Delta,dissAmmonia,2/1/2018,4,0,0.03,0.0475,0.023629078,
Southern Interior Delta,dissAmmonia,2/1/2019,4,0,0.09,0.119,0.064015623,
Southern Interior Delta,dissAmmonia,1/1/2018,4,0,0.05,0.0575,0.029860788,
Southern Interior Delta,dissAmmonia,1/1/2019,4,0,0.106,0.1665,0.084354411,
Southern Interior Delta,dissAmmonia,7/1/2018,4,1,0.02,0.0325,0.020077973,
Southern Interior Delta,dissAmmonia,7/1/2019,4,3,NA,0.057,#NUM!,
Southern Interior Delta,dissAmmonia,6/1/2018,4,0,0.02,0.025,0.012909944,
Southern Interior Delta,dissAmmonia,6/1/2019,4,4,NA,0,0,0.05
Southern Interior Delta,dissAmmonia,3/1/2018,4,0,0.03,0.035,0.02081666,
Southern Interior Delta,dissAmmonia,3/1/2019,4,4,NA,0,0,0.05
Southern Interior Delta,dissAmmonia,5/1/2018,4,2,NA,0.0325,0.006123724,
Southern Interior Delta,dissAmmonia,5/1/2019,4,4,NA,0,0,0.05
Southern Interior Delta,dissAmmonia,11/1/2018,4,2,NA,0.06825,0.039804208,
Southern Interior Delta,dissAmmonia,11/1/2019,4,2,0.13,0.14,0.02,
Southern Interior Delta,dissAmmonia,10/1/2018,4,0,0.03,0.04,0.02,
Southern Interior Delta,dissAmmonia,10/1/2019,4,4,NA,0,0,0.2
Southern Interior Delta,dissAmmonia,9/1/2018,4,0,0.01,0.03,0.028284271,
Southern Interior Delta,dissAmmonia,9/1/2019,4,4,NA,0,0,0.05
Suisun & Grizzly Bays,dissAmmonia,4/1/2018,4,0,0.07,0.1425,0.103722386,
Suisun & Grizzly Bays,dissAmmonia,4/1/2019,4,1,0.05,0.06575,0.025075511,
Suisun & Grizzly Bays,dissAmmonia,8/1/2018,4,0,0.05,0.05325,0.010436315,
Suisun & Grizzly Bays,dissAmmonia,8/1/2019,4,3,NA,0.07,#NUM!,
Suisun & Grizzly Bays,dissAmmonia,12/1/2018,4,0,0.172,0.19125,0.035621857,
Suisun & Grizzly Bays,dissAmmonia,12/1/2019,4,0,0.22,0.23,0.04163332,
Suisun & Grizzly Bays,dissAmmonia,2/1/2018,4,0,0.15,0.1725,0.028722813,
Suisun & Grizzly Bays,dissAmmonia,2/1/2019,4,0,0.08,0.09225,0.02582473,
Suisun & Grizzly Bays,dissAmmonia,1/1/2018,4,0,0.2,0.215,0.036968455,
Suisun & Grizzly Bays,dissAmmonia,1/1/2019,4,0,0.219,0.219,0.003741657,
Suisun & Grizzly Bays,dissAmmonia,7/1/2018,4,0,0.04,0.0375,0.012583057,
Suisun & Grizzly Bays,dissAmmonia,7/1/2019,4,2,NA,0.0515,0.001224745,
Suisun & Grizzly Bays,dissAmmonia,6/1/2018,4,0,0.06,0.0625,0.012583057,
Suisun & Grizzly Bays,dissAmmonia,6/1/2019,4,3,NA,0.063,#NUM!,
Suisun & Grizzly Bays,dissAmmonia,3/1/2018,4,0,0.14,0.1425,0.012583057,
Suisun & Grizzly Bays,dissAmmonia,3/1/2019,4,0,0.06,0.0725,0.026299556,
Suisun & Grizzly Bays,dissAmmonia,5/1/2018,4,0,0.05,0.0575,0.017078251,
Suisun & Grizzly Bays,dissAmmonia,5/1/2019,4,2,NA,0.075,0.012247449,
Suisun & Grizzly Bays,dissAmmonia,11/1/2018,4,0,0.143,0.16975,0.034979756,
Suisun & Grizzly Bays,dissAmmonia,11/1/2019,4,3,0.14,0.14,#NUM!,
Suisun & Grizzly Bays,dissAmmonia,10/1/2018,4,0,0.09,0.1325,0.073654599,
Suisun & Grizzly Bays,dissAmmonia,10/1/2019,4,1,0.12,0.11666667,0.017638342,
Suisun & Grizzly Bays,dissAmmonia,9/1/2018,4,0,0.04,0.05925,0.034189423,
Suisun & Grizzly Bays,dissAmmonia,9/1/2019,4,2,NA,0.057,0.014696938,
