CalDate,PostCalDate,ExpectedVal,CalVal,PostCalVal,Program,Station,Sonde,PostCalCentered,residuals,stdresid
6/17/2024,7/17/2024,124,123.68,116.7,CEMP_low,NA,RTM-114,-7.299999999999997,3.4476470588235304,1.0294542239243285
7/15/2024,8/7/2024,124,114.1,114.86,CEMP_low,NA,RTM-110,-9.14,1.6076470588235272,0.4800372622394105
6/19/2024,7/17/2024,124,122.9,113.7,CEMP_low,NA,RTM-105,-10.299999999999997,0.44764705882353095,0.13366569943805093
7/17/2024,8/22/2024,124,112.4,123.99,CEMP_high,NA,RTM-106,-0.010000000000005116,-5.622222222222223,-1.675867079360572
6/19/2024,7/17/2024,124,123.36,113.8,CEMP_low,NA,RTM-91,-10.200000000000003,0.5476470588235253,0.16352531692092515
7/17/2024,8/23/2024,124,116.7,124.11,CEMP_high,NA,RTM-114,0.10999999999999943,-5.502222222222218,-1.6400975843860763
6/10/2024,7/10/2024,124,125.62,112.2,CEMP_low,NA,RTM-102,-11.799999999999997,-1.0523529411764692,-0.314228562805088
7/9/2024,8/15/2024,124,122.78,135.7,CEMP_high,NA,RTM-87,11.699999999999989,6.087777777777769,1.8146394719005061
6/10/2024,7/11/2024,124,124.8,112,CEMP_low,NA,RTM-71,-12,-1.252352941176472,-0.3739477977708407
7/9/2024,8/15/2024,124,112.71,135.14,CEMP_high,NA,RTM-101,11.139999999999986,5.527777777777767,1.6477151620195314
6/3/2024,7/3/2024,124,124.46,113.99,NCRO_low,NA,ND-8,-10.010000000000005,-0.4167924528301921,-0.12189218995146833
6/3/2024,7/3/2024,124,123.58,114.47,NCRO_low,NA,ND-3,-9.530000000000001,0.0632075471698118,0.01848523478213756
6/3/2024,7/10/2024,124,124.41,116.99,NCRO_low,NA,XO2-76,-7.010000000000005,2.5832075471698084,0.7554667146335615
6/3/2024,7/10/2024,124,122.36,116.85,NCRO_low,NA,XO2-86,-7.150000000000006,2.443207547169808,0.71452329908626
6/3/2024,7/10/2024,124,138.66,105.53,NCRO_low,NA,XO2-62,-18.47,-8.876792452830188,-2.5960443008812506
6/5/2024,7/2/2024,124,124.64,114.3,NCRO_low,NA,XO2-71,-9.700000000000003,-0.10679245283018995,-0.031231769811014637
6/5/2024,7/2/2024,124,125.04,114.25,NCRO_low,NA,XO2-75,-9.75,-0.1567924528301871,-0.045854418220764304
6/10/2024,7/10/2024,124,124.01,115.27,NCRO_low,NA,XO2-14,-8.730000000000004,0.8632075471698089,0.25244760933814464
6/10/2024,7/10/2024,124,124.04,113.53,NCRO_low,NA,XO2-97,-10.469999999999999,-0.876792452830186,-0.25642055532117114
6/10/2024,7/10/2024,124,125.25,116,NCRO_low,NA,XO2-27,-8,1.5932075471698128,0.465938276120503
6/10/2024,7/2/2024,124,123.94,115.04,NCRO_low,NA,XO2-46,-8.959999999999994,0.6332075471698191,0.18518342665329532
6/10/2024,7/2/2024,124,124.88,113.2,NCRO_low,NA,XO2-37,-10.799999999999997,-1.2067924528301843,-0.3529300348255239
6/10/2024,7/2/2024,124,124.23,113,NCRO_low,NA,XO2-09,-11,-1.4067924528301872,-0.4114206284645267
6/11/2024,7/9/2024,124,120.5,116.28,NCRO_low,NA,ND-1,-7.719999999999999,1.8732075471698144,0.5478251072151062
6/11/2024,7/9/2024,124,123.39,113.19,NCRO_low,NA,ND-2,-10.810000000000002,-1.2167924528301894,-0.3558545645074755
6/11/2024,7/9/2024,124,124.06,115.22,NCRO_low,NA,ND-4,-8.780000000000001,0.8132075471698117,0.23782496092839495
6/24/2024,7/17/2024,124,123.77,113.9,NCRO_low,NA,XO2-106,-10.099999999999994,-0.5067924528301813,-0.14821295708901605
6/24/2024,7/16/2024,124,124.62,113.23,NCRO_low,NA,XO2-84,-10.769999999999996,-1.1767924528301832,-0.34415644577967325
6/24/2024,7/17/2024,124,124.48,111.28,NCRO_low,NA,XO2-87,-12.719999999999999,-3.1267924528301854,-0.9144397337599431
6/24/2024,7/16/2024,124,124.7,111.9,NCRO_low,NA,XO2-66,-12.099999999999994,-2.5067924528301813,-0.7331188934790358
6/24/2024,7/16/2024,124,123.8,112.77,NCRO_low,NA,XO2-02,-11.230000000000004,-1.6367924528301911,-0.4786848111493801
6/25/2024,7/17/2024,124,121.73,112.52,NCRO_low,NA,XO2-98,-11.480000000000004,-1.886792452830191,-0.5517980531981326
6/25/2024,7/17/2024,124,118.19,115.33,NCRO_low,NA,XO2-99,-8.670000000000002,0.9232075471698111,0.2699947874298459
7/1/2024,8/6/2024,124,113.83,134.92,NCRO_high,NA,XO2-48,10.919999999999987,8.031904761904746,2.3841466758406344
7/1/2024,8/6/2024,124,115.67,132.12,NCRO_high,NA,XO2-59,8.120000000000005,5.231904761904767,1.5530099915492457
7/1/2024,8/7/2024,124,112.71,126.74,NCRO_high,NA,ND-6,2.739999999999995,-0.14809523809524439,-0.043959780410652176
7/1/2024,8/6/2024,124,117.44,133.78,NCRO_high,NA,XO2-70,9.780000000000001,6.8919047619047635,2.0457553115220004
7/1/2024,8/6/2024,124,115.01,134.33,NCRO_high,NA,XO2-82,10.330000000000013,7.441904761904775,2.209014303079242
7/1/2024,8/6/2024,124,109.78,133.47,NCRO_high,NA,XO2-07,9.469999999999999,6.581904761904761,1.953736607189738
7/1/2024,8/7/2024,124,112.37,127.21,NCRO_high,NA,ND-5,3.2099999999999937,0.3219047619047544,0.09555244873826019
7/8/2024,8/15/2024,124,116.86,124.06,NCRO_high,NA,XO2-80,0.060000000000002274,-2.828095238095237,-0.8394763210895566
7/8/2024,8/15/2024,124,114.96,124.04,NCRO_high,NA,XO2-32,0.04000000000000625,-2.848095238095233,-0.8454130116916369
7/8/2024,8/15/2024,124,113.32,124.44,NCRO_high,NA,XO2-24,0.4399999999999977,-2.4480952380952417,-0.7266791996500115
7/8/2024,8/8/2024,124,132.75,124,NCRO_high,NA,XO2-91,0,-2.8880952380952394,-0.8572863928958014
7/9/2024,8/7/2024,124,113.92,124.48,NCRO_high,NA,XO2-64,0.480000000000004,-2.4080952380952354,-0.7148058184458469
7/9/2024,8/7/2024,124,113.06,123.31,NCRO_high,NA,XO2-09,-0.6899999999999977,-3.578095238095237,-1.0621022186676088
7/15/2024,8/22/2024,124,114.35,122.76,NCRO_high,NA,XO2-14,-1.2399999999999949,-4.1280952380952325,-1.2253612102248457
7/15/2024,8/15/2024,124,113.08,124.47,NCRO_high,NA,XO2-97,0.46999999999999886,-2.4180952380952405,-0.7177741637468891
7/15/2024,8/21/2024,124,114.08,123.81,NCRO_high,NA,XO2-27,-0.18999999999999773,-3.078095238095237,-0.913684953615574
7/15/2024,8/22/2024,124,116.55,123.53,NCRO_high,NA,XO2-76,-0.46999999999999886,-3.3580952380952382,-0.9967986220447138
7/15/2024,8/15/2024,124,116.16,124.99,NCRO_high,NA,XO2-06,0.9899999999999949,-1.8980952380952445,-0.563420208092774
7/15/2024,8/21/2024,124,106.11,130.4,NCRO_high,NA,XO2-62,6.400000000000006,3.5119047619047663,1.042454599770246
8/5/2024,9/5/2024,124,124.93,115.04,NCRO_low,NA,ND-2,-8.959999999999994,0.6332075471698191,0.18518342665329532
8/5/2024,9/5/2024,124,124.61,112.87,NCRO_low,NA,XO2-66,-11.129999999999995,-1.5367924528301826,-0.44943951432987667
8/5/2024,9/5/2024,124,124.45,113.99,NCRO_low,NA,XO2-84,-10.010000000000005,-0.4167924528301921,-0.12189218995146833
8/5/2024,9/5/2024,124,126.33,114.04,NCRO_low,NA,XO2-99,-9.959999999999994,-0.36679245283018075,-0.10726954154171452
8/5/2024,9/5/2024,124,137.12,114.42,NCRO_low,NA,ND-1,-9.579999999999998,0.013207547169814648,0.0038625863723878964
8/6/2024,9/4/2024,124,121.89,116.6,NCRO_low,NA,XO2-87,-7.400000000000006,2.193207547169808,0.6414100570375075
8/6/2024,9/5/2024,124,135.58,115.44,NCRO_low,NA,XO2-07,-8.560000000000002,1.0332075471698106,0.3021646139312968
8/6/2024,9/4/2024,124,126.48,116.22,NCRO_low,NA,XO2-02,-7.780000000000001,1.8132075471698121,0.530277929123405
6/11/2024,7/17/2024,124,124.41,114.6,NCRO_low,NA,XO2-44,-9.400000000000006,0.19320754716980715,0.056504120647487485
6/11/2024,7/17/2024,124,124.79,113.67,NCRO_low,NA,XO2-67,-10.329999999999998,-0.7367924528301852,-0.2154771397738695
6/11/2024,7/17/2024,124,123,116.19,NCRO_low,NA,XO2-17,-7.810000000000002,1.783207547169811,0.5215043400775543
6/11/2024,7/17/2024,124,124.29,113.16,NCRO_low,NA,XO2-42,-10.840000000000003,-1.2467924528301906,-0.3646281535533261
6/11/2024,7/17/2024,124,124.79,113.67,NCRO_low,NA,XO2-67,-10.329999999999998,-0.7367924528301852,-0.2154771397738695
6/11/2024,7/17/2024,124,124.41,114.6,NCRO_low,NA,XO2-44,-9.400000000000006,0.19320754716980715,0.056504120647487485
6/12/2024,7/16/2024,124,124.96,114.43,NCRO_low,NA,XO2-81,-9.569999999999993,0.023207547169819764,0.006787116054339491
6/11/2024,8/12/2024,124,124.79,114.06,NCRO_low,NA,XO2-67,-9.939999999999998,-0.3467924528301847,-0.10142048217781549
