CalDate,PostCalDate,ExpectedVal,CalVal,PostCalVal,Program,Station,Sonde
7/15/2024,8/21/2024,124,114.08,123.81,NCRO,,XO2-27
7/15/2024,8/22/2024,124,116.55,123.53,NCRO,,XO2-76
7/15/2024,8/15/2024,124,116.16,124.99,NCRO,,XO2-06
7/15/2024,8/21/2024,124,106.11,130.4,NCRO,,XO2-62
8/5/2024,9/5/2024,124,124.93,115.04,NCRO,,ND-2
8/5/2024,9/5/2024,124,124.61,112.87,NCRO,,XO2-66
8/5/2024,9/5/2024,124,124.45,113.99,NCRO,,XO2-84
8/5/2024,9/5/2024,124,126.33,114.04,NCRO,,XO2-99
8/5/2024,9/5/2024,124,137.12,114.42,NCRO,,ND-1
8/6/2024,9/4/2024,124,121.89,116.6,NCRO,,XO2-87
8/6/2024,9/5/2024,124,135.58,115.44,NCRO,,XO2-07
8/6/2024,9/4/2024,124,126.48,116.22,NCRO,,XO2-02
6/11/2024,7/17/2024,124,124.41,114.6,NCRO,,XO2-44
6/11/2024,7/17/2024,124,124.79,113.67,NCRO,,XO2-67
6/11/2024,7/17/2024,124,123,116.19,NCRO,,XO2-17
6/11/2024,7/17/2024,124,124.29,113.16,NCRO,,XO2-42
6/11/2024,7/17/2024,124,124.79,113.67,NCRO,,XO2-67
6/11/2024,7/17/2024,124,124.41,114.6,NCRO,,XO2-44
6/12/2024,7/16/2024,124,124.96,114.43,NCRO,,XO2-81
6/11/2024,8/12/2024,124,124.79,114.06,NCRO,,XO2-67
6/12/2024,7/17/2024,124,124.13,114.12,NCRO,,XO2-40
6/11/2024,8/12/2024,124,124.41,113.35,NCRO,,XO2-44
6/11/2024,7/17/2024,124,124.49,113.16,NCRO,,XO-42
6/12/2024,7/16/2024,124,123.69,113.1,NCRO,,XO2-25
7/17/2024,8/12/2024,124,113.16,112.94,NCRO,,XO2-42
6/11/2024,7/17/2024,124,123,116.19,NCRO,,XO2-17
6/12/2024,7/16/2024,124,124.34,114.14,NCRO,,XO2-13
8/12/2024,8/12/2024,124,124.11,116.51,NCRO,,XO2-17
8/7/2024,7/10/2024,124,124.48,116.99,NCRO,,XO2-76
7/9/2024,8/7/2024,124,113.92,124.48,NCRO,,XO2-64
8/6/2024,9/4/2024,124,121.89,116.6,NCRO,,XO2-87
7/9/2024,8/7/2024,124,113.06,123.31,NCRO,,XO2-09
8/6/2024,9/4/2024,124,126.48,116.22,NCRO,,XO2-02
9/3/2024,10/3/2024,124,128.95,116.91,NCRO,,XO2-62
6/3/2024,7/10/2024,124,122.36,116.85,NCRO,,XO2-86
8/6/2024,9/4/2024,124,135.58,115.44,NCRO,,XO2-07
